CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 9.84, 70.45, None, None, None, None, 18.91, 0.0, 8.82, 188.9, 5.0, None, 9.8, 9.8, None, None, None, 14.8, None, None, 70.0, None,2022-07-09 00:00:00, 26.0, None, 25.68,28
None, 9.6, 71.95, None, None, None, None, 19.45, 0.0, 8.0, 198.2, 5.0, None, 9.6, 9.6, None, None, None, 14.8, None, None, 72.0, None,2022-07-09 01:00:00, 25.0, None, 25.36,28
None, 9.36, 73.28, None, None, None, None, 15.49, 2.0, 7.56, 175.7, 5.0, None, 9.4, 9.3, None, None, None, 14.8, None, None, 73.0, None,2022-07-09 02:00:00, 27.0, None, 26.55,28
None, 8.49, 76.85, None, None, None, None, 20.13, 0.0, 6.074, 161.9, 5.0, None, 8.5, 8.5, None, None, None, 14.8, None, None, 77.0, None,2022-07-09 03:00:00, 26.0, None, 26.3,28
None, 8.19, 78.36, None, None, None, None, 11.61, 0.0, 5.556, 142.6, 5.0, None, 8.2, 8.2, None, None, None, 14.8, None, None, 78.0, None,2022-07-09 04:00:00, 26.0, None, 26.16,28
None, 7.999, 78.32, None, None, None, None, 14.66, 0.0, 5.211, 147.1, 5.0, None, 8.0, 8.0, None, None, None, 14.8, None, None, 78.0, None,2022-07-09 05:00:00, 26.0, None, 26.25,28
None, 8.45, 75.81, None, None, None, None, 13.04, 0.0, 5.604, 129.9, 4.0, None, 8.5, 7.9, None, None, None, 14.8, None, None, 76.0, None,2022-07-09 06:00:00, 26.0, None, 26.27,28
None, 10.14, 68.12, None, None, None, None, 30.36, 0.0, 3.898, 131.3, 4.0, None, 10.1, 8.5, None, None, None, 10.1, None, None, 68.0, None,2022-07-09 07:00:00, 26.0, None, 26.11,28
None, 11.0, 63.31, None, None, None, None, 39.87, -1.0, 3.879, 142.4, 4.0, None, 11.0, 8.5, None, None, None, 11.5, None, None, 63.0, None,2022-07-09 08:00:00, 26.0, None, 25.5,28
None, 11.42, 62.48, None, None, None, None, 43.17, 1.0, 3.31, 181.0, 5.0, None, 11.4, 8.5, None, None, None, 12.2, None, None, 62.0, None,2022-07-09 09:00:00, 26.0, None, 26.19,28
None, 12.19, 62.48, None, None, None, None, 33.31, -1.0, 6.118, 188.9, 5.0, None, 12.2, 8.5, None, None, None, 12.7, None, None, 62.0, None,2022-07-09 10:00:00, 25.0, None, 25.25,28
None, 13.06, 59.78, None, None, None, None, 48.33, 0.0, 5.709, 196.3, 5.0, None, 13.1, 8.5, None, None, None, 14.6, None, None, 60.0, None,2022-07-09 11:00:00, 25.0, None, 25.42,28
None, 13.9, 60.05, None, None, None, None, 41.23, -1.0, 4.773, 191.6, 6.0, None, 13.9, 8.5, None, None, None, 15.1, None, None, 60.0, None,2022-07-09 12:00:00, 24.0, None, 24.36,28
None, 14.87, 55.34, None, None, None, None, 59.01, -2.0, 3.06, 262.2, 6.0, None, 14.9, 8.5, None, None, None, 15.4, None, None, 55.0, None,2022-07-09 13:00:00, 23.0, None, 22.85,28
None, 15.4, 52.22, None, None, None, None, 65.54, -3.0, 2.732, 280.9, 5.0, None, 15.4, 8.5, None, None, None, 17.0, None, None, 52.0, None,2022-07-09 14:00:00, 20.0, None, 19.77,28
None, 15.95, 47.61, None, None, None, None, 59.33, 1.0, 4.56, 262.8, 5.0, None, 16.0, 8.5, None, None, None, 17.0, None, None, 48.0, None,2022-07-09 15:00:00, 21.0, None, 20.61,28
