pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None,9.6,9.5, 1017.3, 0.0, None,11.0,97.0,2022-07-09 00:00:00, None,9.0, 922.0,28
None,9.5,9.4, 1017.2, 0.0, None,11.0,98.0,2022-07-09 01:00:00, None,9.0, 922.0,28
None,9.4,9.2, 1017.3, 0.3, None,11.0,96.0,2022-07-09 02:00:00, None,9.0, 922.0,28
None,9.3,9.2, 1017.2, 0.2, None,11.0,97.0,2022-07-09 03:00:00, None,9.0, 922.0,28
None,9.0,9.0, 1017.3, 0.2, None,11.0,98.0,2022-07-09 04:00:00, None,9.0, 922.0,28
None,9.0,8.8, 1017.3, 0.0, None,11.0,97.0,2022-07-09 05:00:00, None,8.0, 922.0,28
None,8.8,8.8, 1017.3, 0.0, None,11.0,97.0,2022-07-09 06:00:00, None,8.0, 922.0,28
None,9.1,8.8, 1017.3, 0.0, None,9.1,96.0,2022-07-09 07:00:00, None,8.0, 922.0,28
None,9.1,8.8, 1017.3, 0.2, None,9.2,96.0,2022-07-09 08:00:00, None,8.0, 922.0,28
None,9.5,8.8, 1017.3, 0.0, None,9.5,96.0,2022-07-09 09:00:00, None,9.0, 922.0,28
None,10.2,8.8, 1017.2, -0.2, None,10.2,92.0,2022-07-09 10:00:00, None,9.0, 922.0,28
None,12.1,8.8, 1017.1, 0.2, None,12.2,81.0,2022-07-09 11:00:00, None,9.0, 922.0,28
None,14.1,8.8, 1016.9, 0.1, None,14.5,69.0,2022-07-09 12:00:00, None,8.0, 922.0,28
None,13.6,8.8, 1015.9, -0.4, None,14.8,71.0,2022-07-09 13:00:00, None,8.0, 921.0,28
None,13.9,8.8, 1015.8, -0.1, None,14.8,74.0,2022-07-09 14:00:00, None,9.0, 921.0,28
None,14.0,8.8, 1016.9, 0.1, None,14.8,72.0,2022-07-09 15:00:00, None,9.0, 922.0,28
None,13.8,8.8, 1017.0, 0.0, None,14.8,72.0,2022-07-09 16:00:00, None,8.0, 922.0,28
None,14.3,8.8, 1016.9, -0.1, None,14.8,67.0,2022-07-09 17:00:00, None,8.0, 922.0,28
None,14.6,8.8, 1016.9, 0.0, None,15.4,66.0,2022-07-09 18:00:00, None,8.0, 922.0,28
None,14.4,14.4, 1016.9, 0.0, None,14.9,67.0,2022-07-09 19:00:00, None,8.0, 922.0,28
None,14.3,14.1, 1016.9, 0.0, None,14.9,69.0,2022-07-09 20:00:00, None,10.0, 922.0,28
None,14.0,14.0, 1016.9, 0.0, None,14.9,71.0,2022-07-09 21:00:00, None,9.0, 922.0,28
None,12.2,12.2, 1018.0, 0.1, None,14.9,76.0,2022-07-09 23:00:00, None,8.0, 923.0,28
None,11.6,11.6, 1017.8, 0.0, None,14.9,77.0,2022-07-10 00:00:00, None,7.0, 923.0,28
None,11.2,11.1, 1017.9, 0.0, None,14.9,77.0,2022-07-10 01:00:00, None,8.0, 923.0,28
None,10.9,10.8, 1016.8, 0.0, None,14.9,80.0,2022-07-10 02:00:00, None,7.0, 922.0,28
None,10.0,9.8, 1016.9, 0.0, None,14.9,84.0,2022-07-10 03:00:00, None,7.0, 922.0,28
None,9.4,9.1, 1017.0, 0.0, None,14.9,87.0,2022-07-10 04:00:00, None,7.0, 922.0,28
None,9.2,8.9, 1016.9, 0.0, None,14.9,89.0,2022-07-10 05:00:00, None,7.0, 922.0,28
None,9.9,8.9, 1015.7, 0.1, None,14.9,87.0,2022-07-10 06:00:00, None,8.0, 921.0,28
None,10.5,9.6, 1015.7, 0.0, None,10.4,87.0,2022-07-10 07:00:00, None,8.0, 921.0,28
None,11.4,9.6, 1014.5, 0.1, None,11.9,80.0,2022-07-10 08:00:00, None,8.0, 920.0,28
