air_temp,min_air_temp_snc_last_reset,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,snw_dpth,dwpt_temp,week_of_year
7.7,6.7, 0.0,12.5,73.0,2022-07-09 00:00:00, -5.0,3.0,28
7.2,6.7, 0.0,12.5,75.0,2022-07-09 01:00:00, -5.0,3.0,28
7.1,6.7, 0.0,12.5,75.0,2022-07-09 02:00:00, -5.0,3.0,28
7.2,6.7, 0.0,12.5,72.0,2022-07-09 03:00:00, -5.0,2.0,28
7.2,6.7, 0.0,12.5,69.0,2022-07-09 04:00:00, -5.0,2.0,28
6.6,6.6, 0.0,12.5,75.0,2022-07-09 05:00:00, -5.0,3.0,28
6.9,6.3, 1.0,12.5,75.0,2022-07-09 06:00:00, -5.0,3.0,28
8.8,6.8, 0.0,8.7,65.0,2022-07-09 07:00:00, -5.0,2.0,28
9.9,6.8, -2.0,9.9,62.0,2022-07-09 08:00:00, -7.0,3.0,28
11.4,6.8, 1.0,11.3,53.0,2022-07-09 09:00:00, -6.0,2.0,28
12.1,6.8, -1.0,12.7,45.0,2022-07-09 10:00:00, -7.0,0.0,28
12.8,6.8, 1.0,12.7,41.0,2022-07-09 11:00:00, -6.0,0.0,28
12.5,6.8, -1.0,14.8,39.0,2022-07-09 12:00:00, -6.0,-1.0,28
11.6,6.8, 0.0,14.8,42.0,2022-07-09 13:00:00, -7.0,-1.0,28
12.4,6.8, 1.0,14.8,39.0,2022-07-09 14:00:00, -6.0,-1.0,28
14.5,6.8, -1.0,15.3,34.0,2022-07-09 15:00:00, -7.0,-1.0,28
14.4,6.8, 2.0,15.5,39.0,2022-07-09 16:00:00, -5.0,1.0,28
12.8,6.8, -1.0,16.2,42.0,2022-07-09 17:00:00, -6.0,0.0,28
11.6,6.8, 2.0,16.2,50.0,2022-07-09 18:00:00, -4.0,1.0,28
10.8,10.9, 0.0,11.7,52.0,2022-07-09 19:00:00, -4.0,1.0,28
5.5,5.4, -1.0,11.7,100.0,2022-07-09 20:00:00, -5.0,6.0,28
5.1,5.1, 2.0,11.7,100.0,2022-07-09 21:00:00, -3.0,5.0,28
5.8,5.1, -1.0,11.7,81.0,2022-07-09 23:00:00, -5.0,3.0,28
6.6,5.1, 1.0,11.7,64.0,2022-07-10 00:00:00, -4.0,1.0,28
6.2,5.1, 0.0,11.7,68.0,2022-07-10 01:00:00, -5.0,1.0,28
5.9,5.1, 1.0,11.7,66.0,2022-07-10 02:00:00, -4.0,0.0,28
6.1,5.1, 0.0,11.7,66.0,2022-07-10 03:00:00, -4.0,0.0,28
6.1,5.1, 1.0,11.7,63.0,2022-07-10 04:00:00, -4.0,0.0,28
5.6,5.1, 0.0,11.7,68.0,2022-07-10 05:00:00, -4.0,0.0,28
5.4,5.1, 0.0,11.7,71.0,2022-07-10 06:00:00, -4.0,1.0,28
6.4,5.3, -1.0,6.9,68.0,2022-07-10 07:00:00, -5.0,1.0,28
6.7,5.3, 0.0,7.1,72.0,2022-07-10 08:00:00, -5.0,2.0,28
8.2,5.3, 0.0,9.5,67.0,2022-07-10 09:00:00, -5.0,3.0,28
8.2,5.3, 0.0,11.8,62.0,2022-07-10 11:00:00, -5.0,1.0,28
7.6,5.3, 1.0,11.8,71.0,2022-07-10 12:00:00, -4.0,3.0,28
11.2,5.3, 1.0,11.8,54.0,2022-07-10 13:00:00, -4.0,2.0,28
12.9,5.3, 0.0,13.4,50.0,2022-07-10 14:00:00, -4.0,2.0,28
12.3,5.3, 0.0,13.4,53.0,2022-07-10 15:00:00, -5.0,3.0,28
9.9,5.3, 0.0,13.4,60.0,2022-07-10 16:00:00, -5.0,3.0,28
10.9,5.3, -1.0,13.4,55.0,2022-07-10 17:00:00, -6.0,2.0,28
9.8,5.3, 0.0,13.4,57.0,2022-07-10 18:00:00, -6.0,2.0,28
9.3,9.3, 0.0,10.0,58.0,2022-07-10 19:00:00, -6.0,1.0,28
8.7,8.5, 0.0,10.0,59.0,2022-07-10 20:00:00, -6.0,1.0,28
8.3,8.3, 0.0,10.0,60.0,2022-07-10 21:00:00, -6.0,1.0,28
7.8,7.8, 0.0,10.0,62.0,2022-07-10 22:00:00, -6.0,1.0,28
7.6,7.5, 0.0,10.0,65.0,2022-07-10 23:00:00, -6.0,1.0,28
7.6,7.2, 1.0,10.0,65.0,2022-07-11 00:00:00, -6.0,2.0,28
7.5,7.2, 0.0,10.0,67.0,2022-07-11 01:00:00, -6.0,2.0,28
7.8,7.2, 1.0,10.0,66.0,2022-07-11 02:00:00, -6.0,2.0,28
7.2,7.2, 0.0,10.0,69.0,2022-07-11 03:00:00, -6.0,2.0,28
7.2,6.9, 0.0,10.0,71.0,2022-07-11 04:00:00, -6.0,2.0,28
6.8,6.7, 0.0,10.0,74.0,2022-07-11 05:00:00, -6.0,2.0,28
7.0,6.2, 0.0,10.0,72.0,2022-07-11 06:00:00, -6.0,2.0,28
7.9,6.9, 0.0,8.1,71.0,2022-07-11 07:00:00, -6.0,3.0,28
9.1,6.9, None,9.1,68.0,2022-07-11 08:00:00, None,3.0,28
11.1,6.9, None,11.3,63.0,2022-07-11 09:00:00, None,4.0,28
14.7,6.9, None,14.6,52.0,2022-07-11 10:00:00, None,4.0,28
15.8,6.9, None,16.1,45.0,2022-07-11 11:00:00, None,3.0,28
17.0,6.9, None,16.9,48.0,2022-07-11 12:00:00, None,6.0,28
18.0,6.9, None,17.9,41.0,2022-07-11 13:00:00, None,4.0,28
18.3,6.9, None,19.0,37.0,2022-07-11 14:00:00, None,3.0,28
19.4,6.9, None,19.4,29.0,2022-07-11 15:00:00, None,1.0,28
18.8,6.9, None,19.9,28.0,2022-07-11 16:00:00, None,0.0,28
19.0,6.9, None,19.9,26.0,2022-07-11 17:00:00, None,0.0,28
18.1,6.9, None,19.9,28.0,2022-07-11 18:00:00, None,-1.0,28
15.3,15.3, None,18.1,34.0,2022-07-11 19:00:00, None,0.0,28
14.1,14.1, None,18.1,40.0,2022-07-11 21:00:00, None,1.0,28
14.0,14.0, None,18.1,41.0,2022-07-11 22:00:00, None,1.0,28
14.0,13.8, None,18.1,40.0,2022-07-11 23:00:00, None,1.0,28
