pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
None,10.7,10.7, 0.0, None,22.5,81.0,2022-07-09 00:00:00,8.0,28
None,9.2,9.3, 0.0, None,22.5,86.0,2022-07-09 01:00:00,7.0,28
None,8.4,8.3, 0.0, None,22.5,89.0,2022-07-09 02:00:00,6.0,28
None,7.6,7.5, 0.0, None,22.5,90.0,2022-07-09 03:00:00,6.0,28
None,6.7,6.5, 0.0, None,22.5,92.0,2022-07-09 04:00:00,5.0,28
None,5.9,5.9, 0.0, None,22.5,93.0,2022-07-09 05:00:00,5.0,28
None,5.3,5.3, 0.0, None,22.5,93.0,2022-07-09 06:00:00,4.0,28
None,6.2,5.2, 0.0, None,6.2,88.0,2022-07-09 07:00:00,5.0,28
None,9.4,5.2, 0.0, None,9.3,77.0,2022-07-09 08:00:00,5.0,28
None,13.7,5.2, 0.0, None,13.5,62.0,2022-07-09 09:00:00,6.0,28
None,16.6,5.2, 0.0, None,16.6,55.0,2022-07-09 10:00:00,8.0,28
None,19.2,5.2, 0.0, None,19.1,43.0,2022-07-09 11:00:00,6.0,28
None,20.7,5.2, 0.0, None,21.0,35.0,2022-07-09 12:00:00,5.0,28
None,21.0,5.2, 0.0, None,21.1,34.0,2022-07-09 13:00:00,5.0,28
None,20.6,5.2, 0.0, None,21.9,41.0,2022-07-09 14:00:00,7.0,28
None,20.5,5.2, 0.0, None,22.1,40.0,2022-07-09 15:00:00,7.0,28
None,21.4,5.2, 0.0, None,22.4,34.0,2022-07-09 16:00:00,5.0,28
None,21.3,5.2, 0.0, None,22.4,32.0,2022-07-09 17:00:00,4.0,28
None,21.3,5.2, 0.0, None,22.4,34.0,2022-07-09 18:00:00,5.0,28
None,20.1,20.0, 0.0, None,21.4,36.0,2022-07-09 19:00:00,4.0,28
None,18.8,18.8, 0.0, None,21.4,41.0,2022-07-09 20:00:00,5.0,28
None,17.0,17.0, 0.0, None,21.4,51.0,2022-07-09 21:00:00,7.0,28
None,15.5,15.3, 0.0, None,21.4,58.0,2022-07-09 23:00:00,7.0,28
None,14.4,14.3, 0.0, None,21.4,66.0,2022-07-10 00:00:00,8.0,28
None,13.6,13.5, 0.0, None,21.4,70.0,2022-07-10 01:00:00,8.0,28
None,12.8,12.9, 0.0, None,21.4,74.0,2022-07-10 02:00:00,9.0,28
None,12.2,12.2, 0.0, None,21.4,77.0,2022-07-10 03:00:00,8.0,28
None,11.8,11.8, 0.0, None,21.4,78.0,2022-07-10 04:00:00,8.0,28
None,11.2,11.2, 0.0, None,21.4,80.0,2022-07-10 05:00:00,8.0,28
None,10.7,10.7, 0.0, None,21.4,82.0,2022-07-10 06:00:00,8.0,28
None,11.3,10.7, 0.0, None,11.3,78.0,2022-07-10 07:00:00,8.0,28
None,12.8,10.7, 0.0, None,12.7,70.0,2022-07-10 08:00:00,7.0,28
None,15.8,10.7, 0.0, None,16.2,54.0,2022-07-10 09:00:00,7.0,28
None,18.0,10.7, 0.0, None,17.8,41.0,2022-07-10 10:00:00,4.0,28
None,18.1,10.7, 0.0, None,18.4,43.0,2022-07-10 11:00:00,6.0,28
None,18.2,10.7, 0.0, None,18.5,42.0,2022-07-10 12:00:00,5.0,28
None,19.7,10.7, 0.0, None,19.8,37.0,2022-07-10 13:00:00,5.0,28
None,21.3,10.7, 0.0, None,21.3,35.0,2022-07-10 14:00:00,5.0,28
None,21.7,10.7, 0.0, None,22.2,34.0,2022-07-10 15:00:00,5.0,28
