pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
0.0,-3.3,-3.3, 0.0, 0.0,0.7,85.0,2022-11-26 00:00:00,-5.0,48
0.0,-3.6,-3.8, 0.0, 0.0,0.7,86.0,2022-11-26 01:00:00,-6.0,48
0.0,-3.2,-3.8, 0.0, 0.0,0.7,84.0,2022-11-26 02:00:00,-5.0,48
0.0,-2.9,-3.8, 0.0, 0.0,0.7,84.0,2022-11-26 03:00:00,-5.0,48
0.0,-2.8,-3.8, 0.0, 0.0,0.7,84.0,2022-11-26 04:00:00,-5.0,48
0.0,-2.5,-3.8, 0.0, 0.0,0.7,83.0,2022-11-26 05:00:00,-5.0,48
0.0,-2.3,-3.8, 0.0, 0.0,0.7,84.0,2022-11-26 06:00:00,-4.0,48
0.0,-2.8,-2.9, 0.0, 0.0,-2.3,87.0,2022-11-26 07:00:00,-5.0,48
0.0,-2.1,-2.9, 0.0, 0.0,-2.0,85.0,2022-11-26 08:00:00,-4.0,48
0.0,-1.2,-2.9, 0.0, 0.0,-1.1,82.0,2022-11-26 09:00:00,-4.0,48
0.0,1.1,-2.9, 0.0, 0.0,1.1,71.0,2022-11-26 10:00:00,-4.0,48
0.0,2.6,-2.9, 0.0, 0.0,2.5,65.0,2022-11-26 11:00:00,-3.0,48
0.0,2.7,-2.9, 0.0, 0.0,2.7,65.0,2022-11-26 12:00:00,-3.0,48
0.0,2.8,-2.9, 0.0, 0.0,2.8,67.0,2022-11-26 13:00:00,-3.0,48
0.0,3.6,-2.9, 0.0, 0.0,3.9,63.0,2022-11-26 14:00:00,-3.0,48
0.0,3.2,-2.9, 0.0, 0.0,3.9,69.0,2022-11-26 15:00:00,-2.0,48
0.0,2.3,-2.9, 0.0, 0.0,3.9,76.0,2022-11-26 16:00:00,-2.0,48
0.0,1.7,-2.9, 0.0, 0.0,3.9,80.0,2022-11-26 17:00:00,-1.0,48
0.0,1.4,-2.9, 0.1, 0.0,3.9,81.0,2022-11-26 18:00:00,-1.0,48
0.0,2.4,1.4, 0.0, 0.0,2.4,70.0,2022-11-26 19:00:00,-3.0,48
0.0,3.1,1.4, 0.0, 0.0,3.1,64.0,2022-11-26 20:00:00,-3.0,48
0.0,2.2,1.4, 0.0, 0.0,3.1,67.0,2022-11-26 21:00:00,-3.0,48
0.0,2.0,1.4, 0.0, 0.0,3.1,68.0,2022-11-26 22:00:00,-3.0,48
0.0,4.0,1.4, 0.0, 0.0,4.3,62.0,2022-11-26 23:00:00,-2.0,48
0.0,2.9,1.4, 0.1, 0.0,4.3,78.0,2022-11-27 00:00:00,-1.0,48
0.4,1.6,1.4, 0.4, 0.0,4.3,92.0,2022-11-27 01:00:00,0.0,48
1.2,0.8,0.6, 0.8, 1.0,4.3,97.0,2022-11-27 02:00:00,0.0,48
2.3,0.6,0.5, 1.1, 1.0,4.3,97.0,2022-11-27 03:00:00,0.0,48
3.2,0.6,0.3, 0.9, 1.0,4.3,90.0,2022-11-27 04:00:00,-1.0,48
3.2,-1.6,-2.1, 0.1, 0.0,4.3,69.0,2022-11-27 05:00:00,-6.0,48
3.2,-2.9,-3.3, 0.0, 0.0,4.3,90.0,2022-11-27 06:00:00,-4.0,48
3.2,-2.6,-3.1, 0.0, 0.0,-2.3,92.0,2022-11-27 07:00:00,-4.0,48
None,-2.3,-4.0, 0.0, 0.0,-2.3,86.0,2022-11-27 11:00:00,-4.0,48
None,-1.8,-4.0, 0.0, 0.0,-1.6,83.0,2022-11-27 12:00:00,-5.0,48
None,-2.2,-4.0, 0.0, 0.0,-1.3,76.0,2022-11-27 13:00:00,-5.0,48
None,-2.8,-4.0, 0.0, 0.0,-1.3,79.0,2022-11-27 14:00:00,-6.0,48
None,-3.1,-4.0, 0.0, 0.0,-1.3,85.0,2022-11-27 15:00:00,-5.0,48
None,-3.3,-4.0, 0.0, 0.0,-1.3,87.0,2022-11-27 16:00:00,-5.0,48
None,-4.4,-4.3, 0.0, 0.0,-1.3,89.0,2022-11-27 17:00:00,-6.0,48
None,-4.8,-4.9, 0.0, 0.0,-1.3,90.0,2022-11-27 18:00:00,-6.0,48
None,-5.4,-5.4, 0.0, 0.0,-4.8,90.0,2022-11-27 19:00:00,-7.0,48
None,-5.6,-5.8, 0.0, 0.0,-4.8,89.0,2022-11-27 20:00:00,-7.0,48
None,-6.0,-6.0, 0.0, 0.0,-4.8,91.0,2022-11-27 21:00:00,-7.0,48
None,-5.9,-6.1, 0.0, 0.0,-4.8,90.0,2022-11-27 22:00:00,-7.0,48
None,-7.0,-7.0, 0.0, 0.0,-4.8,90.0,2022-11-27 23:00:00,-8.0,48
None,-7.3,-7.3, 0.0, 0.0,-4.8,90.0,2022-11-28 00:00:00,-9.0,48
None,-6.6,-7.3, 0.0, 0.0,-4.8,86.0,2022-11-28 01:00:00,-8.0,48
None,-6.2,-7.3, 0.0, 0.0,-4.8,91.0,2022-11-28 02:00:00,-8.0,48
None,-5.8,-7.3, 0.0, 0.0,-4.8,84.0,2022-11-28 03:00:00,-8.0,48
None,-7.0,-7.3, 0.0, 0.0,-4.8,82.0,2022-11-28 04:00:00,-9.0,48
None,-7.6,-7.7, 0.0, 0.0,-4.8,81.0,2022-11-28 05:00:00,-10.0,48
None,-8.5,-8.5, 0.0, 0.0,-4.8,76.0,2022-11-28 06:00:00,-11.0,48
None,-9.0,-9.1, 0.0, 0.0,-8.4,77.0,2022-11-28 07:00:00,-12.0,48
None,-9.7,-9.8, 0.0, 0.0,-8.4,73.0,2022-11-28 08:00:00,-13.0,48
None,-10.2,-10.4, 0.0, 0.0,-8.4,73.0,2022-11-28 09:00:00,-14.0,48
None,-10.3,-10.4, 0.0, 0.0,-8.4,69.0,2022-11-28 10:00:00,-15.0,48
None,-10.1,-10.4, 0.0, 0.0,-8.4,66.0,2022-11-28 11:00:00,-15.0,48
None,-10.4,-10.4, 0.0, 0.0,-8.4,64.0,2022-11-28 12:00:00,-15.0,48
None,-10.3,-10.5, 0.0, 0.0,-8.4,65.0,2022-11-28 13:00:00,-15.0,48
None,-10.5,-10.5, 0.0, 0.0,-8.4,69.0,2022-11-28 14:00:00,-15.0,48
None,-10.8,-10.7, 0.0, 0.0,-8.4,66.0,2022-11-28 15:00:00,-15.0,48
None,-10.9,-11.1, 0.0, 0.0,-8.4,72.0,2022-11-28 16:00:00,-15.0,48
None,-11.0,-11.2, 0.0, 0.0,-8.4,74.0,2022-11-28 17:00:00,-14.0,48
None,-11.0,-11.2, 0.0, 0.0,-8.4,73.0,2022-11-28 18:00:00,-14.0,48
None,-11.1,-11.1, 0.0, 0.0,-10.7,73.0,2022-11-28 19:00:00,-14.0,48
None,-10.9,-11.2, 0.0, 0.0,-10.7,76.0,2022-11-28 20:00:00,-14.0,48
None,-11.1,-11.3, 0.0, 0.0,-10.7,73.0,2022-11-28 21:00:00,-15.0,48
None,-11.4,-11.3, 0.0, 0.0,-10.7,75.0,2022-11-28 22:00:00,-14.0,48
None,-11.5,-11.6, 0.0, 0.0,-10.7,70.0,2022-11-28 23:00:00,-15.0,48
None,-11.7,-11.8, 0.0, 0.0,-10.7,72.0,2022-11-29 00:00:00,-15.0,48
None,-12.1,-12.1, 0.0, 0.0,-10.7,72.0,2022-11-29 01:00:00,-15.0,48
