WDIR_VECT,time,HUMIDITY,week_of_year
65.4,2020-08-05 00:00:00,82.7,32
107.8,2020-08-05 01:00:00,85.7,32
90.1,2020-08-05 02:00:00,87.7,32
155.8,2020-08-05 03:00:00,87.1,32
207.8,2020-08-05 04:00:00,88.8,32
171.6,2020-08-05 05:00:00,90.0,32
151.7,2020-08-05 06:00:00,86.1,32
160.0,2020-08-05 07:00:00,73.2,32
162.1,2020-08-05 08:00:00,67.8,32
144.9,2020-08-05 09:00:00,59.6,32
155.9,2020-08-05 10:00:00,50.9,32
170.4,2020-08-05 11:00:00,43.2,32
170.6,2020-08-05 12:00:00,35.5,32
157.1,2020-08-05 13:00:00,30.7,32
141.2,2020-08-05 14:00:00,27.8,32
130.1,2020-08-05 15:00:00,27.5,32
123.9,2020-08-05 16:00:00,28.0,32
132.2,2020-08-05 17:00:00,25.2,32
139.0,2020-08-05 18:00:00,25.6,32
156.1,2020-08-05 19:00:00,29.3,32
102.1,2020-08-05 20:00:00,47.4,32
27.7,2020-08-05 21:00:00,63.0,32
64.4,2020-08-05 22:00:00,69.3,32
35.5,2020-08-05 23:00:00,69.9,32
149.3,2020-08-06 00:00:00,75.3,32
166.4,2020-08-06 01:00:00,79.1,32
154.4,2020-08-06 02:00:00,80.1,32
343.4,2020-08-06 03:00:00,80.4,32
330.9,2020-08-06 04:00:00,80.8,32
338.8,2020-08-06 05:00:00,80.1,32
335.2,2020-08-06 06:00:00,79.9,32
337.1,2020-08-06 07:00:00,77.6,32
329.4,2020-08-06 08:00:00,70.6,32
334.5,2020-08-06 09:00:00,66.5,32
342.9,2020-08-06 10:00:00,62.8,32
294.7,2020-08-06 11:00:00,58.7,32
233.1,2020-08-06 12:00:00,51.7,32
149.9,2020-08-06 13:00:00,49.6,32
5.0,2020-08-06 14:00:00,50.3,32
333.4,2020-08-06 15:00:00,62.0,32
331.5,2020-08-06 16:00:00,68.7,32
331.2,2020-08-06 17:00:00,78.4,32
334.3,2020-08-06 18:00:00,83.3,32
289.4,2020-08-06 19:00:00,87.1,32
339.5,2020-08-06 20:00:00,85.5,32
314.6,2020-08-06 21:00:00,83.7,32
329.1,2020-08-06 22:00:00,80.9,32
314.2,2020-08-06 23:00:00,85.1,32
317.6,2020-08-07 00:00:00,85.6,32
316.2,2020-08-07 01:00:00,86.4,32
318.9,2020-08-07 02:00:00,87.8,32
137.3,2020-08-07 03:00:00,89.9,32
77.6,2020-08-07 04:00:00,90.1,32
128.7,2020-08-07 05:00:00,93.5,32
148.2,2020-08-07 06:00:00,92.2,32
336.8,2020-08-07 07:00:00,89.2,32
314.7,2020-08-07 08:00:00,81.0,32
246.8,2020-08-07 09:00:00,62.5,32
316.6,2020-08-07 10:00:00,59.4,32
323.8,2020-08-07 11:00:00,55.7,32
354.2,2020-08-07 12:00:00,49.0,32
300.5,2020-08-07 13:00:00,42.3,32
326.4,2020-08-07 14:00:00,45.2,32
238.3,2020-08-07 15:00:00,41.8,32
206.8,2020-08-07 16:00:00,35.8,32
189.9,2020-08-07 17:00:00,38.1,32
142.4,2020-08-07 18:00:00,45.4,32
151.4,2020-08-07 19:00:00,52.0,32
147.2,2020-08-07 20:00:00,54.1,32
167.0,2020-08-07 21:00:00,59.5,32
159.6,2020-08-07 22:00:00,56.9,32
163.3,2020-08-07 23:00:00,59.8,32
134.8,2020-08-08 00:00:00,61.8,32
160.5,2020-08-08 01:00:00,65.6,32
79.6,2020-08-08 02:00:00,77.2,32
32.7,2020-08-08 03:00:00,84.4,32
341.7,2020-08-08 04:00:00,88.8,32
335.7,2020-08-08 05:00:00,86.5,32
