pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
None, 0.211, 99.7, None, None, 33.78, 0.0, 339.0, None, None, None, None, None, None, 0.0, 931.0, None, None, None,2020-10-21 00:00:00, None, None,43
None, 0.325, 99.4, None, None, 68.35, 0.547, 317.9, None, None, None, None, None, None, 0.0, 931.0, None, None, None,2020-10-21 01:00:00, None, None,43
None, 0.189, 99.1, None, None, 31.88, 0.114, 340.8, None, None, None, None, None, None, 0.0, 932.0, None, None, None,2020-10-21 02:00:00, None, None,43
None, 0.152, 99.2, None, None, 53.58, 0.037, 29.06, None, None, None, None, None, None, 0.0, 932.0, None, None, None,2020-10-21 03:00:00, None, None,43
None, 0.148, 97.5, None, None, 49.12, 1.032, 304.9, None, None, None, None, None, None, 0.0, 932.0, None, None, None,2020-10-21 04:00:00, None, None,43
None, 0.042, 96.9, None, None, 48.93, 1.859, 272.1, None, None, None, None, None, None, 0.0, 932.0, None, None, None,2020-10-21 05:00:00, None, None,43
None, -0.034, 96.2, None, None, 57.32, 1.146, 310.8, None, None, None, None, None, None, 0.0, 933.0, None, None, None,2020-10-21 06:00:00, None, None,43
None, -0.233, 97.0, None, None, 59.95, 0.243, 6.083, None, None, None, None, None, None, -1.0, 934.0, None, None, None,2020-10-21 07:00:00, None, None,43
None, -0.966, 91.5, None, None, 30.32, 1.805, 84.0, None, None, None, None, None, None, -2.0, 935.0, None, None, None,2020-10-21 08:00:00, None, None,43
None, -1.333, 90.3, None, None, 51.92, 1.069, 69.53, None, None, None, None, None, None, -3.0, 936.0, None, None, None,2020-10-21 09:00:00, None, None,43
None, -1.243, 88.9, None, None, 69.72, 0.403, 150.2, None, None, None, None, None, None, -3.0, 937.0, None, None, None,2020-10-21 10:00:00, None, None,43
None, -0.977, 80.9, None, None, 36.05, 1.25, 273.6, None, None, None, None, None, None, -3.0, 937.0, None, None, None,2020-10-21 11:00:00, None, None,43
None, -0.21, 65.96, None, None, 68.08, 0.963, 244.8, None, None, None, None, None, None, -5.0, 938.0, None, None, None,2020-10-21 12:00:00, None, None,43
None, -0.122, 76.4, None, None, 64.17, 1.887, 83.4, None, None, None, None, None, None, -4.0, 938.0, None, None, None,2020-10-21 13:00:00, None, None,43
None, -0.181, 72.51, None, None, 58.51, 1.643, 249.6, None, None, None, None, None, None, -4.0, 939.0, None, None, None,2020-10-21 14:00:00, None, None,43
None, -0.41, 83.6, None, None, 64.73, 1.377, 253.5, None, None, None, None, None, None, -2.0, 939.0, None, None, None,2020-10-21 15:00:00, None, None,43
None, -0.18, 77.31, None, None, 74.92, 0.41, 141.8, None, None, None, None, None, None, -3.0, 940.0, None, None, None,2020-10-21 16:00:00, None, None,43
None, -1.087, 78.04, None, None, 42.33, 1.23, 118.2, None, None, None, None, None, None, -4.0, 940.0, None, None, None,2020-10-21 17:00:00, None, None,43
None, -1.919, 87.4, None, None, 36.66, 0.986, 81.1, None, None, None, None, None, None, -3.0, 940.0, None, None, None,2020-10-21 18:00:00, None, None,43
None, -3.258, 93.8, None, None, 38.62, 0.269, 25.88, None, None, None, None, None, None, -4.0, 941.0, None, None, None,2020-10-21 19:00:00, None, None,43
None, -3.699, 95.2, None, None, 51.44, 0.153, 40.14, None, None, None, None, None, None, -4.0, 942.0, None, None, None,2020-10-21 20:00:00, None, None,43
None, -4.119, 92.7, None, None, 18.59, 0.461, 44.23, None, None, None, None, None, None, -5.0, 942.0, None, None, None,2020-10-21 21:00:00, None, None,43
None, -4.326, 92.9, None, None, 23.41, 0.191, 17.26, None, None, None, None, None, None, -5.0, 942.0, None, None, None,2020-10-21 22:00:00, None, None,43
None, -4.514, 93.7, None, None, 13.57, 0.074, 23.55, None, None, None, None, None, None, -5.0, 943.0, None, None, None,2020-10-21 23:00:00, None, None,43
None, -4.99, 91.6, None, None, 29.34, 0.13, 1.081, None, None, None, None, None, None, -6.0, 943.0, None, None, None,2020-10-22 00:00:00, None, None,43
None, -5.172, 92.5, None, None, 18.27, 0.106, 339.1, None, None, None, None, None, None, -6.0, 943.0, None, None, None,2020-10-22 01:00:00, None, None,43
None, -5.217, 89.4, None, None, 59.0, 0.489, 14.73, None, None, None, None, None, None, -7.0, 943.0, None, None, None,2020-10-22 02:00:00, None, None,43
None, -5.924, 92.6, None, None, 49.28, 0.569, 15.59, None, None, None, None, None, None, -7.0, 944.0, None, None, None,2020-10-22 03:00:00, None, None,43
None, -6.62, 93.0, None, None, 21.49, 0.183, 24.88, None, None, None, None, None, None, -7.0, 944.0, None, None, None,2020-10-22 04:00:00, None, None,43
None, -6.906, 91.6, None, None, 14.22, 0.244, 38.05, None, None, None, None, None, None, -8.0, 945.0, None, None, None,2020-10-22 05:00:00, None, None,43
