station_observations
TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, 0.256, None, 77.16, 2016-06-23 21:00:00, 15.27
None, 0.842998, None, 92.0, 2016-06-23 22:00:00, 13.09
None, 0.578998, None, 96.4, 2016-06-23 23:00:00, 12.12
None, 0.703998, None, 97.8, 2016-06-24 00:00:00, 11.32
None, 1.355, None, 98.7, 2016-06-24 01:00:00, 10.82
None, 0.926998, None, 99.1, 2016-06-24 02:00:00, 10.61
None, 1.023, None, 99.3, 2016-06-24 03:00:00, 10.28
None, 0.904999, None, 99.5, 2016-06-24 04:00:00, 9.63
None, 0.867999, None, 99.6, 2016-06-24 05:00:00, 9.32
None, 0.950999, None, 99.6, 2016-06-24 06:00:00, 9.95
None, 1.021, None, 98.0, 2016-06-24 07:00:00, 11.42
None, 0.519999, None, 86.5, 2016-06-24 08:00:00, 13.99
None, 1.168, None, 75.22, 2016-06-24 09:00:00, 16.25
None, 1.164, None, 63.75, 2016-06-24 10:00:00, 18.28
None, 1.188, None, 58.11, 2016-06-24 11:00:00, 19.29
None, 1.4, None, 53.93, 2016-06-24 12:00:00, 20.42
None, 1.473, None, 52.47, 2016-06-24 13:00:00, 20.99
None, 2.402, None, 49.74, 2016-06-24 14:00:00, 21.32
None, 2.318, None, 46.38, 2016-06-24 15:00:00, 21.76
None, 1.315, None, 45.08, 2016-06-24 16:00:00, 22.15
None, 2.023, None, 44.11, 2016-06-24 17:00:00, 22.23
None, 0.907, None, 58.4, 2016-06-24 18:00:00, 20.2
None, 0.527, None, 65.46, 2016-06-24 19:00:00, 19.55
None, 0.731998, None, 72.49, 2016-06-24 20:00:00, 18.77
None, 0.72, None, 83.2, 2016-06-24 21:00:00, 16.63
None, 0.476999, None, 90.7, 2016-06-24 22:00:00, 14.53
None, 0.595, None, 96.2, 2016-06-24 23:00:00, 13.01
None, 1.091, None, 97.6, 2016-06-25 00:00:00, 11.7
None, 0.898, None, 98.3, 2016-06-25 01:00:00, 11.01
None, 1.064, None, 98.9, 2016-06-25 02:00:00, 10.05
None, 1.53, None, 99.2, 2016-06-25 03:00:00, 9.5
None, 1.778, None, 99.1, 2016-06-25 04:00:00, 8.95
None, 1.296, None, 97.4, 2016-06-25 05:00:00, 9.26
None, 1.35, None, 93.4, 2016-06-25 06:00:00, 10.52
None, 1.521, None, 85.3, 2016-06-25 07:00:00, 13.34
None, 1.222, None, 74.43, 2016-06-25 08:00:00, 16.39
None, 0.944, None, 60.34, 2016-06-25 09:00:00, 19.03
None, 1.142, None, 50.3, 2016-06-25 10:00:00, 20.73
None, 1.295, None, 44.14, 2016-06-25 11:00:00, 21.87
None, 1.66, None, 46.44, 2016-06-25 12:00:00, 21.98
None, 2.75, None, 69.41, 2016-06-25 13:00:00, 15.85
None, 1.548, None, 89.3, 2016-06-25 14:00:00, 14.44
None, 1.379, None, 92.2, 2016-06-25 15:00:00, 14.55
None, 2.649, None, 91.5, 2016-06-25 16:00:00, 14.73
None, 2.075, None, 90.9, 2016-06-25 17:00:00, 14.73
None, 1.591, None, 91.8, 2016-06-25 18:00:00, 14.58
None, 2.459, None, 90.9, 2016-06-25 19:00:00, 14.67
None, 2.759, None, 90.5, 2016-06-25 20:00:00, 14.45
None, 1.949, None, 93.2, 2016-06-25 21:00:00, 13.98
None, 2.058, None, 95.2, 2016-06-25 22:00:00, 13.41
None, 1.768, None, 96.3, 2016-06-25 23:00:00, 12.77
None, 0.864, None, 98.0, 2016-06-26 00:00:00, 11.96
None, 0.514998, None, 98.8, 2016-06-26 01:00:00, 11.67
None, 0.751999, None, 99.1, 2016-06-26 02:00:00, 11.4
None, 1.96, None, 99.4, 2016-06-26 03:00:00, 11.34
None, 2.697, None, 96.7, 2016-06-26 04:00:00, 11.3
None, 2.529, None, 93.7, 2016-06-26 05:00:00, 11.38
None, 1.208, None, 91.8, 2016-06-26 06:00:00, 11.47
None, 1.787, None, 88.8, 2016-06-26 07:00:00, 11.89
None, 2.036, None, 84.3, 2016-06-26 08:00:00, 13.49
None, 1.435, None, 72.63, 2016-06-26 09:00:00, 17.1
