station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, PRECIP_TOTAL, avg_rel_hum_pst1hr, time, HUMIDITY, avg_air_temp_pst1hr
None, None, None, None, 83.6, 2016-01-01 00:00:00, None, -16.11
None, None, None, None, 83.2, 2016-01-01 01:00:00, None, -16.47
None, None, None, None, 83.1, 2016-01-01 02:00:00, None, -16.79
None, None, None, None, 83.0, 2016-01-01 03:00:00, None, -17.12
None, None, None, None, 82.5, 2016-01-01 04:00:00, None, -16.83
None, None, None, None, 82.3, 2016-01-01 05:00:00, None, -17.16
None, None, None, None, 82.3, 2016-01-01 06:00:00, None, -18.33
None, None, None, None, 82.3, 2016-01-01 07:00:00, None, -18.29
None, None, None, None, 82.5, 2016-01-01 08:00:00, None, -18.65
None, None, None, None, 81.5, 2016-01-01 09:00:00, None, -18.28
None, None, None, None, 76.3, 2016-01-01 10:00:00, None, -16.26
None, None, None, None, 71.4, 2016-01-01 11:00:00, None, -14.73
None, None, None, None, 71.3, 2016-01-01 12:00:00, None, -13.21
None, None, None, None, 66.83, 2016-01-01 13:00:00, None, -11.02
None, None, None, None, 61.67, 2016-01-01 14:00:00, None, -8.56
None, None, None, None, 64.92, 2016-01-01 15:00:00, None, -8.79
None, None, None, None, 70.4, 2016-01-01 16:00:00, None, -9.38
None, None, None, None, 81.9, 2016-01-01 17:00:00, None, -11.74
None, None, None, None, 86.3, 2016-01-01 18:00:00, None, -13.1
None, None, None, None, 87.1, 2016-01-01 19:00:00, None, -13.72
None, None, None, None, 86.7, 2016-01-01 20:00:00, None, -14.32
None, None, None, None, 86.0, 2016-01-01 21:00:00, None, -15.16
None, None, None, None, 85.5, 2016-01-01 22:00:00, None, -15.73
None, None, None, None, 84.3, 2016-01-01 23:00:00, None, -16.52
None, None, None, None, 84.2, 2016-01-02 00:00:00, None, -16.51
None, None, None, None, 83.4, 2016-01-02 01:00:00, None, -17.31
None, None, None, None, 82.7, 2016-01-02 02:00:00, None, -17.83
None, None, None, None, 82.5, 2016-01-02 03:00:00, None, -18.32
None, None, None, None, 82.1, 2016-01-02 04:00:00, None, -18.69
None, None, None, None, 82.1, 2016-01-02 05:00:00, None, -18.66
None, None, None, None, 81.5, 2016-01-02 06:00:00, None, -19.66
None, None, None, None, 80.9, 2016-01-02 07:00:00, None, -20.27
None, None, None, None, 80.7, 2016-01-02 08:00:00, None, -20.22
None, None, None, None, 79.5, 2016-01-02 09:00:00, None, -20.03
None, None, None, None, 76.2, 2016-01-02 10:00:00, None, -17.36
None, None, None, None, 73.4, 2016-01-02 11:00:00, None, -15.76
None, None, None, None, 73.0, 2016-01-02 12:00:00, None, -14.95
None, None, None, None, 66.09, 2016-01-02 13:00:00, None, -11.71
None, None, None, None, 61.21, 2016-01-02 14:00:00, None, -10.17
None, None, None, None, 65.74, 2016-01-02 15:00:00, None, -10.41
None, None, None, None, 72.1, 2016-01-02 16:00:00, None, -10.67
None, None, None, None, 81.2, 2016-01-02 17:00:00, None, -12.68
None, None, None, None, 85.4, 2016-01-02 18:00:00, None, -13.64
None, None, None, None, 86.2, 2016-01-02 19:00:00, None, -14.28
None, None, None, None, 86.6, 2016-01-02 20:00:00, None, -14.79
None, None, None, None, 85.7, 2016-01-02 21:00:00, None, -15.26
None, None, None, None, 85.0, 2016-01-02 22:00:00, None, -16.3
None, None, None, None, 84.9, 2016-01-02 23:00:00, None, -17.59
None, None, None, None, 82.8, 2016-01-03 00:00:00, None, -18.34
None, None, None, None, 82.8, 2016-01-03 01:00:00, None, -18.78
None, None, None, None, 82.7, 2016-01-03 02:00:00, None, -18.6
None, None, None, None, 82.1, 2016-01-03 03:00:00, None, -18.68
None, None, None, None, 81.9, 2016-01-03 04:00:00, None, -18.85
None, None, None, None, 81.7, 2016-01-03 05:00:00, None, -18.95
None, None, None, None, 81.9, 2016-01-03 06:00:00, None, -18.6
None, None, None, None, 81.5, 2016-01-03 07:00:00, None, -18.89
None, None, None, None, 81.6, 2016-01-03 08:00:00, None, -18.93
None, None, None, None, 81.8, 2016-01-03 09:00:00, None, -18.39
None, None, None, None, 82.1, 2016-01-03 10:00:00, None, -16.03
None, None, None, None, 82.0, 2016-01-03 11:00:00, None, -14.42
None, None, None, None, 82.6, 2016-01-03 12:00:00, None, -12.32
None, None, None, None, 80.0, 2016-01-03 13:00:00, None, -10.36
None, None, None, None, 77.7, 2016-01-03 14:00:00, None, -8.87
None, None, None, None, 73.4, 2016-01-03 15:00:00, None, -7.75
None, None, None, None, 73.4, 2016-01-03 16:00:00, None, -8.16
None, None, None, None, 83.2, 2016-01-03 17:00:00, None, -10.26
None, None, None, None, 86.7, 2016-01-03 18:00:00, None, -11.12
None, None, None, None, 87.9, 2016-01-03 19:00:00, None, -11.18
None, None, None, None, 88.3, 2016-01-03 20:00:00, None, -11.45
None, None, None, None, 87.8, 2016-01-03 21:00:00, None, -12.16
None, None, None, None, 88.3, 2016-01-03 22:00:00, None, -12.66
None, None, None, None, 88.4, 2016-01-03 23:00:00, None, -12.46
None, None, None, None, 87.7, 2016-01-04 00:00:00, None, -12.2
None, None, None, None, 84.7, 2016-01-04 01:00:00, None, -14.43
None, None, None, None, 84.9, 2016-01-04 02:00:00, None, -14.62
None, None, None, None, 84.7, 2016-01-04 03:00:00, None, -15.43
None, None, None, None, 84.4, 2016-01-04 04:00:00, None, -16.21
None, None, None, None, 84.3, 2016-01-04 05:00:00, None, -16.2
None, None, None, None, 84.1, 2016-01-04 06:00:00, None, -16.16
None, None, None, None, 83.3, 2016-01-04 07:00:00, None, -16.56
None, None, None, None, 83.3, 2016-01-04 08:00:00, None, -16.88
None, None, None, None, 83.1, 2016-01-04 09:00:00, None, -16.19
None, None, None, None, 83.1, 2016-01-04 10:00:00, None, -16.36
