station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, None, 1.805, 90.9, 2016-01-01 00:00:00, -1.254
None, None, 1.308, 91.7, 2016-01-01 01:00:00, -1.439
None, None, 2.084, 92.1, 2016-01-01 02:00:00, -1.301
None, None, 1.34, 91.6, 2016-01-01 03:00:00, -1.55
None, None, 2.07, 91.4, 2016-01-01 04:00:00, -1.583
None, None, 1.315, 91.2, 2016-01-01 05:00:00, -1.551
None, None, 1.751, 91.6, 2016-01-01 06:00:00, -1.665
None, None, 1.738, 91.4, 2016-01-01 07:00:00, -1.629
None, None, 1.778, 91.3, 2016-01-01 08:00:00, -1.787
None, None, 1.468, 91.9, 2016-01-01 09:00:00, -1.695
None, None, 0.531, 88.7, 2016-01-01 10:00:00, -0.075
None, None, 0.363999, 83.1, 2016-01-01 11:00:00, 2.234
None, None, 0.875998, 83.0, 2016-01-01 12:00:00, 2.103
None, None, 0.703, 79.4, 2016-01-01 13:00:00, 2.677
None, None, 1.309, 74.0, 2016-01-01 14:00:00, 3.042
None, None, 0.839999, 70.0, 2016-01-01 15:00:00, 3.793
None, None, 0.953998, 75.1, 2016-01-01 16:00:00, 2.685
None, None, 1.665, 84.7, 2016-01-01 17:00:00, 1.065
None, None, 1.766, 88.2, 2016-01-01 18:00:00, 0.43
None, None, 1.473, 90.7, 2016-01-01 19:00:00, 0.064
None, None, 1.595, 91.2, 2016-01-01 20:00:00, 0.089
None, None, 1.938, 91.8, 2016-01-01 21:00:00, -0.298999
None, None, 1.687, 92.1, 2016-01-01 22:00:00, -0.527998
None, None, 1.096, 92.4, 2016-01-01 23:00:00, -0.786
None, None, 1.484, 92.6, 2016-01-02 00:00:00, -0.839999
None, None, 1.786, 92.2, 2016-01-02 01:00:00, -0.85
None, None, 1.876, 92.1, 2016-01-02 02:00:00, -0.952
None, None, 1.57, 92.3, 2016-01-02 03:00:00, -1.171
None, None, 0.912, 92.6, 2016-01-02 04:00:00, -1.302
None, None, 1.962, 93.2, 2016-01-02 05:00:00, -1.209
None, None, 1.895, 92.8, 2016-01-02 06:00:00, -1.221
None, None, 1.311, 93.2, 2016-01-02 07:00:00, -1.434
None, None, 1.259, 93.4, 2016-01-02 08:00:00, -1.429
None, None, 1.298, 93.9, 2016-01-02 09:00:00, -1.562
None, None, 0.231998, 91.2, 2016-01-02 10:00:00, 0.194998
None, None, 0.669, 86.9, 2016-01-02 11:00:00, 2.246
None, None, 0.773998, 84.5, 2016-01-02 12:00:00, 2.228
None, None, 1.847, 78.1, 2016-01-02 13:00:00, 2.687
None, None, 2.044, 79.1, 2016-01-02 14:00:00, 3.003
None, None, 2.21, 78.2, 2016-01-02 15:00:00, 3.54
None, None, 0.879, 81.4, 2016-01-02 16:00:00, 2.561
None, None, 1.638, 88.1, 2016-01-02 17:00:00, 0.931999
None, None, 1.1, 90.1, 2016-01-02 18:00:00, 0.393999
None, None, 1.612, 91.4, 2016-01-02 19:00:00, 0.365
None, None, 1.37, 91.8, 2016-01-02 20:00:00, 0.056
None, None, 1.346, 92.3, 2016-01-02 21:00:00, -0.164
None, None, 0.855, 92.7, 2016-01-02 22:00:00, -0.372999
None, None, 1.281, 93.2, 2016-01-02 23:00:00, -0.651
None, None, 2.201, 93.5, 2016-01-03 00:00:00, -0.884
None, None, 1.012, 92.7, 2016-01-03 01:00:00, -0.658999
None, None, 1.915, 92.9, 2016-01-03 02:00:00, -1.067
None, None, 1.936, 92.8, 2016-01-03 03:00:00, -1.247
None, None, 1.599, 92.9, 2016-01-03 04:00:00, -1.491
None, None, 1.895, 92.9, 2016-01-03 05:00:00, -1.606
None, None, 1.079, 93.1, 2016-01-03 06:00:00, -1.955
None, None, 2.241, 94.2, 2016-01-03 07:00:00, -1.299
None, None, 1.603, 93.5, 2016-01-03 08:00:00, -1.394
None, None, 1.599, 92.5, 2016-01-03 09:00:00, -1.717
None, None, 0.67, 89.7, 2016-01-03 10:00:00, -0.204998
None, None, 0.675998, 84.8, 2016-01-03 11:00:00, 2.017
None, None, 1.758, 78.0, 2016-01-03 12:00:00, 1.978
None, None, 2.056, 74.5, 2016-01-03 13:00:00, 2.07
None, None, 1.859, 76.4, 2016-01-03 14:00:00, 2.686
None, None, 0.791998, 74.5, 2016-01-03 15:00:00, 2.848
None, None, 0.584999, 80.2, 2016-01-03 16:00:00, 2.274
None, None, 1.571, 83.3, 2016-01-03 17:00:00, 1.901
None, None, 1.178, 82.9, 2016-01-03 18:00:00, 1.606
None, None, 0.825999, 84.1, 2016-01-03 19:00:00, 1.533
None, None, 1.715, 84.3, 2016-01-03 20:00:00, 1.246
None, None, 1.189, 86.0, 2016-01-03 21:00:00, 0.967998
None, None, 1.142, 85.0, 2016-01-03 22:00:00, 1.142
None, None, 1.073, 86.9, 2016-01-03 23:00:00, 0.982999
None, None, 1.076, 87.3, 2016-01-04 00:00:00, 1.039
None, None, 1.151, 86.8, 2016-01-04 01:00:00, 1.006
None, None, 1.226, 86.7, 2016-01-04 02:00:00, 0.953998
None, None, 1.258, 86.0, 2016-01-04 03:00:00, 1.118
None, None, 1.807, 88.8, 2016-01-04 04:00:00, 0.537
None, None, 1.098, 89.2, 2016-01-04 05:00:00, 0.291
None, None, 1.393, 88.9, 2016-01-04 06:00:00, 0.409999
None, None, 0.935, 88.6, 2016-01-04 07:00:00, 0.504998
None, None, 1.034, 85.9, 2016-01-04 08:00:00, 0.773998
None, None, 1.318, 85.0, 2016-01-04 09:00:00, 0.796998
None, None, 1.242, 86.3, 2016-01-04 10:00:00, 0.981998
None, None, 1.382, 80.1, 2016-01-04 11:00:00, 2.802
None, None, 2.476, 77.6, 2016-01-04 12:00:00, 3.131
None, None, 1.297, 76.9, 2016-01-04 13:00:00, 3.452
None, None, 0.740998, 75.9, 2016-01-04 14:00:00, 3.6
None, None, 1.402, 70.7, 2016-01-04 15:00:00, 4.125
None, None, 1.093, 77.9, 2016-01-04 16:00:00, 3.163
None, None, 1.283, 84.8, 2016-01-04 17:00:00, 1.676
None, None, 1.522, 86.6, 2016-01-04 18:00:00, 1.124
None, None, 1.949, 88.2, 2016-01-04 19:00:00, 0.667999
None, None, 1.584, 87.9, 2016-01-04 20:00:00, 0.456999
None, None, 1.322, 88.4, 2016-01-04 21:00:00, 0.363999
None, None, 1.942, 88.4, 2016-01-04 22:00:00, 0.128
None, None, 1.699, 88.3, 2016-01-04 23:00:00, -0.108
None, None, 1.904, 89.6, 2016-01-05 00:00:00, -0.407999
None, None, 1.494, 89.2, 2016-01-05 01:00:00, -0.389999
None, None, 1.451, 90.1, 2016-01-05 02:00:00, -0.616998
None, None, 1.584, 88.0, 2016-01-05 03:00:00, -0.017
None, None, 1.357, 86.6, 2016-01-05 04:00:00, 0.648998
None, None, 0.800998, 85.1, 2016-01-05 05:00:00, 1.158
None, None, 1.182, 84.6, 2016-01-05 06:00:00, 1.187
None, None, 1.443, 83.3, 2016-01-05 07:00:00, 1.452
None, None, 1.898, 87.3, 2016-01-05 08:00:00, 1.306
None, None, 2.159, 91.2, 2016-01-05 09:00:00, 1.368
None, None, 1.915, 92.3, 2016-01-05 10:00:00, 1.159
None, None, 0.617999, 92.6, 2016-01-05 11:00:00, 1.303
None, None, 0.643998, 93.6, 2016-01-05 12:00:00, 1.361
None, None, 0.629998, 94.0, 2016-01-05 13:00:00, 1.799
None, None, 1.058, 94.2, 2016-01-05 14:00:00, 1.806
None, None, 1.707, 94.0, 2016-01-05 15:00:00, 2.249
None, None, 2.191, 93.2, 2016-01-05 16:00:00, 2.519
None, None, 1.151, 93.3, 2016-01-05 17:00:00, 2.404
None, None, 0.546998, 93.9, 2016-01-05 18:00:00, 2.428
None, None, 0.948, 93.7, 2016-01-05 19:00:00, 2.722
None, None, 0.745998, 93.9, 2016-01-05 20:00:00, 2.602
None, None, 0.666998, 94.0, 2016-01-05 21:00:00, 3.009
None, None, 0.968999, 93.4, 2016-01-05 22:00:00, 3.232
None, None, 1.634, 91.9, 2016-01-05 23:00:00, 3.796
None, None, 2.143, 91.6, 2016-01-06 00:00:00, 3.834
None, None, 1.319, 91.6, 2016-01-06 01:00:00, 3.712
None, None, 1.421, 92.5, 2016-01-06 02:00:00, 3.479
None, None, 1.423, 93.3, 2016-01-06 03:00:00, 3.443
None, None, 1.466, 93.7, 2016-01-06 04:00:00, 3.482
None, None, 1.195, 93.9, 2016-01-06 05:00:00, 3.19
None, None, 0.986998, 94.0, 2016-01-06 06:00:00, 3.363
None, None, 1.114, 93.8, 2016-01-06 07:00:00, 3.742
None, None, 0.904999, 94.1, 2016-01-06 08:00:00, 3.489
None, None, 1.396, 94.1, 2016-01-06 09:00:00, 4.053
None, None, 4.525, 92.1, 2016-01-06 10:00:00, 5.258
None, None, 3.754, 87.0, 2016-01-06 11:00:00, 6.317
None, None, 0.635999, 80.8, 2016-01-06 12:00:00, 7.3
None, None, 0.913999, 79.8, 2016-01-06 13:00:00, 7.21
None, None, 2.039, 82.5, 2016-01-06 14:00:00, 7.0
None, None, 1.576, 83.7, 2016-01-06 15:00:00, 7.41
None, None, 0.46, 83.6, 2016-01-06 16:00:00, 7.11
None, None, 1.045, 88.9, 2016-01-06 17:00:00, 5.343
None, None, 1.493, 91.5, 2016-01-06 18:00:00, 4.295
None, None, 1.234, 92.7, 2016-01-06 19:00:00, 3.548
None, None, 1.064, 93.5, 2016-01-06 20:00:00, 3.273
None, None, 1.743, 94.0, 2016-01-06 21:00:00, 2.891
None, None, 1.435, 94.1, 2016-01-06 22:00:00, 2.684
None, None, 1.354, 94.5, 2016-01-06 23:00:00, 2.702
None, None, 1.742, 94.6, 2016-01-07 00:00:00, 2.312
None, None, 0.648998, 94.8, 2016-01-07 01:00:00, 2.162
None, None, 1.585, 95.2, 2016-01-07 02:00:00, 1.997
None, None, 0.700999, 95.2, 2016-01-07 03:00:00, 1.716
