station_observations
WDIR_VECT, TEMP_MEAN, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, None, None, 81.5, 2016-01-01 00:00:00, -19.0
None, None, None, 80.5, 2016-01-01 01:00:00, -19.85
None, None, None, 80.1, 2016-01-01 02:00:00, -19.94
None, None, None, 78.63, 2016-01-01 03:00:00, -20.77
None, None, None, 80.3, 2016-01-01 04:00:00, -20.29
None, None, None, 81.9, 2016-01-01 05:00:00, -20.06
None, None, None, 82.2, 2016-01-01 06:00:00, -19.78
None, None, None, 79.34, 2016-01-01 07:00:00, -20.67
None, None, None, 79.21, 2016-01-01 08:00:00, -20.9
None, None, None, 81.9, 2016-01-01 09:00:00, -20.25
None, None, None, 80.4, 2016-01-01 10:00:00, -20.73
None, None, None, 80.5, 2016-01-01 11:00:00, -19.13
None, None, None, 81.4, 2016-01-01 12:00:00, -19.02
None, None, None, 82.0, 2016-01-01 13:00:00, -18.41
None, None, None, 82.5, 2016-01-01 14:00:00, -16.88
None, None, None, 83.3, 2016-01-01 15:00:00, -15.29
None, None, None, 83.8, 2016-01-01 16:00:00, -14.85
None, None, None, 82.4, 2016-01-01 17:00:00, -17.38
None, None, None, 81.8, 2016-01-01 18:00:00, -18.12
None, None, None, 80.8, 2016-01-01 19:00:00, -18.95
None, None, None, 80.0, 2016-01-01 20:00:00, -19.73
None, None, None, 79.4, 2016-01-01 21:00:00, -20.36
None, None, None, 79.62, 2016-01-01 22:00:00, -20.31
None, None, None, 80.7, 2016-01-01 23:00:00, -19.78
None, None, None, 81.0, 2016-01-02 00:00:00, -19.36
None, None, None, 81.0, 2016-01-02 01:00:00, -19.61
None, None, None, 80.5, 2016-01-02 02:00:00, -19.56
None, None, None, 80.4, 2016-01-02 03:00:00, -19.52
None, None, None, 79.7, 2016-01-02 04:00:00, -20.43
None, None, None, 79.56, 2016-01-02 05:00:00, -20.68
None, None, None, 79.56, 2016-01-02 06:00:00, -20.96
None, None, None, 80.6, 2016-01-02 07:00:00, -20.36
None, None, None, 79.94, 2016-01-02 08:00:00, -20.45
None, None, None, 79.23, 2016-01-02 09:00:00, -21.24
None, None, None, 78.69, 2016-01-02 10:00:00, -21.7
None, None, None, 78.93, 2016-01-02 11:00:00, -20.77
None, None, None, 79.23, 2016-01-02 12:00:00, -19.66
None, None, None, 79.8, 2016-01-02 13:00:00, -18.61
