station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, PRECIP_TOTAL, avg_rel_hum_pst1hr, time, HUMIDITY, avg_air_temp_pst1hr
None, None, 0.617999, None, 91.9, 2016-01-01 00:00:00, None, -13.79
None, None, 0.644999, None, 91.2, 2016-01-01 01:00:00, None, -14.19
None, None, 0.853999, None, 91.0, 2016-01-01 02:00:00, None, -14.51
None, None, 0.837, None, 91.0, 2016-01-01 03:00:00, None, -14.51
None, None, 0.907998, None, 89.8, 2016-01-01 04:00:00, None, -15.36
None, None, 0.663999, None, 89.5, 2016-01-01 05:00:00, None, -15.59
None, None, 0.746999, None, 89.1, 2016-01-01 06:00:00, None, -15.62
None, None, 0.85, None, 88.7, 2016-01-01 07:00:00, None, -16.28
None, None, 0.948, None, 88.1, 2016-01-01 08:00:00, None, -16.97
None, None, 1.052, None, 87.7, 2016-01-01 09:00:00, None, -17.34
None, None, 0.978999, None, 87.8, 2016-01-01 10:00:00, None, -17.24
None, None, 0.779999, None, 88.4, 2016-01-01 11:00:00, None, -16.17
None, None, 0.370999, None, 88.8, 2016-01-01 12:00:00, None, -13.82
None, None, 1.049, None, 89.2, 2016-01-01 13:00:00, None, -12.67
None, None, 1.205, None, 87.9, 2016-01-01 14:00:00, None, -11.38
None, None, 1.316, None, 79.4, 2016-01-01 15:00:00, None, -10.62
None, None, 1.057, None, 77.5, 2016-01-01 16:00:00, None, -10.72
None, None, 1.369, None, 84.4, 2016-01-01 17:00:00, None, -12.28
None, None, 0.939998, None, 90.8, 2016-01-01 18:00:00, None, -13.14
None, None, 0.652998, None, 91.9, 2016-01-01 19:00:00, None, -13.83
None, None, 0.85, None, 92.4, 2016-01-01 20:00:00, None, -14.55
None, None, 0.634, None, 91.6, 2016-01-01 21:00:00, None, -15.02
None, None, 0.92, None, 91.1, 2016-01-01 22:00:00, None, -15.65
None, None, 0.721, None, 90.1, 2016-01-01 23:00:00, None, -16.3
None, None, 0.86, None, 89.9, 2016-01-02 00:00:00, None, -16.56
None, None, 0.763998, None, 88.4, 2016-01-02 01:00:00, None, -17.22
None, None, 0.716, None, 88.1, 2016-01-02 02:00:00, None, -17.31
None, None, 1.02, None, 87.9, 2016-01-02 03:00:00, None, -17.59
