CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
14.08, 41.56, None, None, None, 0.0, 5.933, 47.41, 1.0, None, 14.1, 14.0, 0.0, 1.0, None, 16.5, None, None, 42.0, None,2021-08-13 00:00:00, None, None, None, None,33
13.64, 42.24, None, None, None, 0.0, 1.159, 47.38, 1.0, None, 13.6, 13.6, 0.0, 1.0, None, 16.5, None, None, 42.0, None,2021-08-13 01:00:00, None, None, None, None,33
13.93, 41.77, None, None, None, 0.145, 2.161, 47.35, 1.0, None, 13.9, 13.6, 0.0, 1.0, None, 16.5, None, None, 42.0, None,2021-08-13 02:00:00, None, None, None, None,33
13.45, 42.99, None, None, None, 0.0, 2.888, 47.35, 1.0, None, 13.5, 13.5, 0.0, 1.0, None, 16.5, None, None, 43.0, None,2021-08-13 03:00:00, None, None, None, None,33
13.59, 42.85, None, None, None, 0.0, 1.692, 47.35, 1.0, None, 13.6, 13.4, 0.0, 1.0, None, 16.5, None, None, 43.0, None,2021-08-13 04:00:00, None, None, None, None,33
13.35, 43.67, None, None, None, 0.0, 0.398, 47.35, 1.0, None, 13.4, 13.1, 0.0, 1.0, None, 16.5, None, None, 44.0, None,2021-08-13 05:00:00, None, None, None, None,33
13.79, 42.58, None, None, None, 0.153, 2.451, 47.35, 1.0, None, 13.8, 12.9, 0.0, 1.0, None, 16.5, None, None, 43.0, None,2021-08-13 06:00:00, None, None, None, None,33
14.9, 39.12, None, None, None, 1.453, 1.888, 47.98, 1.0, None, 14.9, 13.8, 0.0, 1.0, None, 15.8, None, None, 39.0, None,2021-08-13 07:00:00, None, None, None, None,33
15.65, 37.41, None, None, None, 0.105, 0.836, 48.02, 1.0, None, 15.7, 13.8, 0.0, 1.0, None, 16.1, None, None, 37.0, None,2021-08-13 08:00:00, None, None, None, None,33
15.96, 41.19, None, None, None, 2.749, 1.905, 49.99, 3.0, None, 16.0, 13.8, 0.0, 3.0, None, 16.1, None, None, 41.0, None,2021-08-13 09:00:00, None, None, None, None,33
16.4, 38.95, None, None, None, 7.43, 2.896, 74.0, 2.0, None, 16.4, 13.8, 0.0, 2.0, None, 16.6, None, None, 39.0, None,2021-08-13 10:00:00, None, None, None, None,33
16.78, 31.35, None, None, None, 70.8, 0.779, 233.7, 0.0, None, 16.8, 13.8, 0.0, 0.0, None, 17.4, None, None, 31.0, None,2021-08-13 11:00:00, None, None, None, None,33
17.08, 30.67, None, None, None, 6.814, 5.151, 294.0, 0.0, None, 17.1, 13.8, 0.0, 0.0, None, 17.7, None, None, 31.0, None,2021-08-13 12:00:00, None, None, None, None,33
17.74, 26.8, None, None, None, 1.486, 9.18, 308.5, -2.0, None, 17.7, 13.8, 0.0, -2.0, None, 17.9, None, None, 27.0, None,2021-08-13 13:00:00, None, None, None, None,33
18.47, 26.94, None, None, None, 3.898, 11.93, 303.1, -1.0, None, 18.5, 13.8, 0.0, -1.0, None, 18.8, None, None, 27.0, None,2021-08-13 14:00:00, None, None, None, None,33
19.98, 26.53, None, None, None, 4.155, 15.11, 307.8, 0.0, None, 20.0, 13.8, 0.0, 0.0, None, 20.0, None, None, 27.0, None,2021-08-13 15:00:00, None, None, None, None,33
20.56, 24.22, None, None, None, 5.158, 16.32, 307.2, -1.0, None, 20.6, 13.8, 0.0, -1.0, None, 20.6, None, None, 24.0, None,2021-08-13 16:00:00, None, None, None, None,33
20.69, 23.61, None, None, None, 2.906, 17.38, 305.2, -1.0, None, 20.7, 13.8, 0.0, -1.0, None, 21.0, None, None, 24.0, None,2021-08-13 17:00:00, None, None, None, None,33
20.41, 25.44, None, None, None, 5.194, 17.06, 299.1, 0.0, None, 20.4, 13.8, 0.0, None, None, 21.0, None, None, 25.0, None,2021-08-13 18:00:00, None, None, None, None,33
19.39, 26.94, None, None, None, 15.88, 11.51, 267.1, 0.0, None, 19.4, 19.4, 0.0, 0.0, None, 20.4, None, None, 27.0, None,2021-08-13 19:00:00, None, None, None, None,33
17.9, 28.91, None, None, None, 19.3, 9.98, 239.8, 0.0, None, 17.9, 17.9, 0.0, 0.0, None, 20.4, None, None, 29.0, None,2021-08-13 20:00:00, None, None, None, None,33
17.47, 29.18, None, None, None, 16.6, 10.26, 308.7, -1.0, None, 17.5, 17.4, 0.0, -1.0, None, 20.4, None, None, 29.0, None,2021-08-13 21:00:00, None, None, None, None,33
17.33, 28.17, None, None, None, 5.394, 10.14, 304.5, -1.0, None, 17.3, 17.3, 0.0, -1.0, None, 20.4, None, None, 28.0, None,2021-08-13 22:00:00, None, None, None, None,33
17.5, 29.6, None, None, None, 6.486, 9.38, 278.1, 0.0, None, 17.5, 17.0, 0.0, 0.0, None, 20.4, None, None, 30.0, None,2021-08-13 23:00:00, None, None, None, None,33
17.3, 30.01, None, None, None, 2.562, 8.93, 279.4, 0.0, None, 17.3, 17.0, 0.0, 0.0, None, 20.4, None, None, 30.0, None,2021-08-14 00:00:00, None, None, None, None,33
17.3, 26.27, None, None, None, 4.152, 8.91, 282.4, -2.0, None, 17.3, 17.0, 0.0, -2.0, None, 20.4, None, None, 26.0, None,2021-08-14 01:00:00, None, None, None, None,33
17.06, 27.83, None, None, None, 3.587, 5.407, 265.8, -2.0, None, 17.1, 16.9, 0.0, -2.0, None, 20.4, None, None, 28.0, None,2021-08-14 02:00:00, None, None, None, None,33
16.53, 29.46, None, None, None, 7.36, 6.108, 257.3, -1.0, None, 16.5, 16.2, 0.0, -1.0, None, 20.4, None, None, 29.0, None,2021-08-14 03:00:00, None, None, None, None,33
16.38, 28.11, None, None, None, 8.72, 5.268, 253.3, -2.0, None, 16.4, 16.1, 0.0, -2.0, None, 20.4, None, None, 28.0, None,2021-08-14 04:00:00, None, None, None, None,33
16.82, 24.44, None, None, None, 8.78, 5.209, 255.4, -4.0, None, 16.8, 16.1, 0.0, -4.0, None, 20.4, None, None, 24.0, None,2021-08-14 05:00:00, None, None, None, None,33
16.53, 23.15, None, None, None, 11.57, 5.784, 259.3, -5.0, None, 16.5, 16.1, 0.0, -5.0, None, 20.4, None, None, 23.0, None,2021-08-14 06:00:00, None, None, None, None,33
16.62, 23.15, None, None, None, 3.786, 7.38, 279.4, -4.0, None, 16.6, 16.5, 0.0, -4.0, None, 16.8, None, None, 23.0, None,2021-08-14 07:00:00, None, None, None, None,33
17.21, 23.15, None, None, None, 9.36, 4.874, 273.7, -4.0, None, 17.2, 16.5, 0.0, -4.0, None, 17.3, None, None, 23.0, None,2021-08-14 08:00:00, None, None, None, None,33
17.74, 24.1, None, None, None, 1.608, 5.709, 276.7, -3.0, None, 17.7, 16.5, 0.0, -3.0, None, 17.7, None, None, 24.0, None,2021-08-14 09:00:00, None, None, None, None,33
16.21, 30.06, None, None, None, 5.796, 5.691, 277.6, -1.0, None, 16.2, 15.7, 0.0, -1.0, None, 17.9, None, None, 30.0, None,2021-08-14 10:00:00, None, None, None, None,33
16.88, 32.24, None, None, None, 5.292, 6.485, 288.7, 0.0, None, 16.9, 15.7, 0.0, 0.0, None, 17.9, None, None, 32.0, None,2021-08-14 11:00:00, None, None, None, None,33
16.45, 34.34, None, None, None, 26.93, 7.35, 310.0, 1.0, None, 16.5, 15.7, 0.0, 1.0, None, 17.9, None, None, 34.0, None,2021-08-14 12:00:00, None, None, None, None,33
16.54, 35.15, None, None, None, 58.94, 5.715, 331.6, 1.0, None, 16.5, 15.7, 0.0, 1.0, None, 17.9, None, None, 35.0, None,2021-08-14 13:00:00, None, None, None, None,33
18.29, 34.2, None, None, None, 26.71, 8.35, 322.7, 2.0, None, 18.3, 15.7, 0.0, 2.0, None, 18.3, None, None, 34.0, None,2021-08-14 14:00:00, None, None, None, None,33
18.58, 30.61, None, None, None, 47.88, 6.85, 296.8, 1.0, None, 18.6, 15.7, 0.0, 1.0, None, 19.0, None, None, 31.0, None,2021-08-14 15:00:00, None, None, None, None,33
