TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 1.49, None,77.44,2016-06-17 00:00:00,7.691,25
None, 1.748, None,74.89,2016-06-17 01:00:00,7.134,25
None, 2.819, None,71.19,2016-06-17 02:00:00,6.322,25
None, 3.188, None,68.97,2016-06-17 03:00:00,6.168,25
None, 2.414, None,71.65,2016-06-17 04:00:00,5.416,25
None, 2.789, None,71.36,2016-06-17 05:00:00,5.847,25
None, 0.975, None,62.55,2016-06-17 06:00:00,8.56,25
None, 1.103, None,61.57,2016-06-17 07:00:00,9.41,25
None, 1.544, None,58.82,2016-06-17 08:00:00,10.25,25
None, 2.225, None,52.86,2016-06-17 09:00:00,11.65,25
None, 1.859, None,47.5,2016-06-17 10:00:00,12.69,25
None, 2.004, None,46.33,2016-06-17 11:00:00,13.36,25
None, 1.731, None,39.73,2016-06-17 12:00:00,14.47,25
None, 2.347, None,36.99,2016-06-17 13:00:00,15.44,25
None, 2.178, None,33.6,2016-06-17 14:00:00,16.19,25
None, 2.198, None,31.29,2016-06-17 15:00:00,17.2,25
None, 2.115, None,28.98,2016-06-17 16:00:00,17.85,25
None, 2.03, None,26.76,2016-06-17 17:00:00,18.21,25
None, 1.848, None,26.34,2016-06-17 18:00:00,18.37,25
None, 2.042, None,27.59,2016-06-17 19:00:00,18.3,25
None, 1.827, None,32.94,2016-06-17 20:00:00,16.76,25
None, 1.009, None,39.0,2016-06-17 21:00:00,14.38,25
None, 1.682, None,44.28,2016-06-17 22:00:00,13.43,25
None, 2.785, None,50.68,2016-06-17 23:00:00,11.61,25
None, 1.956, None,52.39,2016-06-18 00:00:00,11.0,25
None, 1.665, None,54.1,2016-06-18 01:00:00,10.57,25
None, 2.505, None,58.34,2016-06-18 02:00:00,9.14,25
None, 2.229, None,63.31,2016-06-18 03:00:00,7.801,25
None, 2.391, None,65.2,2016-06-18 04:00:00,7.666,25
None, 1.08, None,69.57,2016-06-18 05:00:00,7.783,25
None, 2.864, None,73.78,2016-06-18 06:00:00,8.44,25
None, 2.222, None,74.73,2016-06-18 07:00:00,8.7,25
None, 2.015, None,70.25,2016-06-18 08:00:00,9.87,25
None, 2.005, None,61.68,2016-06-18 09:00:00,11.79,25
None, 1.691, None,56.01,2016-06-18 10:00:00,12.96,25
None, 1.565, None,49.86,2016-06-18 11:00:00,13.93,25
None, 1.347, None,46.61,2016-06-18 12:00:00,14.89,25
None, 0.674, None,41.9,2016-06-18 13:00:00,16.0,25
None, 0.819, None,39.92,2016-06-18 14:00:00,16.99,25
