snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,MAX_TEMP,week_of_year
631.0, None, None,2017-04-23 00:00:00, 3.4, None, None,17
631.0, None, None,2017-04-23 01:00:00, 2.1, None, None,17
631.0, None, None,2017-04-23 02:00:00, 2.0, None, None,17
631.0, None, None,2017-04-23 03:00:00, 1.5, None, None,17
631.0, None, None,2017-04-23 04:00:00, 1.3, None, None,17
628.0, None, None,2017-04-23 05:00:00, 1.1, None, None,17
625.0, None, None,2017-04-23 06:00:00, 0.5, None, None,17
621.0, None, None,2017-04-23 07:00:00, 0.2, None, None,17
617.0, None, None,2017-04-23 08:00:00, 0.3, None, None,17
615.0, None, None,2017-04-23 09:00:00, 0.1, None, None,17
614.0, None, None,2017-04-23 10:00:00, 0.2, None, None,17
613.0, None, None,2017-04-23 11:00:00, 0.3, None, None,17
612.0, None, None,2017-04-23 12:00:00, 0.3, None, None,17
612.0, None, None,2017-04-23 13:00:00, -0.2, None, None,17
612.0, None, None,2017-04-23 14:00:00, 0.1, None, None,17
612.0, None, None,2017-04-23 15:00:00, 0.8, None, None,17
612.0, 985.0, None,2017-04-23 16:00:00, 1.2, None, None,17
612.0, None, None,2017-04-23 17:00:00, 1.2, None, None,17
612.0, None, None,2017-04-23 18:00:00, 2.6, None, None,17
612.0, None, None,2017-04-23 19:00:00, 2.2, None, None,17
612.0, None, None,2017-04-23 20:00:00, 3.1, None, None,17
613.0, None, None,2017-04-23 21:00:00, 2.9, None, None,17
614.0, None, None,2017-04-23 22:00:00, 3.5, None, None,17
615.0, None, None,2017-04-23 23:00:00, 5.4, None, None,17
616.0, None, None,2017-04-24 00:00:00, 2.2, None, None,17
617.0, None, None,2017-04-24 01:00:00, 2.0, None, None,17
617.0, None, None,2017-04-24 02:00:00, 1.0, None, None,17
618.0, None, None,2017-04-24 03:00:00, 0.2, None, None,17
618.0, None, None,2017-04-24 04:00:00, -0.1, None, None,17
618.0, None, None,2017-04-24 05:00:00, -0.2, None, None,17
618.0, None, None,2017-04-24 06:00:00, -0.5, None, None,17
618.0, None, None,2017-04-24 07:00:00, -0.5, None, None,17
618.0, None, None,2017-04-24 08:00:00, -0.7, None, None,17
618.0, None, None,2017-04-24 09:00:00, -0.8, None, None,17
618.0, None, None,2017-04-24 10:00:00, -0.9, None, None,17
618.0, None, None,2017-04-24 11:00:00, -1.2, None, None,17
618.0, None, None,2017-04-24 12:00:00, -1.2, None, None,17
618.0, None, None,2017-04-24 13:00:00, -1.6, None, None,17
618.0, None, None,2017-04-24 14:00:00, -1.1, None, None,17
618.0, None, None,2017-04-24 15:00:00, -0.6, None, None,17
618.0, 1015.0, None,2017-04-24 16:00:00, -0.4, None, None,17
620.0, None, None,2017-04-24 17:00:00, -0.3, None, None,17
620.0, None, None,2017-04-24 18:00:00, 0.4, None, None,17
621.0, None, None,2017-04-24 19:00:00, 1.4, None, None,17
621.0, None, None,2017-04-24 20:00:00, 1.9, None, None,17
621.0, None, None,2017-04-24 21:00:00, 1.7, None, None,17
622.0, None, None,2017-04-24 22:00:00, 2.0, None, None,17
622.0, None, None,2017-04-24 23:00:00, 1.9, None, None,17
623.0, None, None,2017-04-25 00:00:00, 2.9, None, None,17
623.0, None, None,2017-04-25 01:00:00, 2.4, None, None,17
623.0, None, None,2017-04-25 02:00:00, 1.4, None, None,17
625.0, None, None,2017-04-25 03:00:00, 0.8, None, None,17
625.0, None, None,2017-04-25 04:00:00, 0.6, None, None,17
626.0, None, None,2017-04-25 05:00:00, 0.9, None, None,17
626.0, None, None,2017-04-25 06:00:00, 0.7, None, None,17
626.0, None, None,2017-04-25 07:00:00, 0.7, None, None,17
626.0, None, None,2017-04-25 08:00:00, 0.8, None, None,17
