wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,air_temp_1
177.0, None, None,0.0, None,6.9, None,-7.9, None, None, None,87.0,2019-01-22 00:00:00,4,,,,,,,,,,,
191.0, None, None,0.0, None,6.9, None,-7.7, None, None, None,92.0,2019-01-22 01:00:00,4,,,,,,,,,,,
142.0, None, None,0.0, None,5.8, None,-7.2, None, None, None,91.0,2019-01-22 02:00:00,4,,,,,,,,,,,
69.0, None, None,0.0, None,4.7, None,-7.8, None, None, None,93.0,2019-01-22 03:00:00,4,,,,,,,,,,,
47.0, None, None,0.0, None,4.6, None,-7.8, None, None, None,92.0,2019-01-22 04:00:00,4,,,,,,,,,,,
8.0, None, None,0.0, None,3.5, None,-8.6, None, None, None,91.0,2019-01-22 05:00:00,4,,,,,,,,,,,
313.0, None, None,0.0, None,3.6, None,-8.3, None, None, None,93.0,2019-01-22 06:00:00,4,,,,,,,,,,,
116.0, None, None,0.0, None,3.3, None,-8.1, None, None, None,93.0,2019-01-22 07:00:00,4,,,,,,,,,,,
111.0, None, None,0.0, None,7.7, None,-7.3, None, None, None,93.0,2019-01-22 08:00:00,4,,,,,,,,,,,
161.0, None, None,0.0, None,5.0, None,-6.7, None, None, None,92.0,2019-01-22 09:00:00,4,,,,,,,,,,,
114.0, None, None,0.0, None,5.1, None,-6.4, None, None, None,91.0,2019-01-22 10:00:00,4,,,,,,,,,,,
134.0, None, None,0.0, None,4.7, None,-6.1, None, None, None,92.0,2019-01-22 11:00:00,4,,,,,,,,,,,
125.0, None, None,0.0, None,6.3, None,-6.2, None, None, None,93.0,2019-01-22 12:00:00,4,,,,,,,,,,,
163.0, None, None,0.0, None,3.5, None,-5.7, None, None, None,92.0,2019-01-22 13:00:00,4,,,,,,,,,,,
180.0, None, None,0.0, None,2.9, None,-5.5, None, None, None,92.0,2019-01-22 14:00:00,4,,,,,,,,,,,
188.0, None, None,0.0, None,3.2, None,-6.1, None, None, None,95.0,2019-01-22 15:00:00,4,,,,,,,,,,,
80.0, None, None,0.0, None,5.3, None,-6.5, None, None, None,97.0,2019-01-22 16:00:00,4,,,,,,,,,,,
36.0, None, None,0.0, None,4.3, None,-6.5, None, None, None,98.0,2019-01-22 17:00:00,4,,,,,,,,,,,
358.0, None, None,0.0, None,3.2, None,-6.4, None, None, None,98.0,2019-01-22 18:00:00,4,,,,,,,,,,,
51.0, None, None,0.0, None,5.2, None,-6.2, None, None, None,95.0,2019-01-22 19:00:00,4,,,,,,,,,,,
67.0, None, None,0.0, None,4.6, None,-6.3, None, None, None,94.0,2019-01-22 20:00:00,4,,,,,,,,,,,
83.0, None, None,0.0, None,5.9, None,-6.3, None, None, None,94.0,2019-01-22 21:00:00,4,,,,,,,,,,,
21.0, None, None,0.0, None,4.6, None,-6.3, None, None, None,94.0,2019-01-22 22:00:00,4,,,,,,,,,,,
35.0, None, None,0.0, None,4.5, None,-6.3, None, None, None,94.0,2019-01-22 23:00:00,4,,,,,,,,,,,
41.0, None, None,0.0, None,5.3, None,-6.3, None, None, None,93.0,2019-01-23 00:00:00,4,,,,,,,,,,,
12.0, None, None,0.0, None,6.8, None,-6.1, None, None, None,93.0,2019-01-23 01:00:00,4,,,,,,,,,,,
4.0, None, None,0.0, None,6.4, None,-6.1, None, None, None,94.0,2019-01-23 02:00:00,4,,,,,,,,,,,
355.0, None, None,0.0, None,5.4, None,-6.2, None, None, None,93.0,2019-01-23 03:00:00,4,,,,,,,,,,,
347.0, None, None,0.0, None,2.1, None,-6.2, None, None, None,95.0,2019-01-23 04:00:00,4,,,,,,,,,,,
48.0, None, None,0.0, None,7.1, None,-7.2, None, None, None,94.0,2019-01-23 05:00:00,4,,,,,,,,,,,
169.0, None, None,0.0, None,3.0, None,-7.4, None, None, None,94.0,2019-01-23 06:00:00,4,,,,,,,,,,,
13.0, None, None,0.0, None,6.1, None,-5.7, None, None, None,93.0,2019-01-23 07:00:00,4,,,,,,,,,,,
308.0, None, None,0.0, None,10.3, None,-3.3, None, None, None,87.0,2019-01-23 08:00:00,4,,,,,,,,,,,
274.0, None, None,0.0, None,4.5, None,-3.1, None, None, None,89.0,2019-01-23 09:00:00,4,,,,,,,,,,,
326.0, None, None,0.0, None,8.0, None,-2.8, None, None, None,87.0,2019-01-23 10:00:00,4,,,,,,,,,,,
333.0, None, None,0.0, None,6.3, None,-2.3, None, None, None,83.0,2019-01-23 11:00:00,4,,,,,,,,,,,
318.0, None, None,0.0, None,18.7, None,-2.0, None, None, None,80.0,2019-01-23 12:00:00,4,,,,,,,,,,,
338.0, None, None,0.0, None,20.6, None,-1.8, None, None, None,78.0,2019-01-23 13:00:00,4,,,,,,,,,,,
324.0, None, None,0.0, None,15.1, None,-1.9, None, None, None,79.0,2019-01-23 14:00:00,4,,,,,,,,,,,
334.0, None, None,0.0, None,17.1, None,-2.1, None, None, None,74.0,2019-01-23 15:00:00,4,,,,,,,,,,,
11.0, None, None,0.0, None,7.6, None,-3.6, None, None, None,83.0,2019-01-23 16:00:00,4,,,,,,,,,,,
350.0, None, None,0.0, None,4.1, None,-3.7, None, None, None,86.0,2019-01-23 17:00:00,4,,,,,,,,,,,
163.0, None, None,0.0, None,2.9, None,-4.8, None, None, None,88.0,2019-01-23 18:00:00,4,,,,,,,,,,,
325.0, None, None,0.0, None,5.3, None,-7.3, None, None, None,90.0,2019-01-23 19:00:00,4,,,,,,,,,,,
277.0, None, None,0.0, None,5.4, None,-5.3, None, None, None,94.0,2019-01-23 20:00:00,4,,,,,,,,,,,
338.0, None, None,0.0, None,3.6, None,-6.6, None, None, None,91.0,2019-01-23 21:00:00,4,,,,,,,,,,,
268.0, None, None,0.0, None,4.4, None,-5.5, None, None, None,96.0,2019-01-23 22:00:00,4,,,,,,,,,,,
342.0, None, None,0.0, None,3.2, None,-5.2, None, None, None,94.0,2019-01-23 23:00:00,4,,,,,,,,,,,
312.0, None, None,0.0, None,2.1, None,-5.1, None, None, None,95.0,2019-01-24 00:00:00,4,,,,,,,,,,,
239.0, None, None,0.0, None,2.7, None,-6.2, None, None, None,91.0,2019-01-24 01:00:00,4,,,,,,,,,,,
15.0, None, None,0.0, None,2.1, None,-8.1, None, None, None,96.0,2019-01-24 02:00:00,4,,,,,,,,,,,
7.0, None, None,0.0, None,3.2, None,-8.9, None, None, None,93.0,2019-01-24 03:00:00,4,,,,,,,,,,,
336.0, None, None,0.0, None,6.1, None,-7.7, None, None, None,96.0,2019-01-24 04:00:00,4,,,,,,,,,,,
346.0, None, None,0.0, None,6.7, None,-8.4, None, None, None,92.0,2019-01-24 05:00:00,4,,,,,,,,,,,
276.0, None, None,0.0, None,4.6, None,-7.2, None, None, None,93.0,2019-01-24 06:00:00,4,,,,,,,,,,,
325.0, None, None,0.0, None,11.3, None,-2.7, None, None, None,69.0,2019-01-24 07:00:00,4,,,,,,,,,,,
307.0, None, None,0.0, None,6.9, None,-1.5, None, None, None,69.0,2019-01-24 08:00:00,4,,,,,,,,,,,
322.0, None, None,0.0, None,7.2, None,-2.1, None, None, None,62.0,2019-01-24 09:00:00,4,,,,,,,,,,,
133.0, None, None,0.0, None,5.6, None,-0.7, None, None, None,79.0,2019-01-24 10:00:00,4,,,,,,,,,,,
27.0, None, None,0.0, None,8.8, None,1.1, None, None, None,49.0,2019-01-24 11:00:00,4,,,,,,,,,,,
329.0, None, None,1.2, None,7.1, None,3.1, None, None, None,51.0,2019-01-24 12:00:00,4,,,,,,,,,,,
94.0, None, None,0.4, None,4.9, None,-0.3, None, None, None,81.0,2019-01-24 13:00:00,4,,,,,,,,,,,
136.0, None, None,0.2, None,3.2, None,-1.5, None, None, None,88.0,2019-01-24 14:00:00,4,,,,,,,,,,,
323.0, None, None,0.0, None,3.2, None,-2.8, None, None, None,92.0,2019-01-24 15:00:00,4,,,,,,,,,,,
21.0, None, None,0.0, None,3.5, None,-3.2, None, None, None,94.0,2019-01-24 16:00:00,4,,,,,,,,,,,
326.0, None, None,0.0, None,5.5, None,-3.0, None, None, None,94.0,2019-01-24 17:00:00,4,,,,,,,,,,,
171.0, None, None,0.0, None,2.7, None,-2.9, None, None, None,95.0,2019-01-24 18:00:00,4,,,,,,,,,,,
286.0, None, None,0.0, None,2.8, None,-2.6, None, None, None,95.0,2019-01-24 19:00:00,4,,,,,,,,,,,
222.0, None, None,0.0, None,3.4, None,-2.7, None, None, None,94.0,2019-01-24 20:00:00,4,,,,,,,,,,,
176.0, None, None,0.0, None,3.3, None,-2.3, None, None, None,90.0,2019-01-24 21:00:00,4,,,,,,,,,,,
18.0, None, None,0.0, None,4.0, None,-3.1, None, None, None,94.0,2019-01-24 22:00:00,4,,,,,,,,,,,
78.0, None, None,0.0, None,2.8, None,-3.7, None, None, None,91.0,2019-01-24 23:00:00,4,,,,,,,,,,,
348.0, None, None,0.0, None,7.4, None,-5.3, None, None, None,92.0,2019-01-25 00:00:00,4,,,,,,,,,,,
221.0, None, None,0.0, None,5.7, None,-4.5, None, None, None,88.0,2019-01-25 01:00:00,4,,,,,,,,,,,
348.0, None, None,0.0, None,6.7, None,-5.2, None, None, None,86.0,2019-01-25 02:00:00,4,,,,,,,,,,,
154.0, None, None,0.0, None,5.4, None,-3.2, None, None, None,83.0,2019-01-25 03:00:00,4,,,,,,,,,,,
321.0, None, None,0.0, None,4.3, None,-6.3, None, None, None,96.0,2019-01-25 04:00:00,4,,,,,,,,,,,
84.0, None, None,0.0, None,5.3, None,-5.4, None, None, None,94.0,2019-01-25 05:00:00,4,,,,,,,,,,,
98.0, None, None,0.0, None,3.7, None,-5.5, None, None, None,94.0,2019-01-25 06:00:00,4,,,,,,,,,,,
318.0, None, None,0.0, None,13.0, None,-2.0, None, None, None,74.0,2019-01-25 07:00:00,4,,,,,,,,,,,
318.0, None, None,0.0, None,14.9, None,-0.7, None, None, None,67.0,2019-01-25 08:00:00,4,,,,,,,,,,,
320.0, None, None,0.0, None,16.0, None,-0.7, None, None, None,70.0,2019-01-25 09:00:00,4,,,,,,,,,,,
318.0, None, None,0.0, None,15.8, None,0.3, None, None, None,69.0,2019-01-25 10:00:00,4,,,,,,,,,,,
