station_observations
WDIR_VECT, time
188.6, 2021-12-14 14:00:00
185.9, 2021-12-14 15:00:00
179.6, 2021-12-14 16:00:00
190.8, 2021-12-14 17:00:00
201.3, 2021-12-14 18:00:00
287.6, 2021-12-14 19:00:00
314.3, 2021-12-14 20:00:00
281.9, 2021-12-14 21:00:00
255.7, 2021-12-14 22:00:00
234.9, 2021-12-14 23:00:00
214.4, 2021-12-15 00:00:00
217.2, 2021-12-15 01:00:00
209.4, 2021-12-15 02:00:00
195.4, 2021-12-15 03:00:00
199.9, 2021-12-15 04:00:00
256.6, 2021-12-15 06:00:00
282.9, 2021-12-15 07:00:00
288.1, 2021-12-15 08:00:00
298.5, 2021-12-15 09:00:00
296.4, 2021-12-15 10:00:00
303.9, 2021-12-15 11:00:00
173.1, 2021-12-15 12:00:00
177.1, 2021-12-15 13:00:00
182.6, 2021-12-15 14:00:00
268.1, 2021-12-15 15:00:00
301.9, 2021-12-15 16:00:00
283.5, 2021-12-15 17:00:00
282.9, 2021-12-15 18:00:00
298.0, 2021-12-15 19:00:00
297.1, 2021-12-15 20:00:00
290.3, 2021-12-15 21:00:00
312.5, 2021-12-15 22:00:00
318.3, 2021-12-15 23:00:00
322.7, 2021-12-16 00:00:00
330.2, 2021-12-16 01:00:00
333.2, 2021-12-16 02:00:00
344.8, 2021-12-16 03:00:00
317.5, 2021-12-16 04:00:00
318.5, 2021-12-16 05:00:00
315.9, 2021-12-16 06:00:00
316.4, 2021-12-16 07:00:00
305.5, 2021-12-16 08:00:00
283.7, 2021-12-16 09:00:00
271.6, 2021-12-16 10:00:00
166.9, 2021-12-16 11:00:00
184.9, 2021-12-16 12:00:00
172.3, 2021-12-16 13:00:00
172.2, 2021-12-16 14:00:00
178.6, 2021-12-16 15:00:00
175.4, 2021-12-16 16:00:00
178.7, 2021-12-16 17:00:00
312.1, 2021-12-16 18:00:00
304.6, 2021-12-16 19:00:00
299.9, 2021-12-16 20:00:00
318.9, 2021-12-16 21:00:00
26.2, 2021-12-16 22:00:00
24.4, 2021-12-16 23:00:00
23.9, 2021-12-17 00:00:00
169.8, 2021-12-17 01:00:00
173.7, 2021-12-17 02:00:00
183.3, 2021-12-17 03:00:00
270.4, 2021-12-17 04:00:00
300.0, 2021-12-17 05:00:00
296.8, 2021-12-17 06:00:00
316.2, 2021-12-17 07:00:00
306.0, 2021-12-17 08:00:00
306.8, 2021-12-17 09:00:00
311.8, 2021-12-17 10:00:00
84.7, 2021-12-17 11:00:00
123.8, 2021-12-17 12:00:00
168.9, 2021-12-17 13:00:00
168.6, 2021-12-17 14:00:00
274.8, 2021-12-17 15:00:00
299.1, 2021-12-17 16:00:00
302.2, 2021-12-17 17:00:00
315.9, 2021-12-17 18:00:00
324.2, 2021-12-17 19:00:00
315.2, 2021-12-17 20:00:00
311.9, 2021-12-17 21:00:00
322.9, 2021-12-17 22:00:00
300.5, 2021-12-17 23:00:00
328.6, 2021-12-18 00:00:00
322.8, 2021-12-18 01:00:00
317.0, 2021-12-18 02:00:00
312.0, 2021-12-18 03:00:00
304.7, 2021-12-18 04:00:00
290.3, 2021-12-18 05:00:00
284.3, 2021-12-18 06:00:00
189.8, 2021-12-18 07:00:00
312.6, 2021-12-18 08:00:00
226.8, 2021-12-18 09:00:00
261.4, 2021-12-18 10:00:00
132.5, 2021-12-18 11:00:00
161.1, 2021-12-18 12:00:00
163.6, 2021-12-18 13:00:00
165.5, 2021-12-18 14:00:00
164.8, 2021-12-18 15:00:00
147.9, 2021-12-18 16:00:00
157.3, 2021-12-18 17:00:00
165.8, 2021-12-18 18:00:00
152.5, 2021-12-18 19:00:00
159.4, 2021-12-18 20:00:00
170.8, 2021-12-18 21:00:00
192.6, 2021-12-18 22:00:00
167.8, 2021-12-18 23:00:00
162.5, 2021-12-19 00:00:00
344.6, 2021-12-19 01:00:00
305.4, 2021-12-19 02:00:00
328.1, 2021-12-19 03:00:00
316.5, 2021-12-19 04:00:00
305.5, 2021-12-19 05:00:00
307.6, 2021-12-19 06:00:00
298.1, 2021-12-19 07:00:00
288.5, 2021-12-19 08:00:00
283.3, 2021-12-19 09:00:00
185.8, 2021-12-19 10:00:00
24.7, 2021-12-19 11:00:00
62.2, 2021-12-19 12:00:00
135.4, 2021-12-19 13:00:00
38.5, 2021-12-19 14:00:00
42.6, 2021-12-19 15:00:00
35.5, 2021-12-19 16:00:00
10.3, 2021-12-19 17:00:00
356.6, 2021-12-19 18:00:00
212.4, 2021-12-19 19:00:00
175.5, 2021-12-19 20:00:00
308.6, 2021-12-19 21:00:00
335.9, 2021-12-19 22:00:00
147.8, 2021-12-19 23:00:00
134.1, 2021-12-20 00:00:00
147.9, 2021-12-20 01:00:00
171.5, 2021-12-20 02:00:00
166.4, 2021-12-20 03:00:00
188.4, 2021-12-20 04:00:00
166.8, 2021-12-20 05:00:00
310.8, 2021-12-20 06:00:00
311.5, 2021-12-20 07:00:00
307.6, 2021-12-20 08:00:00
294.8, 2021-12-20 09:00:00
318.0, 2021-12-20 10:00:00
311.7, 2021-12-20 11:00:00
337.3, 2021-12-20 12:00:00
10.0, 2021-12-20 13:00:00
31.9, 2021-12-20 14:00:00
142.2, 2021-12-20 15:00:00
296.2, 2021-12-20 16:00:00
295.9, 2021-12-20 17:00:00
304.4, 2021-12-20 18:00:00
313.0, 2021-12-20 19:00:00
