wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,SNOW_ON_THE_GROUND,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,snwfl_amt_pst1hr,stn_pres
286.0, None, None,0.0, None,3.3, None,-4.1, None, None, None,69.0,2019-04-30 00:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355.0, None, None,0.0, None,5.1, None,-4.3, None, None, None,69.0,2019-04-30 01:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233.0, None, None,0.0, None,2.9, None,-5.1, None, None, None,72.0,2019-04-30 02:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0, None, None,0.0, None,2.9, None,-6.2, None, None, None,77.0,2019-04-30 03:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.0, None, None,0.0, None,2.8, None,-5.9, None, None, None,73.0,2019-04-30 04:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0, None, None,0.0, None,4.2, None,-5.7, None, None, None,71.0,2019-04-30 05:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0, None, None,0.0, None,4.3, None,-4.8, None, None, None,64.0,2019-04-30 06:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0, None, None,0.0, None,3.6, None,0.8, None, None, None,46.0,2019-04-30 07:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313.0, None, None,0.0, None,5.5, None,4.0, None, None, None,38.0,2019-04-30 08:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306.0, None, None,0.0, None,7.9, None,5.5, None, None, None,33.0,2019-04-30 09:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308.0, None, None,0.0, None,8.5, None,7.3, None, None, None,28.0,2019-04-30 10:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317.0, None, None,0.0, None,12.1, None,7.5, None, None, None,27.0,2019-04-30 11:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273.0, None, None,0.0, None,13.8, None,8.3, None, None, None,26.0,2019-04-30 12:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.0, None, None,0.0, None,6.3, None,6.9, None, None, None,30.0,2019-04-30 13:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347.0, None, None,0.0, None,11.3, None,8.0, None, None, None,23.0,2019-04-30 14:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317.0, None, None,0.0, None,8.4, None,8.2, None, None, None,24.0,2019-04-30 15:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349.0, None, None,0.0, None,11.7, None,10.2, None, None, None,19.0,2019-04-30 16:00:00,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
