WDIR_VECT,time,TEMP_MEAN,week_of_year
6.9,2021-07-23 00:00:00, None,30
4.3,2021-07-23 01:00:00, None,30
359.2,2021-07-23 02:00:00, None,30
142.5,2021-07-23 03:00:00, None,30
106.4,2021-07-23 04:00:00, None,30
118.0,2021-07-23 05:00:00, None,30
117.1,2021-07-23 06:00:00, None,30
111.2,2021-07-23 07:00:00, None,30
134.5,2021-07-23 09:00:00, None,30
140.1,2021-07-23 10:00:00, None,30
159.3,2021-07-23 11:00:00, None,30
154.3,2021-07-23 12:00:00, None,30
188.1,2021-07-23 13:00:00, None,30
179.7,2021-07-23 14:00:00, None,30
175.2,2021-07-23 15:00:00, None,30
206.0,2021-07-23 16:00:00, None,30
273.8,2021-07-23 17:00:00, None,30
272.4,2021-07-23 18:00:00, None,30
291.6,2021-07-23 19:00:00, None,30
307.6,2021-07-23 20:00:00, None,30
298.1,2021-07-23 21:00:00, None,30
18.5,2021-07-23 22:00:00, None,30
2.5,2021-07-23 23:00:00, None,30
6.0,2021-07-24 00:00:00, None,30
353.3,2021-07-24 01:00:00, None,30
357.9,2021-07-24 02:00:00, None,30
3.1,2021-07-24 03:00:00, None,30
358.2,2021-07-24 04:00:00, None,30
358.2,2021-07-24 05:00:00, None,30
1.1,2021-07-24 06:00:00, None,30
34.0,2021-07-24 07:00:00, None,30
207.9,2021-07-24 08:00:00, None,30
149.2,2021-07-24 09:00:00, None,30
30.5,2021-07-24 10:00:00, None,30
274.9,2021-07-24 11:00:00, None,30
281.3,2021-07-24 12:00:00, None,30
286.4,2021-07-24 13:00:00, None,30
276.5,2021-07-24 14:00:00, None,30
284.1,2021-07-24 15:00:00, None,30
266.1,2021-07-24 16:00:00, None,30
275.1,2021-07-24 17:00:00, None,30
267.7,2021-07-24 18:00:00, None,30
274.7,2021-07-24 19:00:00, None,30
318.0,2021-07-24 20:00:00, None,30
12.0,2021-07-24 21:00:00, None,30
18.6,2021-07-24 22:00:00, None,30
13.5,2021-07-24 23:00:00, None,30
351.9,2021-07-25 00:00:00, None,30
1.1,2021-07-25 01:00:00, None,30
357.9,2021-07-25 02:00:00, None,30
356.7,2021-07-25 03:00:00, None,30
175.5,2021-07-25 04:00:00, None,30
132.8,2021-07-25 05:00:00, None,30
97.4,2021-07-25 06:00:00, None,30
136.8,2021-07-25 07:00:00, None,30
163.4,2021-07-25 08:00:00, None,30
180.8,2021-07-25 09:00:00, None,30
186.2,2021-07-25 10:00:00, None,30
188.3,2021-07-25 11:00:00, None,30
192.7,2021-07-25 12:00:00, None,30
194.1,2021-07-25 13:00:00, None,30
195.1,2021-07-25 14:00:00, None,30
187.5,2021-07-25 15:00:00, None,30
204.2,2021-07-25 16:00:00, None,30
244.3,2021-07-25 17:00:00, None,30
277.5,2021-07-25 18:00:00, None,30
262.8,2021-07-25 19:00:00, None,30
240.0,2021-07-25 20:00:00, None,30
173.7,2021-07-25 21:00:00, None,30
184.3,2021-07-25 22:00:00, None,30
182.6,2021-07-25 23:00:00, None,30
188.0,2021-07-26 00:00:00, None,30
192.5,2021-07-26 01:00:00, None,30
198.6,2021-07-26 02:00:00, None,30
185.3,2021-07-26 03:00:00, None,30
161.8,2021-07-26 04:00:00, None,30
173.0,2021-07-26 05:00:00, None,30
160.2,2021-07-26 06:00:00, None,30
158.6,2021-07-26 07:00:00, None,30
50.5,2021-07-26 08:00:00, None,30
182.3,2021-07-26 09:00:00, None,30
174.4,2021-07-26 10:00:00, None,30
172.0,2021-07-26 11:00:00, None,30
193.6,2021-07-26 12:00:00, None,30
189.1,2021-07-26 13:00:00, None,30
231.3,2021-07-26 14:00:00, None,30
193.0,2021-07-26 15:00:00, None,30
260.5,2021-07-26 16:00:00, None,30
267.4,2021-07-26 17:00:00, None,30
269.3,2021-07-26 18:00:00, None,30
264.3,2021-07-26 19:00:00, None,30
293.5,2021-07-26 20:00:00, None,30
317.6,2021-07-26 21:00:00, None,30
93.0,2021-07-26 22:00:00, None,30
93.9,2021-07-26 23:00:00, None,30
137.0,2021-07-27 00:00:00, None,30
183.3,2021-07-27 01:00:00, None,30
172.6,2021-07-27 02:00:00, None,30
261.2,2021-07-27 12:00:00, None,30
279.6,2021-07-27 13:00:00, None,30
264.7,2021-07-27 14:00:00, None,30
273.7,2021-07-27 15:00:00, None,30
288.6,2021-07-27 16:00:00, None,30
279.2,2021-07-27 17:00:00, None,30
272.7,2021-07-27 18:00:00, None,30
278.2,2021-07-27 19:00:00, None,30
252.6,2021-07-27 20:00:00, None,30
170.7,2021-07-27 21:00:00, None,30
174.1,2021-07-27 22:00:00, None,30
9.4,2021-07-27 23:00:00, None,30
