WDIR_VECT,TEMP_MEAN,WSPD_SCLR,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, 4.12,92.1,2016-02-12 00:00:00,8.06,7
None, None, 3.881,92.6,2016-02-12 01:00:00,8.08,7
None, None, 3.799,92.5,2016-02-12 02:00:00,7.99,7
None, None, 1.543,93.8,2016-02-12 03:00:00,7.73,7
None, None, 2.025,94.1,2016-02-12 04:00:00,7.86,7
None, None, 1.367,94.3,2016-02-12 05:00:00,7.65,7
None, None, 0.999,94.5,2016-02-12 06:00:00,7.73,7
None, None, 1.256,94.8,2016-02-12 07:00:00,8.07,7
None, None, 1.51,94.6,2016-02-12 08:00:00,7.99,7
None, None, 3.069,94.9,2016-02-12 09:00:00,8.07,7
None, None, 1.959,94.7,2016-02-12 10:00:00,8.85,7
None, None, 1.365,93.8,2016-02-12 11:00:00,8.71,7
None, None, 1.832,93.3,2016-02-12 12:00:00,9.16,7
None, None, 1.876,90.2,2016-02-12 13:00:00,9.98,7
None, None, 0.497999,88.7,2016-02-12 14:00:00,10.22,7
None, None, 1.465,81.6,2016-02-12 15:00:00,11.26,7
None, None, 2.107,78.4,2016-02-12 16:00:00,11.34,7
None, None, 0.936999,84.5,2016-02-12 17:00:00,10.76,7
None, None, 1.481,89.1,2016-02-12 18:00:00,9.57,7
None, None, 0.684,90.9,2016-02-12 19:00:00,8.72,7
None, None, 1.291,90.6,2016-02-12 20:00:00,8.28,7
None, None, 1.272,90.6,2016-02-12 21:00:00,8.23,7
None, None, 1.493,90.6,2016-02-12 22:00:00,7.95,7
None, None, 1.779,90.4,2016-02-12 23:00:00,7.94,7
None, None, 1.635,92.0,2016-02-13 00:00:00,7.86,7
None, None, 1.242,92.2,2016-02-13 01:00:00,7.83,7
None, None, 1.442,92.7,2016-02-13 02:00:00,7.7,7
None, None, 1.484,93.1,2016-02-13 03:00:00,7.43,7
None, None, 1.37,91.8,2016-02-13 04:00:00,7.1,7
None, None, 1.442,92.2,2016-02-13 05:00:00,6.856,7
None, None, 2.021,92.2,2016-02-13 06:00:00,6.483,7
None, None, 1.46,89.8,2016-02-13 07:00:00,6.583,7
None, None, 1.106,89.5,2016-02-13 08:00:00,6.561,7
None, None, 1.769,89.8,2016-02-13 09:00:00,6.782,7
None, None, 2.349,86.0,2016-02-13 10:00:00,7.51,7
None, None, 6.429,81.7,2016-02-13 11:00:00,8.07,7
None, None, 3.944,75.3,2016-02-13 12:00:00,7.88,7
None, None, 2.194,86.5,2016-02-13 13:00:00,7.05,7
None, None, 2.413,86.0,2016-02-13 14:00:00,6.718,7
None, None, 1.462,85.5,2016-02-13 15:00:00,6.782,7
None, None, 2.277,88.8,2016-02-13 16:00:00,6.38,7
None, None, 2.782,88.0,2016-02-13 17:00:00,6.574,7
None, None, 3.159,89.2,2016-02-13 18:00:00,6.146,7
None, None, 3.301,92.4,2016-02-13 19:00:00,5.706,7
None, None, 3.466,93.0,2016-02-13 20:00:00,5.64,7
None, None, 3.035,93.6,2016-02-13 21:00:00,5.638,7
None, None, 2.2,93.9,2016-02-13 22:00:00,5.889,7
None, None, 2.08,94.1,2016-02-13 23:00:00,6.129,7
None, None, 2.4,94.1,2016-02-14 00:00:00,6.212,7
None, None, 0.726998,94.0,2016-02-14 01:00:00,6.209,7
None, None, 0.931999,93.8,2016-02-14 02:00:00,6.269,7
None, None, 1.052,93.8,2016-02-14 03:00:00,6.42,7
None, None, 0.779999,93.9,2016-02-14 04:00:00,6.39,7
None, None, 1.09,94.1,2016-02-14 05:00:00,6.22,7
None, None, 1.535,94.2,2016-02-14 06:00:00,6.374,7
None, None, 0.912998,94.5,2016-02-14 07:00:00,6.285,7
None, None, 0.486,94.4,2016-02-14 08:00:00,6.239,7
None, None, 2.032,94.7,2016-02-14 09:00:00,6.296,7
None, None, 1.709,95.1,2016-02-14 10:00:00,6.275,7
None, None, 1.29,95.0,2016-02-14 11:00:00,6.5,7
None, None, 2.14,95.3,2016-02-14 12:00:00,6.643,7
None, None, 1.476,95.8,2016-02-14 13:00:00,7.24,7
None, None, 2.101,95.4,2016-02-14 14:00:00,7.96,7
None, None, 1.669,94.9,2016-02-14 15:00:00,8.32,7
None, None, 0.666998,94.4,2016-02-14 16:00:00,7.74,7
None, None, 0.634,95.1,2016-02-14 17:00:00,7.54,7
None, None, 1.143,95.5,2016-02-14 18:00:00,8.19,7
None, None, 0.977998,95.4,2016-02-14 19:00:00,8.18,7
None, None, 0.328999,95.3,2016-02-14 20:00:00,7.7,7
None, None, 0.504998,95.6,2016-02-14 21:00:00,7.87,7
None, None, 1.533,95.8,2016-02-14 22:00:00,7.76,7
None, None, 2.409,96.0,2016-02-14 23:00:00,8.15,7
None, None, 1.978,96.1,2016-02-15 00:00:00,7.92,7
None, None, 0.996999,96.1,2016-02-15 01:00:00,7.73,7
None, None, 0.384,95.9,2016-02-15 02:00:00,7.46,7
None, None, 0.351999,95.8,2016-02-15 03:00:00,7.35,7
None, None, 0.533999,95.7,2016-02-15 04:00:00,7.08,7
None, None, 0.228,95.7,2016-02-15 05:00:00,7.21,7
None, None, None,95.7,2016-02-15 06:00:00,7.25,7
None, None, 0.065999,95.8,2016-02-15 07:00:00,7.22,7
None, None, 0.168999,95.8,2016-02-15 08:00:00,7.14,7
None, None, 0.128,95.9,2016-02-15 09:00:00,7.14,7
None, None, 0.056,95.9,2016-02-15 10:00:00,7.23,7
None, None, 1.181,95.4,2016-02-15 11:00:00,7.17,7
None, None, 1.764,94.7,2016-02-15 12:00:00,7.63,7
None, None, 1.146,93.7,2016-02-15 13:00:00,7.71,7
None, None, 1.711,94.5,2016-02-15 14:00:00,7.38,7
None, None, 2.259,95.3,2016-02-15 15:00:00,7.37,7
None, None, 2.604,94.4,2016-02-15 16:00:00,7.59,7
None, None, 5.413,91.4,2016-02-15 17:00:00,7.61,7
None, None, 6.193,88.7,2016-02-15 18:00:00,7.13,7
None, None, 3.608,89.5,2016-02-15 19:00:00,6.803,7
None, None, 2.087,92.9,2016-02-15 20:00:00,6.949,7
None, None, 2.453,93.5,2016-02-15 21:00:00,7.59,7
None, None, 2.544,92.8,2016-02-15 22:00:00,7.71,7
None, None, 0.878,93.5,2016-02-15 23:00:00,7.37,7
None, None, 0.167998,94.2,2016-02-16 00:00:00,7.22,7
None, None, 0.685,94.5,2016-02-16 01:00:00,6.985,7
None, None, 0.740998,94.9,2016-02-16 02:00:00,6.318,7
None, None, 1.089,95.3,2016-02-16 03:00:00,5.942,7
None, None, 0.762,95.7,2016-02-16 04:00:00,5.749,7
None, None, 0.852998,95.7,2016-02-16 05:00:00,4.991,7
None, None, 1.49,95.8,2016-02-16 06:00:00,4.877,7
None, None, 1.006,95.0,2016-02-16 07:00:00,5.209,7
None, None, 0.944998,94.2,2016-02-16 08:00:00,4.7,7
None, None, 0.976,90.8,2016-02-16 09:00:00,6.292,7
None, None, 1.884,88.1,2016-02-16 10:00:00,6.331,7
None, None, 1.017,89.4,2016-02-16 11:00:00,6.319,7
None, None, 0.940998,88.0,2016-02-16 12:00:00,7.63,7
None, None, 1.118,83.8,2016-02-16 13:00:00,8.45,7
None, None, 0.246,84.0,2016-02-16 14:00:00,8.32,7
None, None, 0.739,75.7,2016-02-16 15:00:00,9.82,7
None, None, 0.46,78.8,2016-02-16 16:00:00,9.69,7
None, None, 1.408,78.7,2016-02-16 17:00:00,9.36,7
None, None, 2.35,74.9,2016-02-16 18:00:00,9.12,7
None, None, 0.866998,79.4,2016-02-16 19:00:00,8.4,7
None, None, 3.091,78.3,2016-02-16 20:00:00,8.22,7
None, None, 2.557,78.5,2016-02-16 21:00:00,8.17,7
None, None, 3.632,77.4,2016-02-16 22:00:00,8.25,7
None, None, 3.404,75.9,2016-02-16 23:00:00,8.42,7
None, None, 5.063,69.52,2016-02-17 00:00:00,8.77,7
None, None, 5.298,68.45,2016-02-17 01:00:00,8.75,7
None, None, 5.266,69.36,2016-02-17 02:00:00,8.64,7
None, None, 5.106,67.89,2016-02-17 03:00:00,8.88,7
None, None, 5.473,72.3,2016-02-17 04:00:00,8.77,7
None, None, 5.88,79.7,2016-02-17 05:00:00,8.12,7
None, None, 5.526,83.1,2016-02-17 06:00:00,7.73,7
None, None, 5.622,84.7,2016-02-17 07:00:00,7.54,7
None, None, 3.808,87.3,2016-02-17 08:00:00,7.26,7
None, None, 3.668,87.9,2016-02-17 09:00:00,7.18,7
None, None, 4.247,88.7,2016-02-17 10:00:00,7.22,7
None, None, 3.75,88.8,2016-02-17 11:00:00,7.58,7
None, None, 4.114,86.7,2016-02-17 12:00:00,7.85,7
None, None, 6.205,83.3,2016-02-17 13:00:00,8.31,7
None, None, 4.587,85.8,2016-02-17 14:00:00,8.23,7
None, None, 3.622,83.9,2016-02-17 15:00:00,9.09,7
None, None, 3.205,80.7,2016-02-17 16:00:00,9.33,7
None, None, 1.929,81.3,2016-02-17 17:00:00,9.14,7
None, None, 1.008,90.0,2016-02-17 18:00:00,7.99,7
None, None, 2.643,91.2,2016-02-17 19:00:00,8.07,7
None, None, 4.878,91.0,2016-02-17 20:00:00,8.07,7
None, None, 2.708,91.4,2016-02-17 21:00:00,8.07,7
None, None, 1.545,91.5,2016-02-17 22:00:00,8.06,7
None, None, 1.125,92.9,2016-02-17 23:00:00,7.79,7
None, None, 0.828,93.4,2016-02-18 00:00:00,7.46,7
None, None, 1.042,93.7,2016-02-18 01:00:00,7.63,7
None, None, 0.828,93.9,2016-02-18 02:00:00,7.59,7
None, None, 0.754,94.2,2016-02-18 03:00:00,7.63,7
None, None, 1.172,94.5,2016-02-18 04:00:00,7.52,7
None, None, 0.777998,94.8,2016-02-18 05:00:00,7.55,7
None, None, 1.113,94.9,2016-02-18 06:00:00,7.58,7
None, None, 1.301,94.9,2016-02-18 07:00:00,7.44,7
None, None, 0.751999,94.6,2016-02-18 08:00:00,7.33,7
None, None, 0.402,94.5,2016-02-18 09:00:00,7.4,7
None, None, 0.337998,94.8,2016-02-18 10:00:00,7.18,7
None, None, 3.079,86.5,2016-02-18 11:00:00,7.35,7
None, None, 1.899,82.1,2016-02-18 12:00:00,7.6,7
None, None, 1.227,81.0,2016-02-18 13:00:00,7.94,7
None, None, 0.81,76.2,2016-02-18 14:00:00,8.93,7
None, None, 0.869,74.8,2016-02-18 15:00:00,9.15,7
None, None, 1.089,79.6,2016-02-18 16:00:00,9.18,7
None, None, 1.594,80.9,2016-02-18 17:00:00,9.28,7
None, None, 1.796,80.1,2016-02-18 18:00:00,9.03,7
None, None, 2.229,83.8,2016-02-18 19:00:00,8.5,7
None, None, 1.383,87.1,2016-02-18 20:00:00,8.16,7
None, None, 1.547,87.5,2016-02-18 21:00:00,8.05,7
None, None, 3.083,81.8,2016-02-18 22:00:00,8.45,7
None, None, 4.453,79.5,2016-02-18 23:00:00,8.61,7
