station_observations
wind_direction, rel_hum, avg_wnd_spd_10m_pst10mts, precipitation, dwpt_temp, wind_speed, air_temp, temperature, avg_wnd_dir_10m_pst10mts, rnfl_amt_pst1hr, rnfl_amt_pst24hrs, relative_humidity, time, snw_dpth
353.0, None, None, 0.6, None, 5.0, None, 9.5, None, None, None, 96.0, 2020-05-20 17:00:00, None
295.0, None, None, 0.6, None, 4.4, None, 8.9, None, None, None, 95.0, 2020-05-20 18:00:00, None
254.0, None, None, 0.8, None, 7.1, None, 8.0, None, None, None, 94.0, 2020-05-20 19:00:00, None
244.0, None, None, 0.0, None, 9.5, None, 6.5, None, None, None, 96.0, 2020-05-20 20:00:00, None
258.0, None, None, 0.2, None, 8.0, None, 5.3, None, None, None, 96.0, 2020-05-20 21:00:00, None
228.0, None, None, 0.0, None, 4.5, None, 4.7, None, None, None, 98.0, 2020-05-20 22:00:00, None
266.0, None, None, 0.0, None, 4.7, None, 4.9, None, None, None, 96.0, 2020-05-20 23:00:00, None
263.0, None, None, 0.0, None, 5.9, None, 4.7, None, None, None, 97.0, 2020-05-21 00:00:00, None
345.0, None, None, 0.0, None, 2.1, None, 4.5, None, None, None, 98.0, 2020-05-21 01:00:00, None
258.0, None, None, 0.0, None, 5.4, None, 4.4, None, None, None, 99.0, 2020-05-21 02:00:00, None
277.0, None, None, 0.0, None, 1.8, None, 4.3, None, None, None, 99.0, 2020-05-21 03:00:00, None
37.0, None, None, 0.0, None, 1.7, None, 4.6, None, None, None, 99.0, 2020-05-21 04:00:00, None
148.0, None, None, 0.2, None, 1.7, None, 5.4, None, None, None, 98.0, 2020-05-21 05:00:00, None
296.0, None, None, 0.0, None, 5.6, None, 6.5, None, None, None, 94.0, 2020-05-21 06:00:00, None
330.0, None, None, 0.0, None, 10.1, None, 7.0, None, None, None, 90.0, 2020-05-21 07:00:00, None
314.0, None, None, 0.0, None, 9.2, None, 7.4, None, None, None, 88.0, 2020-05-21 08:00:00, None
311.0, None, None, 0.0, None, 10.4, None, 6.8, None, None, None, 90.0, 2020-05-21 09:00:00, None
314.0, None, None, 0.0, None, 8.4, None, 6.6, None, None, None, 91.0, 2020-05-21 10:00:00, None
346.0, None, None, 0.6, None, 8.6, None, 6.3, None, None, None, 92.0, 2020-05-21 11:00:00, None
324.0, None, None, 0.6, None, 5.4, None, 5.9, None, None, None, 95.0, 2020-05-21 12:00:00, None
333.0, None, None, 1.8, None, 5.9, None, 6.0, None, None, None, 95.0, 2020-05-21 13:00:00, None
301.0, 95.0, 5.4, 2.4, 5.2, 7.2, 5.9, 5.5, 324.0, 0.6, None, 95.0, 2020-05-21 14:00:00, 0.0
303.0, None, None, 0.8, None, 9.2, None, 5.5, None, None, None, 95.0, 2020-05-21 15:00:00, None
332.0, 95.0, 7.2, 0.0, 4.8, 7.8, 5.5, 5.2, 301.0, 2.4, None, 92.0, 2020-05-21 16:00:00, 0.0
329.0, 95.0, 9.2, 0.0, 4.8, 9.3, 5.5, 4.8, 303.0, 0.8, 9.0, 92.0, 2020-05-21 17:00:00, 0.0
308.0, 92.0, 7.8, 0.0, 4.0, 7.8, 5.2, 4.4, 332.0, 0.0, 8.6, 94.0, 2020-05-21 18:00:00, 0.0
