pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
0.0, 2.989, 94.9, 8.9, 95.0, 2.0, 3.0, 2.9, 2.0, 0.0, 0.0,2020-10-28 00:00:00, 1.0, 0.633,44
0.0, 3.27, 95.6, 8.9, 96.0, 2.0, 3.3, 2.8, 2.0, 0.0, -1.0,2020-10-28 01:00:00, 0.0, -0.492,44
0.0, 3.105, 96.2, 8.9, 96.0, 3.0, 3.1, 2.8, 3.0, 0.0, 0.0,2020-10-28 02:00:00, 0.0, -0.28,44
0.0, 3.154, 97.5, 8.9, 98.0, 3.0, 3.2, 2.7, 3.0, 0.0, 1.0,2020-10-28 03:00:00, 0.0, 0.231,44
0.0, 2.976, 98.1, 8.9, 98.0, 3.0, 3.0, 2.6, 3.0, 0.0, 0.0,2020-10-28 04:00:00, 0.0, 0.388,44
0.0, 3.21, 98.5, 8.9, 99.0, 3.0, 3.2, 2.6, 3.0, 0.0, -1.0,2020-10-28 05:00:00, 0.0, -0.477,44
None, 2.805, 98.4, None, None, None, None, None, 3.0, None, None,2020-10-28 06:00:00, None, -0.382,44
0.0, 2.734, 98.5, 3.1, 99.0, 2.0, 2.7, 2.4, 2.0, 0.0, 0.0,2020-10-28 07:00:00, 0.0, -0.415,44
0.0, 2.966, 98.6, 3.6, 99.0, 3.0, 3.0, 2.4, 3.0, 0.0, 0.0,2020-10-28 08:00:00, -1.0, -0.727,44
0.0, 3.204, 98.7, 3.6, 99.0, 3.0, 3.2, 2.4, 3.0, 0.0, 0.0,2020-10-28 09:00:00, -1.0, -0.6,44
0.0, 3.825, 98.6, 4.1, 99.0, 4.0, 3.8, 2.4, 4.0, 0.0, 0.0,2020-10-28 10:00:00, -1.0, -0.669,44
0.0, 5.372, 98.5, 5.3, 99.0, 5.0, 5.4, 2.4, 5.0, 0.0, 1.0,2020-10-28 11:00:00, 0.0, -0.382,44
0.8, 7.088, 87.4, 7.2, 87.0, 5.0, 7.1, 2.4, 5.0, 0.8, 0.0,2020-10-28 12:00:00, -1.0, -0.54,44
1.0, 8.67, 79.61, 8.8, 80.0, 5.0, 8.7, 2.4, 5.0, 0.2, 0.0,2020-10-28 13:00:00, -1.0, -0.535,44
1.0, 10.22, 74.84, 10.0, 75.0, 6.0, 10.2, 2.4, 6.0, 0.0, 0.0,2020-10-28 14:00:00, 0.0, -0.414,44
1.0, 14.93, 55.64, 14.8, 56.0, 6.0, 14.9, 2.4, 6.0, 0.0, 0.0,2020-10-28 15:00:00, -1.0, -0.502,44
1.0, 14.47, 54.32, 15.0, 54.0, 6.0, 14.5, 2.4, 6.0, 0.0, 0.0,2020-10-28 16:00:00, -1.0, -0.751,44
1.0, 13.46, 56.13, 15.0, 56.0, 6.0, 13.5, 2.4, 6.0, 0.0, 0.0,2020-10-28 17:00:00, -1.0, -0.759,44
1.0, 12.87, 58.35, 15.0, 58.0, 5.0, 12.9, 2.4, 5.0, 0.0, 0.0,2020-10-28 18:00:00, -1.0, -0.711,44
None, 12.33, 61.52, 13.1, 62.0, 5.0, 12.3, 12.2, 5.0, -0.7, 0.0,2020-10-28 19:00:00, -1.0, -0.893,44
