WDIR_VECT,TEMP_MEAN,WSPD_SCLR,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, 1.327,80.0,2016-05-20 00:00:00,11.13,21
None, None, 1.014,81.0,2016-05-20 01:00:00,11.07,21
None, None, 0.524999,80.9,2016-05-20 02:00:00,11.0,21
None, None, 0.433999,80.6,2016-05-20 03:00:00,11.0,21
None, None, 0.527,81.5,2016-05-20 04:00:00,10.81,21
None, None, 1.272,82.7,2016-05-20 05:00:00,9.99,21
None, None, 1.572,82.4,2016-05-20 06:00:00,10.43,21
None, None, 1.681,83.7,2016-05-20 07:00:00,11.06,21
None, None, 1.073,84.5,2016-05-20 08:00:00,11.64,21
None, None, 3.975,80.4,2016-05-20 09:00:00,11.98,21
None, None, 5.63,72.4,2016-05-20 10:00:00,12.27,21
None, None, 6.819,72.3,2016-05-20 11:00:00,12.58,21
None, None, 7.05,77.5,2016-05-20 12:00:00,12.71,21
None, None, 7.25,75.9,2016-05-20 13:00:00,13.27,21
None, None, 6.752,69.26,2016-05-20 14:00:00,14.43,21
None, None, 4.727,68.45,2016-05-20 15:00:00,15.06,21
None, None, 1.361,65.07,2016-05-20 16:00:00,15.66,21
None, None, 0.866998,64.85,2016-05-20 17:00:00,16.65,21
None, None, 2.717,59.07,2016-05-20 18:00:00,17.62,21
None, None, 1.476,63.26,2016-05-20 19:00:00,17.11,21
None, None, 2.683,67.64,2016-05-20 20:00:00,15.66,21
None, None, 1.392,72.3,2016-05-20 21:00:00,13.66,21
None, None, 1.019,72.5,2016-05-20 22:00:00,12.79,21
None, None, 1.809,69.87,2016-05-20 23:00:00,12.52,21
None, None, 1.807,65.94,2016-05-21 00:00:00,12.62,21
None, None, 1.539,68.85,2016-05-21 01:00:00,11.59,21
None, None, 0.768,66.85,2016-05-21 02:00:00,11.58,21
None, None, 1.817,64.37,2016-05-21 03:00:00,11.08,21
None, None, 2.572,61.94,2016-05-21 04:00:00,10.96,21
