pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,3.9, None, None, None, None,33.75, None,1.9,337.1, None, None, None, None, None, None, None, None, None, None, None,2016-02-26 00:00:00, None, None, 100.9, None,9
None,3.958, None, None, None, None,25.94, None,1.678,336.1, None, None, None, None, None, None, None, None, None, None, None,2016-02-26 01:00:00, None, None, 100.8, None,9
None,3.597, None, None, None, None,22.87, None,1.406,334.7, None, None, None, None, None, None, None, None, None, None, None,2016-02-26 02:00:00, None, None, 100.8, None,9
None,3.607, None, None, None, None,23.93, None,1.985,333.8, None, None, None, None, None, None, None, None, None, None, None,2016-02-26 03:00:00, None, None, 100.3, None,9
None,4.082, None, None, None, None,72.1, None,0.505,1.854, None, None, None, None, None, None, None, None, None, None, None,2016-02-26 04:00:00, None, None, 98.6, None,9
None,3.968, None, None, None, None,65.94, None,0.706,350.7, None, None, None, None, None, None, None, None, None, None, None,2016-02-26 05:00:00, None, None, 100.2, None,9
None,3.265, None, None, None, None,47.79, None,1.255,338.1, None, None, None, None, None, None, None, None, None, None, None,2016-02-26 06:00:00, None, None, 100.4, None,9
None,3.151, None, None, None, None,59.73, None,0.953,63.58, None, None, None, None, None, None, None, None, None, None, None,2016-02-26 07:00:00, None, None, 99.5, None,9
None,3.047, None, None, None, None,54.68, None,1.048,6.041, None, None, None, None, None, None, None, None, None, None, None,2016-02-26 08:00:00, None, None, 99.2, None,9
None,2.962, None, None, None, None,64.92, None,0.814,0.003, None, None, None, None, None, None, None, None, None, None, None,2016-02-26 09:00:00, None, None, 99.2, None,9
