ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity
0.0,0.0,-7.0,0.0,2021-03-12,167.0,0.5,11,,,,,,,,,,,,
0.0,0.0,-3.5,0.0,2021-03-13,165.0,3.5,11,,,,,,,,,,,,
0.0,0.0,-2.5,0.0,2021-03-14,164.0,1.0,11,,,,,,,,,,,,
0.0,0.0,-10.0,0.0,2021-03-15,164.0,-1.5,11,,,,,,,,,,,,
0.0,0.0,-11.0,0.0,2021-03-16,164.0,1.0,11,,,,,,,,,,,,
0.0,0.0,-7.0,0.0,2021-03-17,163.0,3.0,11,,,,,,,,,,,,
2.0,0.0,1.0,2.0,2021-03-18,162.0,-3.0,11,,,,,,,,,,,,
0.0,0.0,-15.0,0.0,2021-03-12,90.0,5.0,11,,,,,,,,,,,,
0.0,0.0,-2.0,0.0,2021-03-13,90.0,8.0,11,,,,,,,,,,,,
0.0,0.0,-2.5,0.0,2021-03-14,88.0,5.5,11,,,,,,,,,,,,
0.0,0.0,-6.5,0.0,2021-03-15,88.0,2.0,11,,,,,,,,,,,,
0.0,0.0,-10.0,0.0,2021-03-16,88.0,5.5,11,,,,,,,,,,,,
0.0,0.0,-10.0,0.0,2021-03-17,87.0,8.0,11,,,,,,,,,,,,
1.0,0.0,-6.5,1.0,2021-03-18,86.0,9.0,11,,,,,,,,,,,,
0.0, 0.0, -9.0, 0.0,2021-03-12, 199.0, -2.0,11,,,,,,,,,,,,
0.0, 0.0, -4.0, 0.0,2021-03-13, 197.0, 1.0,11,,,,,,,,,,,,
0.0, 0.0, -5.5, 0.0,2021-03-14, 195.0, -1.0,11,,,,,,,,,,,,
0.0, 0.0, -10.5, 0.0,2021-03-15, 195.0, -4.0,11,,,,,,,,,,,,
, None, -12.0, None,2021-03-16, 194.0, None,11,,,,,,,,,,,,
0.0, 0.0, None, 0.0,2021-03-17, None, 0.5,11,,,,,,,,,,,,
3.0, 0.0, -4.0, 3.0,2021-03-18, 186.0, 1.0,11,,,,,,,,,,,,
,,,,2021-03-12 00:00:00,,,11,243.0, 52.0, 2.4, 0.0, -13.6, 2.2, -5.3, -4.8, 261.0, 0.0, 0.0, 53.0
,,,,2021-03-12 01:00:00,,,11,27.0, 53.0, 2.2, 0.0, -12.9, 0.7, -4.8, -5.4, 243.0, 0.0, 0.0, 59.0
,,,,2021-03-12 02:00:00,,,11,329.0, 59.0, 0.7, 0.0, -12.1, 2.7, -5.4, -5.8, 27.0, 0.0, 0.0, 57.0
,,,,2021-03-12 03:00:00,,,11,62.0, 57.0, 2.7, 0.0, -13.0, 2.4, -5.8, -5.9, 329.0, 0.0, 0.0, 55.0
,,,,2021-03-12 04:00:00,,,11,74.0, 55.0, 2.4, 0.0, -13.5, 1.7, -5.9, -5.9, 62.0, 0.0, 0.0, 55.0
,,,,2021-03-12 05:00:00,,,11,72.0, None, None, 0.0, None, 1.3, None, -5.6, None, None, None, 64.0
,,,,2021-03-12 06:00:00,,,11,115.0, 64.0, 1.3, 0.0, -11.3, 1.9, -5.6, -5.0, 72.0, 0.0, 0.0, 65.0
,,,,2021-03-12 07:00:00,,,11,103.0, 65.0, 1.9, 0.0, -10.6, 2.4, -5.0, -3.2, 115.0, 0.0, 0.0, 59.0
,,,,2021-03-12 08:00:00,,,11,180.0, 59.0, 2.4, 0.0, -10.1, 5.0, -3.2, 0.8, 103.0, 0.0, 0.0, 42.0
,,,,2021-03-12 09:00:00,,,11,162.0, 42.0, 5.0, 0.0, -10.7, 8.0, 0.8, 3.1, 180.0, 0.0, 0.0, 34.0
,,,,2021-03-12 10:00:00,,,11,137.0, None, None, 0.0, None, 7.9, None, 2.7, None, None, None, 36.0
,,,,2021-03-12 11:00:00,,,11,164.0, 36.0, 7.9, 0.0, -10.9, 8.4, 2.7, 4.8, 137.0, 0.0, None, 32.0
,,,,2021-03-12 12:00:00,,,11,162.0, 32.0, 8.4, 0.0, -10.5, 9.7, 4.8, 4.6, 164.0, 0.0, 0.0, 33.0
,,,,2021-03-12 13:00:00,,,11,155.0, 33.0, 9.7, 0.0, -10.3, 6.2, 4.6, 5.4, 162.0, 0.0, 0.0, 33.0
,,,,2021-03-12 14:00:00,,,11,163.0, 33.0, 6.2, 0.0, -9.6, 6.8, 5.4, 6.3, 155.0, 0.0, 0.0, 31.0
,,,,2021-03-12 15:00:00,,,11,161.0, 31.0, 6.8, 0.0, -9.6, 7.1, 6.3, 6.2, 163.0, 0.0, 0.0, 33.0
,,,,2021-03-12 16:00:00,,,11,211.0, 33.0, 7.1, 0.0, -8.9, 3.6, 6.2, 3.5, 161.0, 0.0, 0.0, 37.0
,,,,2021-03-12 17:00:00,,,11,17.0, 37.0, 3.6, 0.0, -9.8, 0.5, 3.5, -1.3, 211.0, 0.0, 0.0, 64.0
,,,,2021-03-12 18:00:00,,,11,30.0, 64.0, 0.5, 0.0, -7.2, 3.5, -1.3, -2.0, 17.0, 0.0, 0.0, 67.0
,,,,2021-03-12 19:00:00,,,11,38.0, 67.0, 3.5, 0.0, -7.3, 5.3, -2.0, -1.9, 30.0, 0.0, 0.0, 61.0
,,,,2021-03-12 20:00:00,,,11,37.0, 61.0, 5.3, 0.0, -8.4, 4.8, -1.9, -2.7, 38.0, 0.0, 0.0, 67.0
,,,,2021-03-12 21:00:00,,,11,34.0, 67.0, 4.8, 0.0, -8.0, 5.0, -2.7, -1.7, 37.0, 0.0, 0.0, 62.0
,,,,2021-03-12 22:00:00,,,11,30.0, 62.0, 5.0, 0.0, -8.0, 3.8, -1.7, -2.2, 34.0, 0.0, 0.0, 66.0
,,,,2021-03-12 23:00:00,,,11,45.0, 66.0, 3.8, 0.0, -7.7, 4.4, -2.2, -2.2, 30.0, 0.0, 0.0, 63.0
,,,,2021-03-13 00:00:00,,,11,52.0, 63.0, 4.4, 0.0, -8.3, 5.5, -2.2, -3.0, 45.0, 0.0, 0.0, 70.0
,,,,2021-03-13 01:00:00,,,11,41.0, 70.0, 5.5, 0.0, -7.7, 4.9, -3.0, -3.2, 52.0, 0.0, 0.0, 72.0
,,,,2021-03-13 02:00:00,,,11,39.0, 72.0, 4.9, 0.0, -7.5, 6.1, -3.2, -3.1, 41.0, 0.0, 0.0, 65.0
,,,,2021-03-13 03:00:00,,,11,29.0, 65.0, 6.1, 0.0, -8.7, 4.4, -3.1, -3.9, 39.0, 0.0, 0.0, 78.0
,,,,2021-03-13 04:00:00,,,11,33.0, 78.0, 4.4, 0.0, -7.2, 5.3, -3.9, -4.0, 29.0, 0.0, 0.0, 72.0
,,,,2021-03-13 05:00:00,,,11,25.0, 72.0, 5.3, 0.0, -8.3, 6.2, -4.0, -3.5, 33.0, 0.0, 0.0, 74.0
,,,,2021-03-13 06:00:00,,,11,51.0, 74.0, 6.2, 0.0, -7.5, 6.2, -3.5, -2.2, 25.0, 0.0, 0.0, 64.0
,,,,2021-03-13 07:00:00,,,11,59.0, 64.0, 6.2, 0.0, -8.1, 5.6, -2.2, -0.5, 51.0, 0.0, 0.0, 62.0
,,,,2021-03-13 08:00:00,,,11,36.0, 62.0, 5.6, 0.0, -6.9, 5.8, -0.5, 1.0, 59.0, 0.0, 0.0, 56.0
,,,,2021-03-13 09:00:00,,,11,79.0, 56.0, 5.8, 0.0, -6.8, 6.4, 1.0, 3.2, 36.0, 0.0, 0.0, 49.0
,,,,2021-03-13 10:00:00,,,11,, 49.0, 6.4, None, -6.5, None, 3.2, None, 79.0, 0.0, 0.0, None
,,,,2021-03-13 11:00:00,,,11,131.0, None, None, 0.0, None, 5.9, None, 6.5, None, None, None, 42.0
,,,,2021-03-13 12:00:00,,,11,123.0, 42.0, 5.9, 0.0, -5.5, 5.0, 6.5, 6.6, 131.0, 0.0, None, 42.0
,,,,2021-03-13 13:00:00,,,11,131.0, 42.0, 5.0, 0.0, -5.4, 6.1, 6.6, 6.8, 123.0, 0.0, None, 45.0
,,,,2021-03-13 14:00:00,,,11,137.0, None, None, 0.0, None, 6.0, None, 6.8, None, None, None, 41.0
,,,,2021-03-13 15:00:00,,,11,139.0, 41.0, 6.0, 0.0, -5.5, 4.6, 6.8, 6.1, 137.0, 0.0, None, 46.0
,,,,2021-03-13 16:00:00,,,11,90.0, 46.0, 4.6, 0.0, -4.6, 4.1, 6.1, 3.3, 139.0, 0.0, None, 61.0
,,,,2021-03-13 17:00:00,,,11,53.0, 61.0, 4.1, 0.0, -3.5, 3.8, 3.3, 0.9, 90.0, 0.0, None, 73.0
,,,,2021-03-13 18:00:00,,,11,28.0, 73.0, 3.8, 0.0, -3.4, 3.4, 0.9, -0.3, 53.0, 0.0, None, 73.0
,,,,2021-03-13 19:00:00,,,11,23.0, 73.0, 3.4, 0.0, -4.5, 3.6, -0.3, -0.9, 28.0, 0.0, None, 78.0
,,,,2021-03-13 20:00:00,,,11,32.0, 78.0, 3.6, 0.0, -4.2, 3.9, -0.9, -1.1, 23.0, 0.0, None, 81.0
,,,,2021-03-13 21:00:00,,,11,28.0, 81.0, 3.9, 0.0, -3.9, 5.0, -1.1, -1.4, 32.0, 0.0, None, 77.0
,,,,2021-03-13 22:00:00,,,11,35.0, 77.0, 5.0, 0.0, -4.9, 3.6, -1.4, -2.0, 28.0, 0.0, None, 82.0
,,,,2021-03-13 23:00:00,,,11,34.0, 82.0, 3.6, 0.0, -4.7, 4.8, -2.0, -2.0, 35.0, 0.0, None, 80.0
,,,,2021-03-14 00:00:00,,,11,30.0, 80.0, 4.8, 0.0, -5.0, 5.8, -2.0, -2.0, 34.0, 0.0, None, 79.0
,,,,2021-03-14 01:00:00,,,11,40.0, 79.0, 5.8, 0.0, -5.2, 4.3, -2.0, -2.2, 30.0, 0.0, None, 80.0
,,,,2021-03-14 03:00:00,,,11,35.0, 80.0, 4.3, 0.0, -5.2, 4.6, -2.2, -2.5, 40.0, 0.0, None, 80.0
,,,,2021-03-14 04:00:00,,,11,49.0, None, None, 0.0, None, 3.0, None, -3.5, None, None, None, 83.0
,,,,2021-03-14 05:00:00,,,11,25.0, 84.0, 4.7, 0.0, -5.5, 3.4, -3.2, -3.8, 27.0, 0.0, None, 85.0
,,,,2021-03-14 06:00:00,,,11,75.0, 83.0, 3.0, 0.0, -6.0, 2.5, -3.5, -3.4, 49.0, 0.0, None, 87.0
,,,,2021-03-14 07:00:00,,,11,34.0, 85.0, 3.4, 0.0, -5.9, 3.6, -3.8, -1.4, 25.0, 0.0, None, 81.0
,,,,2021-03-14 08:00:00,,,11,58.0, 87.0, 2.5, 0.0, -5.2, 5.2, -3.4, 0.4, 75.0, 0.0, None, 69.0
,,,,2021-03-14 09:00:00,,,11,81.0, 81.0, 3.6, 0.0, -4.2, 5.4, -1.4, 2.7, 34.0, 0.0, None, 59.0
,,,,2021-03-14 10:00:00,,,11,104.0, 69.0, 5.2, 0.0, -4.6, 6.1, 0.4, 2.8, 58.0, 0.0, None, 60.0
,,,,2021-03-14 11:00:00,,,11,121.0, 59.0, 5.4, 0.0, -4.5, 6.0, 2.7, 4.3, 81.0, 0.0, None, 53.0
,,,,2021-03-14 12:00:00,,,11,136.0, 60.0, 6.1, 0.0, -4.2, 6.9, 2.8, 3.7, 104.0, 0.0, 0.0, 48.0
,,,,2021-03-14 13:00:00,,,11,177.0, 53.0, 6.0, 0.0, -4.4, 10.0, 4.3, 4.3, 121.0, 0.0, 0.0, 46.0
,,,,2021-03-14 14:00:00,,,11,176.0, 48.0, 6.9, 0.0, -6.3, 10.1, 3.7, 4.8, 136.0, 0.0, 0.0, 45.0
,,,,2021-03-14 15:00:00,,,11,147.0, 46.0, 10.0, 0.0, -6.3, 8.6, 4.3, 4.6, 177.0, 0.0, 0.0, 46.0
,,,,2021-03-14 16:00:00,,,11,159.0, None, None, 0.0, None, 9.7, None, 3.1, None, None, None, 50.0
,,,,2021-03-14 17:00:00,,,11,160.0, 46.0, 8.6, 0.0, -6.0, 8.0, 4.6, 2.3, 147.0, 0.0, 0.0, 56.0
,,,,2021-03-14 18:00:00,,,11,213.0, None, None, 0.0, None, 3.8, None, 1.6, None, None, None, 59.0
,,,,2021-03-14 19:00:00,,,11,197.0, None, None, 0.0, None, 5.4, None, 1.1, None, None, None, 62.0
,,,,2021-03-14 20:00:00,,,11,249.0, None, None, 0.0, None, 4.4, None, 0.3, None, None, None, 68.0
,,,,2021-03-14 21:00:00,,,11,219.0, None, None, 0.0, None, 6.7, None, 0.5, None, None, None, 70.0
,,,,2021-03-14 22:00:00,,,11,258.0, 68.0, 4.4, 0.0, -4.9, 8.5, 0.3, -0.3, 249.0, 0.0, 0.0, 75.0
,,,,2021-03-14 23:00:00,,,11,277.0, 70.0, 6.7, 0.0, -4.3, 10.3, 0.5, -1.2, 219.0, 0.0, 0.0, 72.0
,,,,2021-03-15 00:00:00,,,11,314.0, None, None, 0.0, None, 20.0, None, -5.0, None, None, None, 75.0
,,,,2021-03-15 01:00:00,,,11,295.0, None, None, 0.0, None, 15.8, None, -5.9, None, None, None, 74.0
,,,,2021-03-15 02:00:00,,,11,289.0, None, None, 0.0, None, 7.3, None, -7.4, None, None, None, 82.0
,,,,2021-03-15 03:00:00,,,11,262.0, 74.0, 15.8, 0.0, -9.8, 9.3, -5.9, -7.8, 295.0, 0.0, 0.0, 85.0
,,,,2021-03-15 04:00:00,,,11,296.0, 82.0, 7.3, 0.0, -9.9, 10.6, -7.4, -8.4, 289.0, 0.0, 0.0, 85.0
,,,,2021-03-15 05:00:00,,,11,324.0, 85.0, 9.3, 0.0, -9.9, 3.6, -7.8, -9.3, 262.0, 0.0, 0.0, 85.0
,,,,2021-03-15 06:00:00,,,11,300.0, 85.0, 10.6, 0.0, -10.5, 3.9, -8.4, -9.5, 296.0, 0.0, 0.0, 86.0
,,,,2021-03-15 07:00:00,,,11,215.0, 85.0, 3.6, 0.0, -11.4, 5.8, -9.3, -6.2, 324.0, 0.0, 0.0, 72.0
,,,,2021-03-15 08:00:00,,,11,235.0, 86.0, 3.9, 0.0, -11.4, 6.6, -9.5, -3.9, 300.0, 0.0, 0.0, 57.0
,,,,2021-03-15 09:00:00,,,11,232.0, None, None, 0.0, None, 5.5, None, -0.4, None, None, None, 44.0
,,,,2021-03-15 10:00:00,,,11,314.0, 57.0, 6.6, 0.0, -11.2, 8.2, -3.9, 0.3, 235.0, 0.0, None, 41.0
