WDIR_VECT,time,TEMP_MEAN,week_of_year
11.4,2020-01-29 00:00:00, 6.1,5
7.3,2020-01-29 01:00:00, 5.8,5
8.9,2020-01-29 02:00:00, 5.9,5
8.3,2020-01-29 03:00:00, 6.2,5
101.1,2020-01-29 04:00:00, 7.2,5
106.3,2020-01-29 05:00:00, 7.6,5
102.1,2020-01-29 06:00:00, 7.4,5
107.1,2020-01-29 07:00:00, 7.7,5
106.5,2020-01-29 08:00:00, 7.6,5
120.3,2020-01-29 09:00:00, 7.3,5
144.1,2020-01-29 10:00:00, 7.2,5
132.0,2020-01-29 11:00:00, 7.1,5
110.5,2020-01-29 12:00:00, 7.2,5
115.8,2020-01-29 13:00:00, 7.3,5
51.0,2020-01-29 14:00:00, 7.4,5
14.5,2020-01-29 15:00:00, 6.5,5
11.1,2020-01-29 16:00:00, 6.4,5
8.0,2020-01-29 17:00:00, 6.4,5
155.6,2020-01-29 18:00:00, 8.0,5
15.6,2020-01-29 19:00:00, 6.5,5
1.8,2020-01-29 20:00:00, 6.0,5
11.1,2020-01-29 21:00:00, 5.7,5
15.3,2020-01-29 22:00:00, 5.7,5
16.5,2020-01-29 23:00:00, 5.2,5
4.6,2020-01-30 00:00:00, 4.8,5
3.8,2020-01-30 01:00:00, 4.4,5
5.4,2020-01-30 02:00:00, 4.4,5
2.9,2020-01-30 03:00:00, 4.2,5
14.7,2020-01-30 04:00:00, 4.3,5
8.0,2020-01-30 05:00:00, 4.5,5
9.3,2020-01-30 06:00:00, 4.5,5
5.3,2020-01-30 07:00:00, 4.4,5
19.0,2020-01-30 08:00:00, 4.5,5
42.7,2020-01-30 09:00:00, 4.7,5
336.5,2020-01-30 10:00:00, 5.1,5
331.0,2020-01-30 11:00:00, 5.6,5
16.3,2020-01-30 12:00:00, 5.9,5
65.1,2020-01-30 13:00:00, 6.5,5
10.5,2020-01-30 14:00:00, 6.2,5
10.8,2020-01-30 15:00:00, 6.2,5
5.8,2020-01-30 16:00:00, 6.7,5
12.8,2020-01-30 17:00:00, 7.2,5
3.3,2020-01-30 18:00:00, 6.2,5
28.9,2020-01-30 19:00:00, 5.6,5
30.4,2020-01-30 20:00:00, 5.0,5
27.4,2020-01-30 21:00:00, 4.5,5
19.6,2020-01-30 22:00:00, 4.4,5
18.8,2020-01-30 23:00:00, 4.3,5
20.1,2020-01-31 00:00:00, 4.6,5
20.7,2020-01-31 01:00:00, 4.8,5
17.9,2020-01-31 02:00:00, 5.0,5
16.8,2020-01-31 03:00:00, 5.2,5
16.9,2020-01-31 04:00:00, 5.5,5
11.0,2020-01-31 05:00:00, 5.7,5
10.4,2020-01-31 06:00:00, 5.8,5
12.0,2020-01-31 07:00:00, 5.9,5
2.3,2020-01-31 08:00:00, 6.0,5
4.4,2020-01-31 09:00:00, 6.3,5
6.8,2020-01-31 10:00:00, 6.4,5
6.3,2020-01-31 11:00:00, 6.7,5
19.1,2020-01-31 12:00:00, 7.2,5
46.6,2020-01-31 13:00:00, 8.1,5
114.8,2020-01-31 14:00:00, 9.5,5
131.5,2020-01-31 15:00:00, 10.2,5
153.3,2020-01-31 16:00:00, 10.5,5
163.9,2020-01-31 17:00:00, 11.0,5
164.3,2020-01-31 18:00:00, 11.3,5
185.2,2020-01-31 19:00:00, 11.1,5
181.8,2020-01-31 20:00:00, 10.8,5
180.7,2020-01-31 21:00:00, 10.5,5
178.5,2020-01-31 22:00:00, 10.2,5
178.0,2020-01-31 23:00:00, 9.9,5
179.4,2020-02-01 00:00:00, 9.9,5
179.9,2020-02-01 01:00:00, 9.6,5
181.3,2020-02-01 02:00:00, 9.8,5
181.4,2020-02-01 03:00:00, 9.9,5
179.2,2020-02-01 04:00:00, 10.0,5
180.5,2020-02-01 05:00:00, 9.9,5
194.4,2020-02-01 06:00:00, 10.0,5
194.7,2020-02-01 07:00:00, 9.9,5
235.4,2020-02-01 08:00:00, 9.5,5
259.8,2020-02-01 09:00:00, 8.0,5
241.8,2020-02-01 10:00:00, 7.0,5
249.9,2020-02-01 11:00:00, 6.8,5
255.5,2020-02-01 12:00:00, 7.1,5
253.2,2020-02-01 13:00:00, 7.0,5
259.2,2020-02-01 14:00:00, 7.4,5
259.8,2020-02-01 15:00:00, 7.5,5
257.6,2020-02-01 16:00:00, 7.4,5
245.8,2020-02-01 17:00:00, 6.5,5
244.4,2020-02-01 18:00:00, 5.7,5
248.5,2020-02-01 19:00:00, 4.9,5
265.3,2020-02-01 20:00:00, 4.5,5
300.0,2020-02-01 21:00:00, 3.7,5
346.2,2020-02-01 22:00:00, 2.6,5
1.0,2020-02-01 23:00:00, 2.1,5
359.9,2020-02-02 00:00:00, 1.6,5
1.6,2020-02-02 01:00:00, 1.3,5
6.2,2020-02-02 02:00:00, 0.8,5
2.1,2020-02-02 03:00:00, 0.6,5
5.8,2020-02-02 04:00:00, 0.0,5
4.7,2020-02-02 05:00:00, -0.2,5
7.7,2020-02-02 06:00:00, -0.2,5
6.7,2020-02-02 07:00:00, -0.1,5
358.1,2020-02-02 08:00:00, 0.0,5
10.0,2020-02-02 09:00:00, 0.6,5
11.4,2020-02-02 10:00:00, 1.1,5
11.5,2020-02-02 11:00:00, 1.0,5
18.5,2020-02-02 12:00:00, 1.4,5
16.6,2020-02-02 13:00:00, 2.7,5
10.9,2020-02-02 14:00:00, 3.0,5
24.0,2020-02-02 15:00:00, 3.6,5
10.0,2020-02-02 16:00:00, 2.9,5
14.2,2020-02-02 17:00:00, 2.7,5
17.5,2020-02-02 18:00:00, 2.6,5
26.1,2020-02-02 19:00:00, 2.1,5
34.8,2020-02-02 20:00:00, 1.7,5
36.0,2020-02-02 21:00:00, 1.1,5
95.9,2020-02-02 22:00:00, 0.9,5
67.9,2020-02-02 23:00:00, 0.6,5
307.0,2020-02-03 00:00:00, 0.8,5
250.7,2020-02-03 01:00:00, 0.6,5
191.2,2020-02-03 02:00:00, 0.6,5
27.0,2020-02-03 03:00:00, 0.6,5
