WDIR_VECT,TEMP_MEAN,WSPD_SCLR,PRECIP_TOTAL,avg_rel_hum_pst1hr,time,HUMIDITY,avg_air_temp_pst1hr,week_of_year
155.7, None, None, None, None,2022-06-21 22:00:00,89.4, None,25
121.7, None, None, None, None,2022-06-21 23:00:00,90.8, None,25
96.0, None, None, None, None,2022-06-22 00:00:00,91.0, None,25
58.0, None, None, None, None,2022-06-22 01:00:00,92.2, None,25
43.8, None, None, None, None,2022-06-22 02:00:00,92.7, None,25
3.0, None, None, None, None,2022-06-22 03:00:00,92.9, None,25
320.1, None, None, None, None,2022-06-22 04:00:00,93.5, None,25
265.7, None, None, None, None,2022-06-22 05:00:00,93.8, None,25
309.9, None, None, None, None,2022-06-22 06:00:00,92.6, None,25
298.3, None, None, None, None,2022-06-22 07:00:00,82.9, None,25
318.3, None, None, None, None,2022-06-22 08:00:00,70.5, None,25
353.1, None, None, None, None,2022-06-22 09:00:00,55.2, None,25
353.0, None, None, None, None,2022-06-22 10:00:00,52.9, None,25
8.4, None, None, None, None,2022-06-22 11:00:00,56.1, None,25
311.6, None, None, None, None,2022-06-22 12:00:00,55.1, None,25
124.5, None, None, None, None,2022-06-22 13:00:00,77.2, None,25
170.9, None, None, None, None,2022-06-22 14:00:00,68.3, None,25
165.2, None, None, None, None,2022-06-22 15:00:00,77.1, None,25
177.7, None, None, None, None,2022-06-22 16:00:00,75.1, None,25
280.5, None, None, None, None,2022-06-22 17:00:00,55.4, None,25
298.2, None, None, None, None,2022-06-22 18:00:00,37.4, None,25
302.4, None, None, None, None,2022-06-22 19:00:00,38.8, None,25
317.3, None, None, None, None,2022-06-22 20:00:00,43.8, None,25
321.6, None, None, None, None,2022-06-22 21:00:00,52.0, None,25
290.4, None, None, None, None,2022-06-22 22:00:00,61.5, None,25
308.4, None, None, None, None,2022-06-22 23:00:00,64.3, None,25
358.4, None, None, None, None,2022-06-23 00:00:00,78.1, None,25
345.2, None, None, None, None,2022-06-23 01:00:00,85.5, None,25
56.8, None, None, None, None,2022-06-23 02:00:00,85.7, None,25
34.8, None, None, None, None,2022-06-23 03:00:00,84.5, None,25
346.8, None, None, None, None,2022-06-23 04:00:00,84.9, None,25
343.1, None, None, None, None,2022-06-23 05:00:00,82.7, None,25
271.4, None, None, None, None,2022-06-23 06:00:00,80.7, None,25
269.8, None, None, None, None,2022-06-23 07:00:00,76.7, None,25
332.0, None, None, None, None,2022-06-23 08:00:00,72.4, None,25
324.5, None, None, None, None,2022-06-23 09:00:00,69.4, None,25
351.5, None, None, None, None,2022-06-23 10:00:00,64.4, None,25
328.8, None, None, None, None,2022-06-23 11:00:00,58.0, None,25
356.9, None, None, None, None,2022-06-23 12:00:00,51.5, None,25
341.6, None, None, None, None,2022-06-23 13:00:00,46.7, None,25
330.7, None, None, None, None,2022-06-23 14:00:00,42.5, None,25
321.5, None, None, None, None,2022-06-23 15:00:00,39.9, None,25
320.7, None, None, None, None,2022-06-23 16:00:00,39.1, None,25
285.1, None, None, None, None,2022-06-23 17:00:00,36.4, None,25
342.8, None, None, None, None,2022-06-23 18:00:00,39.7, None,25
344.1, None, None, None, None,2022-06-23 19:00:00,46.4, None,25
352.8, None, None, None, None,2022-06-23 20:00:00,54.8, None,25
4.9, None, None, None, None,2022-06-23 21:00:00,62.6, None,25
351.3, None, None, None, None,2022-06-23 22:00:00,68.2, None,25
350.0, None, None, None, None,2022-06-23 23:00:00,67.7, None,25
327.4, None, None, None, None,2022-06-24 00:00:00,74.0, None,25
349.8, None, None, None, None,2022-06-24 01:00:00,79.6, None,25
354.4, None, None, None, None,2022-06-24 02:00:00,81.9, None,25
350.0, None, None, None, None,2022-06-24 03:00:00,87.8, None,25
297.0, None, None, None, None,2022-06-24 04:00:00,90.9, None,25
339.1, None, None, None, None,2022-06-24 05:00:00,91.9, None,25
327.7, None, None, None, None,2022-06-24 06:00:00,90.5, None,25
195.2, None, None, None, None,2022-06-24 07:00:00,90.0, None,25
345.4, None, None, None, None,2022-06-24 08:00:00,78.2, None,25
317.4, None, None, None, None,2022-06-24 09:00:00,65.6, None,25
331.9, None, None, None, None,2022-06-24 10:00:00,47.7, None,25
345.1, None, None, None, None,2022-06-24 11:00:00,37.8, None,25
340.7, None, None, None, None,2022-06-24 12:00:00,34.3, None,25
330.8, None, None, None, None,2022-06-24 13:00:00,33.1, None,25
318.4, None, None, None, None,2022-06-24 14:00:00,30.6, None,25
330.1, None, None, None, None,2022-06-24 15:00:00,28.5, None,25
317.6, None, None, None, None,2022-06-24 16:00:00,27.1, None,25
291.6, None, None, None, None,2022-06-24 17:00:00,26.0, None,25
294.6, None, None, None, None,2022-06-24 18:00:00,25.7, None,25
350.8, None, None, None, None,2022-06-24 19:00:00,27.3, None,25
12.9, None, None, None, None,2022-06-24 20:00:00,31.0, None,25
5.0, None, None, None, None,2022-06-24 21:00:00,46.7, None,25
351.8, None, None, None, None,2022-06-24 22:00:00,66.0, None,25
4.8, None, None, None, None,2022-06-24 23:00:00,72.5, None,25
