pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None,-7.19, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 00:00:00, None, None, None, None,10
None,-7.03, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 01:00:00, None, None, None, None,10
None,-7.05, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 02:00:00, None, None, None, None,10
None,-7.12, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 03:00:00, None, None, None, None,10
None,-7.31, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 04:00:00, None, None, None, None,10
None,-6.999, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 05:00:00, None, None, None, None,10
None,-6.754, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 06:00:00, None, None, None, None,10
None,-6.296, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 07:00:00, None, None, None, None,10
None,-5.976, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 08:00:00, None, None, None, None,10
None,-5.425, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 09:00:00, None, None, None, None,10
None,-5.426, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 10:00:00, None, None, None, None,10
None,-4.571, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 11:00:00, None, None, None, None,10
None,-4.592, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 12:00:00, None, None, None, None,10
None,-4.573, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 13:00:00, None, None, None, None,10
None,-3.285, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 14:00:00, None, None, None, None,10
None,-4.143, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 15:00:00, None, None, None, None,10
None,-4.842, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 16:00:00, None, None, None, None,10
None,-5.129, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 17:00:00, None, None, None, None,10
None,-5.234, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 18:00:00, None, None, None, None,10
None,-5.252, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 19:00:00, None, None, None, None,10
None,-5.435, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 20:00:00, None, None, None, None,10
None,-5.551, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 21:00:00, None, None, None, None,10
None,-5.908, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 22:00:00, None, None, None, None,10
None,-6.813, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-05 23:00:00, None, None, None, None,10
None,-6.024, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 01:00:00, None, None, None, None,10
None,-5.821, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 02:00:00, None, None, None, None,10
None,-5.782, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 03:00:00, None, None, None, None,10
None,-6.511, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 04:00:00, None, None, None, None,10
None,-7.28, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 06:00:00, None, None, None, None,10
None,-8.02, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 07:00:00, None, None, None, None,10
None,-8.48, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 08:00:00, None, None, None, None,10
None,-7.85, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 09:00:00, None, None, None, None,10
None,-5.273, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 10:00:00, None, None, None, None,10
None,-3.363, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 11:00:00, None, None, None, None,10
None,-2.938, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 12:00:00, None, None, None, None,10
None,-2.701, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 13:00:00, None, None, None, None,10
None,-2.806, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 14:00:00, None, None, None, None,10
None,-2.967, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 15:00:00, None, None, None, None,10
None,-4.424, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 16:00:00, None, None, None, None,10
None,-5.826, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 17:00:00, None, None, None, None,10
None,-6.405, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 18:00:00, None, None, None, None,10
None,-8.37, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 19:00:00, None, None, None, None,10
None,-7.64, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 20:00:00, None, None, None, None,10
None,-7.1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 21:00:00, None, None, None, None,10
None,-6.413, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 22:00:00, None, None, None, None,10
None,-6.695, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-06 23:00:00, None, None, None, None,10
None,-6.617, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-07 00:00:00, None, None, None, None,10
None,-6.384, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-07 01:00:00, None, None, None, None,10
None,-6.083, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-07 02:00:00, None, None, None, None,10
None,-5.957, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-07 03:00:00, None, None, None, None,10
None,-5.802, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-07 04:00:00, None, None, None, None,10
None,-5.618, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-03-07 05:00:00, None, None, None, None,10
