WDIR_VECT,time,TEMP_MEAN,HUMIDITY,week_of_year
109.3,2019-04-27 21:00:00,11.3,51.8,17
106.6,2019-04-27 22:00:00,9.3,67.9,17
239.4,2019-04-27 23:00:00,8.0,66.4,17
126.2,2019-04-28 00:00:00,6.8,70.7,17
166.8,2019-04-28 01:00:00,6.4,78.4,17
211.7,2019-04-28 02:00:00,5.6,79.9,17
214.6,2019-04-28 03:00:00,4.3,83.5,17
165.5,2019-04-28 04:00:00,3.9,87.2,17
165.8,2019-04-28 05:00:00,3.3,89.6,17
202.5,2019-04-28 06:00:00,2.9,91.0,17
130.2,2019-04-28 07:00:00,3.0,89.7,17
46.0,2019-04-28 08:00:00,5.0,77.9,17
27.3,2019-04-28 09:00:00,7.0,55.7,17
2.0,2019-04-28 10:00:00,9.4,56.9,17
342.3,2019-04-28 11:00:00,10.7,51.1,17
336.9,2019-04-28 12:00:00,11.8,50.6,17
321.0,2019-04-28 13:00:00,12.7,52.5,17
301.0,2019-04-28 14:00:00,12.7,45.9,17
302.7,2019-04-28 15:00:00,12.9,38.7,17
301.2,2019-04-28 16:00:00,13.6,21.0,17
303.9,2019-04-28 17:00:00,14.1,22.3,17
296.9,2019-04-28 18:00:00,14.5,23.0,17
298.6,2019-04-28 19:00:00,14.7,26.4,17
315.7,2019-04-28 20:00:00,14.1,38.5,17
272.5,2019-04-28 21:00:00,12.6,42.1,17
257.6,2019-04-28 22:00:00,10.5,58.9,17
103.9,2019-04-28 23:00:00,8.7,59.8,17
137.7,2019-04-29 00:00:00,7.9,64.6,17
137.7,2019-04-29 01:00:00,6.9,69.2,17
140.1,2019-04-29 02:00:00,6.0,73.4,17
184.7,2019-04-29 03:00:00,5.1,74.4,17
150.1,2019-04-29 04:00:00,4.1,75.8,17
225.0,2019-04-29 05:00:00,3.9,75.9,17
201.7,2019-04-29 06:00:00,3.4,79.5,17
128.7,2019-04-29 07:00:00,3.6,77.8,17
50.3,2019-04-29 08:00:00,6.3,71.5,17
46.2,2019-04-29 09:00:00,9.0,45.7,17
41.1,2019-04-29 10:00:00,11.9,45.3,17
327.7,2019-04-29 11:00:00,12.8,40.1,17
329.3,2019-04-29 12:00:00,14.6,31.8,17
303.5,2019-04-29 13:00:00,15.3,44.5,17
294.6,2019-04-29 14:00:00,14.4,27.8,17
294.2,2019-04-29 15:00:00,15.8,22.6,17
288.9,2019-04-29 16:00:00,16.2,23.7,17
289.5,2019-04-29 17:00:00,17.1,25.0,17
288.6,2019-04-29 18:00:00,17.2,24.3,17
294.9,2019-04-29 19:00:00,16.9,27.2,17
330.4,2019-04-29 20:00:00,16.6,33.9,17
267.8,2019-04-29 21:00:00,14.0,49.6,17
153.8,2019-04-29 22:00:00,11.7,48.3,17
165.6,2019-04-29 23:00:00,9.9,55.0,17
