air_temp,min_air_temp_snc_last_reset,time,max_air_temp_snc_last_reset,week_of_year
13.7,13.7,2022-09-17 00:00:00,16.5,38
13.9,13.6,2022-09-17 01:00:00,16.5,38
14.3,13.6,2022-09-17 02:00:00,16.5,38
14.1,13.6,2022-09-17 03:00:00,16.5,38
13.1,13.1,2022-09-17 04:00:00,16.5,38
12.5,12.5,2022-09-17 05:00:00,16.5,38
12.0,12.0,2022-09-17 06:00:00,16.5,38
11.6,11.6,2022-09-17 07:00:00,12.0,38
12.9,11.6,2022-09-17 08:00:00,13.0,38
13.6,11.6,2022-09-17 09:00:00,13.6,38
14.0,11.6,2022-09-17 10:00:00,15.0,38
14.6,11.6,2022-09-17 11:00:00,15.0,38
15.6,11.6,2022-09-17 12:00:00,15.7,38
14.9,11.6,2022-09-17 13:00:00,15.8,38
15.3,11.6,2022-09-17 14:00:00,15.8,38
15.8,11.6,2022-09-17 15:00:00,16.1,38
16.4,11.6,2022-09-17 16:00:00,16.5,38
16.3,11.6,2022-09-17 17:00:00,16.5,38
15.9,11.6,2022-09-17 18:00:00,16.5,38
16.0,15.8,2022-09-17 19:00:00,16.1,38
15.9,15.8,2022-09-17 20:00:00,16.1,38
15.9,15.7,2022-09-17 21:00:00,16.1,38
16.3,15.7,2022-09-17 22:00:00,16.3,38
15.9,15.7,2022-09-17 23:00:00,16.3,38
15.6,15.6,2022-09-18 00:00:00,16.3,38
15.4,14.9,2022-09-18 02:00:00,16.3,38
15.2,14.5,2022-09-18 03:00:00,16.3,38
15.4,14.5,2022-09-18 04:00:00,16.3,38
15.0,14.5,2022-09-18 05:00:00,16.3,38
15.0,14.0,2022-09-18 06:00:00,16.3,38
15.5,13.8,2022-09-18 07:00:00,15.6,38
15.8,13.8,2022-09-18 08:00:00,16.0,38
14.7,13.8,2022-09-18 09:00:00,16.0,38
16.9,13.8,2022-09-18 11:00:00,17.0,38
17.0,13.8,2022-09-18 12:00:00,17.3,38
