RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
68.43, None, None, None, 4.662, 132.8, 6.0, 10.9, 6.0, 899.0, None, None, None, None, None, None, None, None, 11.27, None, 16.2, None, None, 33.09, None, 11.3, 1010.2, -0.1, None, 68.0,2022-09-17 00:00:00, 899.0,38
72.28, None, None, None, 2.545, 118.8, 6.0, 10.1, 6.0, 899.0, None, None, None, None, None, None, None, None, 10.27, None, 16.2, None, None, 35.88, None, 10.3, 1010.2, 0.0, None, 72.0,2022-09-17 01:00:00, 899.0,38
74.66, None, None, None, 3.626, 138.8, 7.0, 10.1, 7.0, 899.0, None, None, None, None, None, None, None, None, 10.79, None, 16.2, None, None, 45.48, None, 10.8, 1010.1, 0.0, None, 75.0,2022-09-17 02:00:00, 899.0,38
78.13, None, None, None, 4.354, 152.1, 6.0, 9.6, 6.0, 899.0, None, None, None, None, None, None, None, None, 9.59, None, 16.2, None, None, 35.21, None, 9.6, 1010.3, 0.0, None, 78.0,2022-09-17 03:00:00, 899.0,38
84.2, None, None, None, 2.004, 157.9, 6.0, 8.7, 6.0, 899.0, None, None, None, None, None, None, None, None, 8.74, None, 16.2, None, None, 31.18, None, 8.7, 1010.4, 0.0, None, 84.0,2022-09-17 04:00:00, 899.0,38
82.7, None, None, None, 4.656, 168.7, 6.0, 8.5, 6.0, 899.0, None, None, None, None, None, None, None, None, 8.95, None, 16.2, None, None, 24.17, None, 9.0, 1010.5, -0.1, None, 83.0,2022-09-17 05:00:00, 899.0,38
83.0, None, None, None, 4.974, 148.6, 6.0, 8.5, 6.0, 899.0, None, None, None, None, None, None, None, None, 9.11, None, 16.2, None, None, 36.95, None, 9.1, 1010.6, 0.1, None, 83.0,2022-09-17 06:00:00, 899.0,38
85.3, None, None, None, 4.56, 160.6, 6.0, 8.2, 6.0, 900.0, None, None, None, None, None, None, None, None, 8.22, None, 9.1, None, None, 22.4, None, 8.2, 1012.0, -0.1, None, 85.0,2022-09-17 07:00:00, 900.0,38
84.2, None, None, None, 8.89, 161.4, 6.0, 7.9, 6.0, 900.0, None, None, None, None, None, None, None, None, 8.27, None, 9.1, None, None, 11.64, None, 8.3, 1012.1, 0.0, None, 84.0,2022-09-17 08:00:00, 900.0,38
75.33, None, None, None, 6.286, 153.5, 6.0, 7.9, 6.0, 900.0, None, None, None, None, None, None, None, None, 10.08, None, 10.1, None, None, 16.03, None, 10.1, 1011.9, 0.2, None, 75.0,2022-09-17 09:00:00, 900.0,38
