station_observations
BAR_PRESS, TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, -32.1, 0.544, 66.7, 66.71, 2018-01-01 00:00:00, -32.09
None, -32.7, 0.423, 66.0, 66.03, 2018-01-01 01:00:00, -32.72
None, -33.3, 0.378, 65.6, 65.58, 2018-01-01 02:00:00, -33.26
None, -33.3, 0.399, 65.4, 65.37, 2018-01-01 03:00:00, -33.32
None, -33.3, 0.735, 65.6, 65.57, 2018-01-01 04:00:00, -33.27
None, -32.5, 0.85, 66.3, 66.33, 2018-01-01 05:00:00, -32.5
None, -31.1, 0.986, 67.6, 67.64, 2018-01-01 06:00:00, -31.14
None, -29.8, 0.69, 69.3, 69.29, 2018-01-01 07:00:00, -29.82
None, -28.8, 0.938, 69.7, 69.74, 2018-01-01 08:00:00, -28.82
None, -28.8, 0.566, 69.8, 69.81, 2018-01-01 09:00:00, -28.84
None, -27.5, 0.471, 71.3, 71.25, 2018-01-01 10:00:00, -27.5
None, -25.3, 1.026, 73.7, 73.72, 2018-01-01 11:00:00, -25.27
None, -25.1, 0.769, 73.3, 73.27, 2018-01-01 12:00:00, -25.06
None, -23.3, 0.29, 75.8, 75.75, 2018-01-01 13:00:00, -23.32
None, -18.1, 2.486, 80.4, 80.4, 2018-01-01 14:00:00, -18.14
None, -12.4, 3.36, 85.2, 85.2, 2018-01-01 15:00:00, -12.38
None, -8.8, 3.273, 87.4, 87.4, 2018-01-01 16:00:00, -8.83
None, -5.9, 3.689, 83.2, 83.2, 2018-01-01 17:00:00, -5.889
None, -2.9, 4.773, 70.2, 70.2, 2018-01-01 18:00:00, -2.901
None, -2.4, 7.854, 70.1, 70.11, 2018-01-01 19:00:00, -2.449
None, -2.1, 8.41, 69.0, 68.98, 2018-01-01 20:00:00, -2.053
None, -1.5, 8.05, 68.3, 68.33, 2018-01-01 21:00:00, -1.541
None, -1.6, 4.135, 66.2, 66.15, 2018-01-01 22:00:00, -1.599
None, -2.0, 4.331, 69.0, 68.97, 2018-01-01 23:00:00, -2.033
None, -0.1, 5.792, 65.7, 65.74, 2018-01-02 00:00:00, -0.074
None, 0.5, 3.32, 64.4, 64.4, 2018-01-02 01:00:00, 0.488
None, -0.3, 1.475, 73.4, 73.38, 2018-01-02 02:00:00, -0.268
None, -0.8, 1.919, 77.6, 77.58, 2018-01-02 03:00:00, -0.802
None, 0.7, 4.443, 67.5, 67.51, 2018-01-02 04:00:00, 0.668
None, 1.3, 4.406, 64.5, 64.49, 2018-01-02 05:00:00, 1.325
None, 1.5, 5.3, 64.2, 64.2, 2018-01-02 06:00:00, 1.505
None, 1.7, 6.818, 64.3, 64.25, 2018-01-02 07:00:00, 1.727
None, 1.4, 4.862, 65.3, 65.32, 2018-01-02 08:00:00, 1.427
None, 1.6, 4.083, 64.7, 64.72, 2018-01-02 09:00:00, 1.595
None, 1.1, 3.841, 66.0, 66.01, 2018-01-02 10:00:00, 1.084
None, 0.2, 2.813, 68.6, 68.55, 2018-01-02 11:00:00, 0.153
None, 0.1, 4.03, 69.6, 69.64, 2018-01-02 12:00:00, 0.093
None, 1.5, 4.762, 65.2, 65.16, 2018-01-02 13:00:00, 1.479
None, 0.8, 1.818, 69.4, 69.41, 2018-01-02 14:00:00, 0.771
None, 2.7, 2.506, 63.3, 63.33, 2018-01-02 15:00:00, 2.726
None, 3.4, 4.867, 61.7, 61.73, 2018-01-02 16:00:00, 3.39
None, 3.1, 3.945, 61.9, 61.9, 2018-01-02 17:00:00, 3.109
None, 2.9, 4.018, 62.9, 62.9, 2018-01-02 18:00:00, 2.88
None, 2.6, 2.272, 64.5, 64.45, 2018-01-02 19:00:00, 2.562
None, 1.8, 1.489, 66.5, 66.54, 2018-01-02 20:00:00, 1.849
None, 0.1, 1.117, 74.5, 74.48, 2018-01-02 21:00:00, 0.146
None, -0.9, 2.457, 77.2, 77.21, 2018-01-02 22:00:00, -0.884
None, -1.5, 2.429, 79.2, 79.24, 2018-01-02 23:00:00, -1.476
None, -1.9, 1.025, 77.2, 77.2, 2018-01-03 00:00:00, -1.887
None, -2.3, 1.467, 81.4, 81.4, 2018-01-03 01:00:00, -2.291
None, -3.0, 1.779, 84.4, 84.4, 2018-01-03 02:00:00, -2.975
None, -2.9, 1.919, 85.1, 85.1, 2018-01-03 03:00:00, -2.909
None, -2.5, 2.61, 83.4, 83.4, 2018-01-03 04:00:00, -2.466
None, -1.8, 2.1, 80.4, 80.4, 2018-01-03 05:00:00, -1.768
None, -1.8, 1.754, 80.9, 80.9, 2018-01-03 06:00:00, -1.828
None, -2.6, 1.514, 82.2, 82.2, 2018-01-03 07:00:00, -2.638
None, -3.9, 1.933, 84.8, 84.8, 2018-01-03 08:00:00, -3.894
None, -3.7, 1.287, 83.4, 83.4, 2018-01-03 09:00:00, -3.674
None, -2.9, 2.105, 83.9, 83.9, 2018-01-03 10:00:00, -2.872
None, -1.0, 2.177, 76.6, 76.57, 2018-01-03 11:00:00, -0.999
None, 1.7, 3.068, 67.1, 67.09, 2018-01-03 12:00:00, 1.71
None, 1.9, 3.259, 67.5, 67.54, 2018-01-03 13:00:00, 1.874
