station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, HUMIDITY, time
None, -25.5, None, 80.0, 2018-01-01 00:00:00
None, -26.2, None, 78.6, 2018-01-01 01:00:00
None, -25.8, None, 79.4, 2018-01-01 02:00:00
None, -26.2, None, 78.6, 2018-01-01 03:00:00
None, -27.1, None, 77.7, 2018-01-01 04:00:00
None, -26.7, None, 78.3, 2018-01-01 05:00:00
None, -27.3, None, 77.8, 2018-01-01 06:00:00
None, -26.8, None, 78.1, 2018-01-01 07:00:00
None, -26.4, None, 77.7, 2018-01-01 08:00:00
None, -22.9, None, 81.8, 2018-01-01 09:00:00
None, -18.1, None, 82.8, 2018-01-01 10:00:00
None, -16.5, None, 83.3, 2018-01-01 11:00:00
None, -11.9, None, 75.9, 2018-01-01 12:00:00
None, -10.0, None, 71.2, 2018-01-01 13:00:00
None, -9.6, None, 68.4, 2018-01-01 14:00:00
None, -9.7, None, 70.5, 2018-01-01 15:00:00
None, -11.3, None, 76.0, 2018-01-01 16:00:00
None, -12.4, None, 79.0, 2018-01-01 17:00:00
None, -11.9, None, 80.8, 2018-01-01 18:00:00
None, -11.5, None, 80.3, 2018-01-01 19:00:00
None, -10.9, None, 80.6, 2018-01-01 20:00:00
None, -10.6, None, 79.8, 2018-01-01 21:00:00
None, -10.9, None, 79.4, 2018-01-01 22:00:00
None, -11.0, None, 79.4, 2018-01-01 23:00:00
None, -10.9, None, 80.7, 2018-01-02 00:00:00
None, -10.7, None, 80.7, 2018-01-02 01:00:00
None, -10.2, None, 81.4, 2018-01-02 02:00:00
None, -10.6, None, 80.3, 2018-01-02 03:00:00
None, -10.2, None, 81.3, 2018-01-02 04:00:00
None, -10.2, None, 79.2, 2018-01-02 05:00:00
None, -10.4, None, 79.5, 2018-01-02 06:00:00
None, -11.0, None, 80.8, 2018-01-02 07:00:00
None, -10.8, None, 80.6, 2018-01-02 08:00:00
None, -10.7, None, 80.4, 2018-01-02 09:00:00
None, -10.1, None, 77.9, 2018-01-02 10:00:00
None, -9.4, None, 74.1, 2018-01-02 11:00:00
None, -8.6, None, 71.2, 2018-01-02 12:00:00
None, -7.9, None, 68.4, 2018-01-02 13:00:00
None, -7.7, None, 69.0, 2018-01-02 14:00:00
None, -7.9, None, 70.9, 2018-01-02 15:00:00
None, -8.4, None, 74.1, 2018-01-02 16:00:00
None, -8.5, None, 75.2, 2018-01-02 17:00:00
None, -8.5, None, 75.2, 2018-01-02 18:00:00
None, -8.4, None, 75.8, 2018-01-02 19:00:00
None, -8.2, None, 75.1, 2018-01-02 20:00:00
None, -8.2, None, 75.2, 2018-01-02 21:00:00
None, -8.0, None, 74.6, 2018-01-02 22:00:00
None, -7.8, None, 73.7, 2018-01-02 23:00:00
None, -7.8, None, 73.9, 2018-01-03 00:00:00
None, -7.9, None, 74.2, 2018-01-03 01:00:00
None, -7.9, None, 74.8, 2018-01-03 02:00:00
None, -7.3, None, 73.2, 2018-01-03 03:00:00
None, -7.3, None, 73.6, 2018-01-03 04:00:00
None, -7.5, None, 74.1, 2018-01-03 05:00:00
None, -7.4, None, 73.7, 2018-01-03 06:00:00
None, -7.2, None, 73.7, 2018-01-03 07:00:00
None, -7.3, None, 75.7, 2018-01-03 08:00:00
None, -7.5, None, 77.0, 2018-01-03 09:00:00
None, -6.3, None, 73.4, 2018-01-03 10:00:00
None, -5.6, None, 71.7, 2018-01-03 11:00:00
None, -5.0, None, 70.9, 2018-01-03 12:00:00
None, -4.5, None, 70.1, 2018-01-03 13:00:00
None, -4.0, None, 69.0, 2018-01-03 14:00:00
None, -4.2, None, 71.1, 2018-01-03 15:00:00
None, -4.6, None, 73.7, 2018-01-03 16:00:00
None, -4.9, None, 75.9, 2018-01-03 17:00:00
None, -5.1, None, 77.2, 2018-01-03 18:00:00
None, -5.5, None, 79.3, 2018-01-03 19:00:00
None, -5.6, None, 80.0, 2018-01-03 20:00:00
None, -6.1, None, 82.3, 2018-01-03 21:00:00
None, -5.7, None, 81.9, 2018-01-03 22:00:00
None, -5.7, None, 82.4, 2018-01-03 23:00:00
None, -5.8, None, 82.6, 2018-01-04 00:00:00
None, -7.7, None, 86.9, 2018-01-04 01:00:00
None, -8.3, None, 88.1, 2018-01-04 02:00:00
None, -7.6, None, 86.7, 2018-01-04 03:00:00
None, -7.3, None, 86.5, 2018-01-04 04:00:00
None, -7.2, None, 86.5, 2018-01-04 05:00:00
None, -5.4, None, 83.4, 2018-01-04 06:00:00
None, -6.6, None, 86.7, 2018-01-04 07:00:00
None, -5.2, None, 84.1, 2018-01-04 08:00:00
None, -5.1, None, 84.1, 2018-01-04 09:00:00
None, -3.5, None, 78.9, 2018-01-04 10:00:00
None, -1.5, None, 72.6, 2018-01-04 11:00:00
None, -0.9, None, 70.4, 2018-01-04 12:00:00
None, -0.8, None, 70.2, 2018-01-04 13:00:00
None, -0.9, None, 70.1, 2018-01-04 14:00:00
None, -1.3, None, 70.9, 2018-01-04 15:00:00
None, -1.8, None, 73.5, 2018-01-04 16:00:00
None, -2.0, None, 73.9, 2018-01-04 17:00:00
None, -2.1, None, 75.0, 2018-01-04 18:00:00
None, -2.2, None, 75.2, 2018-01-04 19:00:00
None, -2.2, None, 75.0, 2018-01-04 20:00:00
None, -2.3, None, 75.2, 2018-01-04 21:00:00
None, -2.3, None, 75.5, 2018-01-04 22:00:00
None, -2.3, None, 76.1, 2018-01-04 23:00:00
None, -2.3, None, 75.8, 2018-01-05 00:00:00
None, -2.2, None, 75.5, 2018-01-05 01:00:00
None, -1.9, None, 74.3, 2018-01-05 02:00:00
None, -1.7, None, 73.9, 2018-01-05 03:00:00
None, -1.6, None, 73.4, 2018-01-05 04:00:00
None, -1.5, None, 73.9, 2018-01-05 05:00:00
None, -1.5, None, 73.7, 2018-01-05 06:00:00
None, -1.3, None, 73.2, 2018-01-05 07:00:00
None, -1.3, None, 73.9, 2018-01-05 08:00:00
None, -1.1, None, 72.9, 2018-01-05 09:00:00
None, -0.8, None, 72.0, 2018-01-05 10:00:00
None, -0.5, None, 70.9, 2018-01-05 11:00:00
None, -0.2, None, 69.6, 2018-01-05 12:00:00
None, 0.1, None, 69.1, 2018-01-05 13:00:00
None, 0.4, None, 69.8, 2018-01-05 14:00:00
None, 0.7, None, 69.4, 2018-01-05 15:00:00
None, 0.4, None, 70.9, 2018-01-05 16:00:00
None, 0.5, None, 72.5, 2018-01-05 17:00:00
None, 0.4, None, 73.8, 2018-01-05 18:00:00
None, 0.7, None, 73.0, 2018-01-05 19:00:00
None, 0.4, None, 74.9, 2018-01-05 20:00:00
None, 0.3, None, 76.4, 2018-01-05 21:00:00
None, 0.1, None, 80.1, 2018-01-05 22:00:00
None, 0.4, None, 76.8, 2018-01-05 23:00:00
None, 0.6, None, 76.0, 2018-01-06 00:00:00
None, 0.5, None, 78.3, 2018-01-06 01:00:00
None, 0.4, None, 78.1, 2018-01-06 02:00:00
None, 0.2, None, 79.7, 2018-01-06 03:00:00
None, 0.2, None, 79.4, 2018-01-06 04:00:00
None, 0.5, None, 79.7, 2018-01-06 05:00:00
None, -0.5, None, 95.3, 2018-01-06 06:00:00
