station_observations
WDIR_VECT, BAR_PRESS, TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, None, -20.9, 2.341, 79.4, 79.39, 2018-01-01 00:00:00, -20.89
None, None, -20.5, 1.833, 79.7, 79.71, 2018-01-01 01:00:00, -20.5
None, None, -19.8, 1.035, 80.2, 80.2, 2018-01-01 02:00:00, -19.77
None, None, -19.5, 3.186, 80.1, 80.1, 2018-01-01 03:00:00, -19.48
None, None, -19.4, 3.147, 80.3, 80.3, 2018-01-01 04:00:00, -19.44
None, None, -19.1, 2.028, 80.4, 80.4, 2018-01-01 05:00:00, -19.1
None, None, -19.0, 2.253, 80.8, 80.8, 2018-01-01 06:00:00, -18.95
None, None, -19.1, 2.152, 80.2, 80.2, 2018-01-01 07:00:00, -19.06
None, None, -19.7, 1.935, 80.2, 80.2, 2018-01-01 08:00:00, -19.74
None, None, -19.5, 1.167, 80.3, 80.3, 2018-01-01 09:00:00, -19.51
None, None, -18.1, 1.382, 80.7, 80.7, 2018-01-01 10:00:00, -18.14
None, None, -17.4, 1.971, 81.2, 81.2, 2018-01-01 11:00:00, -17.4
None, None, -16.9, 2.271, 80.8, 80.8, 2018-01-01 12:00:00, -16.86
None, None, -16.0, 1.405, 82.3, 82.3, 2018-01-01 13:00:00, -15.98
None, None, -15.6, 1.225, 82.1, 82.1, 2018-01-01 14:00:00, -15.62
None, None, -14.0, 0.976998, 83.6, 83.6, 2018-01-01 15:00:00, -14.02
None, None, -14.6, 1.061, 84.0, 84.0, 2018-01-01 16:00:00, -14.56
None, None, -14.6, 2.321, 84.2, 84.2, 2018-01-01 17:00:00, -14.56
None, None, -14.3, 1.475, 84.7, 84.7, 2018-01-01 18:00:00, -14.29
None, None, -14.1, 1.932, 84.4, 84.4, 2018-01-01 19:00:00, -14.1
None, None, -14.1, 1.779, 83.8, 83.8, 2018-01-01 20:00:00, -14.07
None, None, -15.2, 3.869, 83.3, 83.3, 2018-01-01 21:00:00, -15.16
None, None, -15.3, 2.879, 84.0, 84.0, 2018-01-01 22:00:00, -15.27
None, None, -14.3, 2.884, 84.1, 84.1, 2018-01-01 23:00:00, -14.28
None, None, -13.6, 2.15, 84.5, 84.5, 2018-01-02 00:00:00, -13.63
None, None, -12.8, 2.326, 83.8, 83.8, 2018-01-02 01:00:00, -12.8
None, None, -13.3, 3.261, 83.6, 83.6, 2018-01-02 02:00:00, -13.33
None, None, -13.7, 2.854, 83.7, 83.7, 2018-01-02 03:00:00, -13.67
None, None, -13.9, 3.426, 84.4, 84.4, 2018-01-02 04:00:00, -13.92
None, None, -14.4, 3.564, 84.7, 84.7, 2018-01-02 05:00:00, -14.39
None, None, -14.8, 2.757, 84.5, 84.5, 2018-01-02 06:00:00, -14.79
None, None, -14.3, 2.527, 85.4, 85.4, 2018-01-02 07:00:00, -14.25
None, None, -14.0, 2.869, 85.7, 85.7, 2018-01-02 08:00:00, -14.04
None, None, -13.9, 3.632, 85.1, 85.1, 2018-01-02 09:00:00, -13.85
None, None, -12.7, 2.51, 86.8, 86.8, 2018-01-02 10:00:00, -12.65
None, None, -11.7, 2.79, 86.5, 86.5, 2018-01-02 11:00:00, -11.68
None, None, -11.2, 3.689, 86.0, 86.0, 2018-01-02 12:00:00, -11.24
None, None, -11.6, 2.95, 85.6, 85.6, 2018-01-02 13:00:00, -11.6
None, None, -11.2, 2.048, 80.3, 80.3, 2018-01-02 14:00:00, -11.15
None, None, -10.2, 2.985, 80.9, 80.9, 2018-01-02 15:00:00, -10.21
None, None, -10.9, 2.062, 86.7, 86.7, 2018-01-02 16:00:00, -10.93
None, None, -12.1, 3.034, 86.6, 86.6, 2018-01-02 17:00:00, -12.13
None, None, -12.4, 1.83, 86.7, 86.7, 2018-01-02 18:00:00, -12.44
None, None, -12.2, 3.778, 86.7, 86.7, 2018-01-02 19:00:00, -12.22
None, None, -12.1, 2.951, 87.1, 87.1, 2018-01-02 20:00:00, -12.07
None, None, -11.9, 2.558, 86.9, 86.9, 2018-01-02 21:00:00, -11.94
None, None, -11.7, 3.2, 87.0, 87.0, 2018-01-02 22:00:00, -11.71
None, None, -11.7, 3.08, 87.1, 87.1, 2018-01-02 23:00:00, -11.67
