station_observations
WDIR_VECT, TEMP_MEAN, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, -17.2, 80.7, 80.7, 2018-01-01 00:00:00, -17.16
None, -18.4, 81.3, 81.3, 2018-01-01 01:00:00, -18.41
None, -20.5, 79.6, 79.64, 2018-01-01 02:00:00, -20.5
None, -20.9, 78.2, 78.21, 2018-01-01 03:00:00, -20.9
None, -19.5, 79.6, 79.58, 2018-01-01 04:00:00, -19.51
None, -18.3, 80.5, 80.5, 2018-01-01 05:00:00, -18.29
None, -17.5, 80.5, 80.5, 2018-01-01 06:00:00, -17.49
None, -16.6, 79.2, 79.22, 2018-01-01 07:00:00, -16.61
None, -16.4, 79.9, 79.92, 2018-01-01 08:00:00, -16.37
None, -15.7, 80.0, 80.0, 2018-01-01 09:00:00, -15.74
None, -15.6, 79.9, 79.92, 2018-01-01 10:00:00, -15.6
None, -13.6, 79.6, 79.6, 2018-01-01 11:00:00, -13.64
None, -12.2, 76.4, 76.4, 2018-01-01 12:00:00, -12.24
None, -11.3, 74.3, 74.27, 2018-01-01 13:00:00, -11.31
None, -8.3, 68.6, 68.62, 2018-01-01 14:00:00, -8.25
None, -7.0, 67.2, 67.21, 2018-01-01 15:00:00, -7.004
None, -8.3, 74.4, 74.37, 2018-01-01 16:00:00, -8.28
None, -8.5, 78.0, 77.99, 2018-01-01 17:00:00, -8.52
None, -9.3, 82.1, 82.1, 2018-01-01 18:00:00, -9.27
None, -9.0, 82.1, 82.1, 2018-01-01 19:00:00, -8.97
None, -7.7, 77.2, 77.23, 2018-01-01 20:00:00, -7.67
None, -7.8, 76.0, 76.0, 2018-01-01 21:00:00, -7.843
None, -9.5, 82.0, 82.0, 2018-01-01 22:00:00, -9.53
None, -11.4, 88.0, 88.0, 2018-01-01 23:00:00, -11.4
None, -12.4, 88.2, 88.2, 2018-01-02 00:00:00, -12.43
None, -11.8, 87.5, 87.5, 2018-01-02 01:00:00, -11.83
None, -12.6, 87.5, 87.5, 2018-01-02 02:00:00, -12.64
None, -13.2, 87.5, 87.5, 2018-01-02 03:00:00, -13.19
None, -12.9, 86.7, 86.7, 2018-01-02 04:00:00, -12.9
None, -13.0, 86.5, 86.5, 2018-01-02 05:00:00, -12.99
None, -13.7, 86.9, 86.9, 2018-01-02 06:00:00, -13.68
None, -14.5, 85.8, 85.8, 2018-01-02 07:00:00, -14.46
None, -14.8, 85.3, 85.3, 2018-01-02 08:00:00, -14.84
None, -15.3, 84.3, 84.3, 2018-01-02 09:00:00, -15.31
None, -12.8, 84.3, 84.3, 2018-01-02 10:00:00, -12.78
None, -10.8, 82.3, 82.3, 2018-01-02 11:00:00, -10.77
None, -9.3, 80.2, 80.2, 2018-01-02 12:00:00, -9.26
None, -8.3, 79.3, 79.25, 2018-01-02 13:00:00, -8.33
None, -7.8, 76.9, 76.93, 2018-01-02 14:00:00, -7.779
None, -6.6, 74.7, 74.72, 2018-01-02 15:00:00, -6.588
None, -7.6, 80.5, 80.5, 2018-01-02 16:00:00, -7.636
None, -8.6, 81.7, 81.7, 2018-01-02 17:00:00, -8.57
None, -8.8, 85.3, 85.3, 2018-01-02 18:00:00, -8.77
None, -9.6, 86.7, 86.7, 2018-01-02 19:00:00, -9.6
None, -11.6, 88.8, 88.8, 2018-01-02 20:00:00, -11.55
None, -12.2, 88.1, 88.1, 2018-01-02 21:00:00, -12.22
None, -13.3, 87.0, 87.0, 2018-01-02 22:00:00, -13.33
None, -13.7, 86.1, 86.1, 2018-01-02 23:00:00, -13.72
None, -13.7, 85.8, 85.8, 2018-01-03 00:00:00, -13.69
None, -14.0, 85.8, 85.8, 2018-01-03 01:00:00, -14.04
None, -13.8, 85.3, 85.3, 2018-01-03 02:00:00, -13.8
None, -14.5, 84.2, 84.2, 2018-01-03 03:00:00, -14.47
None, -14.9, 84.3, 84.3, 2018-01-03 04:00:00, -14.93
None, -15.3, 85.1, 85.1, 2018-01-03 05:00:00, -15.31
None, -14.6, 85.5, 85.5, 2018-01-03 06:00:00, -14.56
None, -13.3, 87.0, 87.0, 2018-01-03 07:00:00, -13.25
None, -13.5, 86.0, 86.0, 2018-01-03 08:00:00, -13.48
None, -12.8, 86.2, 86.2, 2018-01-03 09:00:00, -12.79
None, -11.7, 85.7, 85.7, 2018-01-03 10:00:00, -11.72
None, -10.7, 85.5, 85.5, 2018-01-03 11:00:00, -10.69
None, -9.6, 85.1, 85.1, 2018-01-03 12:00:00, -9.59
None, -8.7, 84.2, 84.2, 2018-01-03 13:00:00, -8.71
None, -7.8, 84.2, 84.2, 2018-01-03 14:00:00, -7.791
None, -7.2, 84.8, 84.8, 2018-01-03 15:00:00, -7.168
None, -6.6, 85.1, 85.1, 2018-01-03 16:00:00, -6.601
None, -6.8, 85.4, 85.4, 2018-01-03 17:00:00, -6.845
None, -8.4, 87.5, 87.5, 2018-01-03 18:00:00, -8.39
None, -10.3, 90.8, 90.8, 2018-01-03 19:00:00, -10.28
None, -10.6, 89.8, 89.8, 2018-01-03 20:00:00, -10.57
None, -11.8, 88.1, 88.1, 2018-01-03 21:00:00, -11.78
None, -12.6, 87.0, 87.0, 2018-01-03 22:00:00, -12.6
None, -13.2, 86.7, 86.7, 2018-01-03 23:00:00, -13.16
None, -13.4, 86.2, 86.2, 2018-01-04 00:00:00, -13.36
None, -13.4, 86.1, 86.1, 2018-01-04 01:00:00, -13.43
None, -13.1, 86.2, 86.2, 2018-01-04 02:00:00, -13.07
None, -12.9, 86.3, 86.3, 2018-01-04 03:00:00, -12.9
None, -12.5, 87.8, 87.8, 2018-01-04 04:00:00, -12.5
None, -12.6, 89.2, 89.2, 2018-01-04 05:00:00, -12.56
None, -12.6, 88.9, 88.9, 2018-01-04 06:00:00, -12.6
None, -12.5, 88.4, 88.4, 2018-01-04 07:00:00, -12.52
None, -12.7, 87.4, 87.4, 2018-01-04 08:00:00, -12.67
None, -12.8, 87.6, 87.6, 2018-01-04 09:00:00, -12.77
None, -12.2, 88.0, 88.0, 2018-01-04 10:00:00, -12.22
None, -11.3, 88.5, 88.5, 2018-01-04 11:00:00, -11.29
None, -10.1, 89.0, 89.0, 2018-01-04 12:00:00, -10.06
None, -9.1, 89.0, 89.0, 2018-01-04 13:00:00, -9.14
None, -8.2, 89.4, 89.4, 2018-01-04 14:00:00, -8.2
None, -7.3, 89.8, 89.8, 2018-01-04 15:00:00, -7.254
None, -7.3, 89.7, 89.7, 2018-01-04 16:00:00, -7.256
None, -7.6, 90.7, 90.7, 2018-01-04 17:00:00, -7.618
