station_observations
TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, 1.375, None, 70.73, 2018-01-01 00:00:00, -29.54
None, 1.246, None, 70.89, 2018-01-01 01:00:00, -29.33
None, 1.243, None, 70.91, 2018-01-01 02:00:00, -29.29
None, 1.383, None, 71.0, 2018-01-01 03:00:00, -29.26
None, 1.111, None, 70.94, 2018-01-01 04:00:00, -29.26
None, 0.869, None, 71.37, 2018-01-01 05:00:00, -28.89
None, 1.613, None, 71.86, 2018-01-01 06:00:00, -28.41
None, 1.569, None, 72.69, 2018-01-01 07:00:00, -27.63
None, 0.637, None, 73.73, 2018-01-01 08:00:00, -26.61
None, 0.311, None, 74.17, 2018-01-01 09:00:00, -26.01
None, 0.713, None, 75.22, 2018-01-01 10:00:00, -25.2
None, 3.406, None, 78.76, 2018-01-01 11:00:00, -22.15
None, 6.912, None, 88.9, 2018-01-01 12:00:00, -10.17
None, 6.622, None, 75.6, 2018-01-01 13:00:00, -6.177
None, 6.726, None, 65.75, 2018-01-01 14:00:00, -4.083
None, None, None, 62.75, 2018-01-01 15:00:00, -2.728
None, None, None, 62.99, 2018-01-01 16:00:00, -2.529
None, 5.934, None, 66.51, 2018-01-01 17:00:00, -2.73
None, 6.557, None, 63.57, 2018-01-01 18:00:00, -1.62
None, 7.96, None, 64.89, 2018-01-01 19:00:00, -1.63
None, 7.459, None, 68.74, 2018-01-01 20:00:00, -2.208
None, 6.701, None, 69.64, 2018-01-01 21:00:00, -2.268
None, 5.261, None, 69.03, 2018-01-01 22:00:00, -2.058
None, 4.806, None, 66.7, 2018-01-01 23:00:00, -1.208
None, 7.504, None, 65.68, 2018-01-02 00:00:00, -0.418
None, 6.657, None, 63.76, 2018-01-02 01:00:00, 0.303
None, 5.125, None, 63.05, 2018-01-02 02:00:00, 0.755
None, 4.706, None, 62.03, 2018-01-02 03:00:00, 1.465
None, 3.512, None, 61.59, 2018-01-02 04:00:00, 1.741
None, 4.121, None, 62.83, 2018-01-02 05:00:00, 1.589
None, 4.396, None, 64.74, 2018-01-02 06:00:00, 1.246
None, 6.108, None, 65.88, 2018-01-02 07:00:00, 1.37
None, 4.053, None, 67.22, 2018-01-02 08:00:00, 1.209
None, 3.103, None, 66.32, 2018-01-02 09:00:00, 1.513
None, 4.865, None, 63.43, 2018-01-02 10:00:00, 2.195
None, 4.692, None, 62.45, 2018-01-02 11:00:00, 2.441
None, 5.297, None, 62.09, 2018-01-02 12:00:00, 2.578
None, 3.838, None, 61.54, 2018-01-02 13:00:00, 2.729
None, 3.993, None, 62.74, 2018-01-02 14:00:00, 2.499
None, 3.654, None, 64.04, 2018-01-02 15:00:00, 2.326
None, 4.821, None, 59.06, 2018-01-02 16:00:00, 3.746
None, 4.71, None, 53.77, 2018-01-02 17:00:00, 4.777
None, 3.25, None, 52.82, 2018-01-02 18:00:00, 4.863
None, 2.915, None, 54.05, 2018-01-02 19:00:00, 4.454
None, 2.461, None, 55.73, 2018-01-02 20:00:00, 3.818
None, 3.117, None, 57.76, 2018-01-02 21:00:00, 2.821
None, 4.647, None, 59.35, 2018-01-02 22:00:00, 2.71
None, 3.967, None, 59.62, 2018-01-02 23:00:00, 2.222
None, 4.44, None, 61.62, 2018-01-03 00:00:00, 1.506
None, 5.32, None, 59.66, 2018-01-03 01:00:00, 1.689
None, 4.98, None, 59.99, 2018-01-03 02:00:00, 1.674
None, 3.78, None, 58.47, 2018-01-03 03:00:00, 2.227
None, 3.204, None, 62.46, 2018-01-03 04:00:00, 1.35
None, 2.717, None, 64.19, 2018-01-03 05:00:00, 1.116
None, 3.319, None, 67.69, 2018-01-03 06:00:00, 0.338
None, 2.694, None, 61.53, 2018-01-03 07:00:00, 1.837
None, 3.301, None, 61.41, 2018-01-03 08:00:00, 2.061
None, 2.3, None, 63.74, 2018-01-03 09:00:00, 1.887
None, 3.385, None, 65.06, 2018-01-03 10:00:00, 2.541
None, 4.644, None, 64.3, 2018-01-03 11:00:00, 3.088
None, 4.25, None, 63.75, 2018-01-03 12:00:00, 3.284
None, 4.351, None, 59.7, 2018-01-03 13:00:00, 4.328
None, 5.306, None, 57.69, 2018-01-03 14:00:00, 4.683
None, 4.42, None, 56.71, 2018-01-03 15:00:00, 4.844
None, 4.177, None, 57.47, 2018-01-03 16:00:00, 4.845
None, 4.426, None, 59.32, 2018-01-03 17:00:00, 4.646
None, 4.304, None, 60.66, 2018-01-03 18:00:00, 4.607
None, 3.037, None, 65.93, 2018-01-03 19:00:00, 3.463
None, 4.47, None, 66.93, 2018-01-03 20:00:00, 3.678
None, 3.417, None, 68.57, 2018-01-03 21:00:00, 3.085
None, 3.824, None, 68.56, 2018-01-03 22:00:00, 3.158
None, 3.216, None, 70.41, 2018-01-03 23:00:00, 2.613
None, 3.159, None, 71.92, 2018-01-04 00:00:00, 2.153
None, 2.936, None, 73.43, 2018-01-04 01:00:00, 1.696
None, 1.995, None, 77.83, 2018-01-04 02:00:00, 0.25
None, 1.374, None, 85.1, 2018-01-04 03:00:00, -1.472
None, 0.616, None, 87.5, 2018-01-04 04:00:00, -1.715
None, 0.782, None, 89.2, 2018-01-04 05:00:00, -2.565
None, 0.772, None, 90.4, 2018-01-04 06:00:00, -2.747
None, 1.836, None, 91.6, 2018-01-04 07:00:00, -3.24
None, 2.01, None, 92.9, 2018-01-04 08:00:00, -3.48
None, 1.378, None, 93.3, 2018-01-04 09:00:00, -3.803
None, 0.73, None, 92.8, 2018-01-04 10:00:00, -2.66
None, 1.022, None, 86.9, 2018-01-04 11:00:00, -2.005
None, 2.174, None, 87.9, 2018-01-04 12:00:00, -2.87
None, 2.861, None, 88.2, 2018-01-04 13:00:00, -3.019
None, 2.625, None, 85.8, 2018-01-04 14:00:00, -2.949
None, 3.194, None, 84.5, 2018-01-04 15:00:00, -2.985
None, 1.886, None, 86.8, 2018-01-04 16:00:00, -3.506
None, 1.431, None, 87.3, 2018-01-04 17:00:00, -3.767
None, 1.607, None, 88.7, 2018-01-04 18:00:00, -4.106
None, 2.275, None, 88.9, 2018-01-04 19:00:00, -4.238
None, 1.853, None, 89.6, 2018-01-04 20:00:00, -4.256
None, 1.77, None, 90.7, 2018-01-04 21:00:00, -4.657
None, 1.633, None, 91.4, 2018-01-04 22:00:00, -4.757
None, 1.313, None, 91.1, 2018-01-04 23:00:00, -4.708
