pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,6.197, None, None, None, None,67.24, None,0.298,246.4, None, None, None, None, None, None, None, None, None, None, None,2016-10-03 03:00:00, None, None, None, None,40
None,6.283, None, None, None, None,67.75, None,0.307,326.5, None, None, None, None, None, None, None, None, None, None, None,2016-10-03 05:00:00, None, None, None, None,40
None,4.853, None, None, None, None,75.8, None,0.15,248.3, None, None, None, None, None, None, None, None, None, None, None,2016-10-03 06:00:00, None, None, None, None,40
None,6.033, None, None, None, None,27.81, None,1.457,336.0, None, None, None, None, None, None, None, None, None, None, None,2016-10-03 07:00:00, None, None, None, None,40
None,5.707, None, None, None, None,13.52, None,2.39,342.0, None, None, None, None, None, None, None, None, None, None, None,2016-10-03 08:00:00, None, None, None, None,40
None,6.111, None, None, None, None,19.01, None,1.19,336.7, None, None, None, None, None, None, None, None, None, None, None,2016-10-03 09:00:00, None, None, None, None,40
None,7.56, None, None, None, None,40.07, None,2.11,115.9, None, None, None, None, None, None, None, None, None, None, None,2016-10-03 11:00:00, None, None, None, None,40
None,7.42, None, None, None, None,18.96, None,4.896,358.9, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 00:00:00, None, None, None, None,40
None,7.02, None, None, None, None,21.4, None,4.937,358.5, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 01:00:00, None, None, None, None,40
None,6.601, None, None, None, None,28.15, None,1.712,333.1, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 03:00:00, None, None, None, None,40
None,6.409, None, None, None, None,58.28, None,0.586,313.9, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 04:00:00, None, None, None, None,40
None,6.408, None, None, None, None,30.84, None,1.367,334.5, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 05:00:00, None, None, None, None,40
None,6.139, None, None, None, None,33.65, None,1.19,331.7, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 06:00:00, None, None, None, None,40
None,5.966, None, None, None, None,16.48, None,1.555,337.9, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 07:00:00, None, None, None, None,40
None,5.889, None, None, None, None,17.55, None,1.323,335.4, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 08:00:00, None, None, None, None,40
None,7.25, None, None, None, None,40.1, None,0.728,119.8, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 12:00:00, None, None, None, None,40
None,8.05, None, None, None, None,21.46, None,1.702,135.9, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 17:00:00, None, None, None, None,40
None,7.67, None, None, None, None,60.62, None,0.201,63.84, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 18:00:00, None, None, None, None,40
None,7.25, None, None, None, None,25.69, None,0.499,326.9, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 19:00:00, None, None, None, None,40
None,6.717, None, None, None, None,12.66, None,1.841,344.8, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 20:00:00, None, None, None, None,40
None,6.427, None, None, None, None,13.27, None,2.07,343.1, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 21:00:00, None, None, None, None,40
None,6.168, None, None, None, None,15.01, None,2.158,340.4, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 22:00:00, None, None, None, None,40
None,6.225, None, None, None, None,14.26, None,1.786,337.3, None, None, None, None, None, None, None, None, None, None, None,2016-10-04 23:00:00, None, None, None, None,40
None,6.351, None, None, None, None,17.64, None,1.94,346.2, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 00:00:00, None, None, None, None,40
None,6.283, None, None, None, None,21.63, None,1.373,334.7, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 01:00:00, None, None, None, None,40
None,6.225, None, None, None, None,25.79, None,0.817,338.8, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 02:00:00, None, None, None, None,40
None,6.168, None, None, None, None,31.69, None,1.032,352.6, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 03:00:00, None, None, None, None,40
None,6.072, None, None, None, None,18.75, None,0.725,338.8, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 04:00:00, None, None, None, None,40
None,5.908, None, None, None, None,44.59, None,0.268,352.5, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 05:00:00, None, None, None, None,40
None,6.062, None, None, None, None,51.28, None,0.219,346.0, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 06:00:00, None, None, None, None,40
None,5.985, None, None, None, None,60.18, None,0.257,16.48, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 07:00:00, None, None, None, None,40
None,5.649, None, None, None, None,62.43, None,0.219,124.9, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 08:00:00, None, None, None, None,40
None,5.361, None, None, None, None,38.23, None,1.271,111.6, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 09:00:00, None, None, None, None,40
None,6.273, None, None, None, None,39.04, None,1.049,126.8, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 13:00:00, None, None, None, None,40
None,6.456, None, None, None, None,47.03, None,1.185,130.0, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 14:00:00, None, None, None, None,40
None,6.967, None, None, None, None,29.46, None,2.183,113.8, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 15:00:00, None, None, None, None,40
None,7.1, None, None, None, None,31.13, None,2.337,132.8, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 16:00:00, None, None, None, None,40
None,6.716, None, None, None, None,28.09, None,2.831,107.2, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 17:00:00, None, None, None, None,40
None,6.023, None, None, None, None,60.71, None,0.983,65.18, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 18:00:00, None, None, None, None,40
None,5.045, None, None, None, None,35.5, None,1.904,354.1, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 19:00:00, None, None, None, None,40
None,4.452, None, None, None, None,16.46, None,3.408,343.0, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 20:00:00, None, None, None, None,40
None,3.336, None, None, None, None,14.97, None,3.451,346.8, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 21:00:00, None, None, None, None,40
None,3.909, None, None, None, None,15.52, None,3.709,352.5, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 22:00:00, None, None, None, None,40
None,3.736, None, None, None, None,14.14, None,3.325,352.4, None, None, None, None, None, None, None, None, None, None, None,2016-10-05 23:00:00, None, None, None, None,40
None,2.566, None, None, None, None,15.85, None,2.856,347.1, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 00:00:00, None, None, None, None,40
None,2.31, None, None, None, None,15.39, None,3.147,348.5, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 01:00:00, None, None, None, None,40
None,2.153, None, None, None, None,16.5, None,1.775,339.4, None, None, None, None, None, None, None, None, None, None, None,2016-10-06 06:00:00, None, None, None, None,40
