station_observations
pcpn_amt_pst1hr, snw_dpth_wtr_equiv, SWE, ONE_DAY_SNOW, time, air_temp_1, MIN_TEMP, MAX_TEMP
270.0, 805.0, None, None, 2015-05-14 23:00:00, 3.5, None, None
272.0, 804.0, None, None, 2015-05-15 00:00:00, 3.8, None, None
272.0, 804.0, None, None, 2015-05-15 01:00:00, 2.5, None, None
273.0, 803.0, None, None, 2015-05-15 02:00:00, 1.5, None, None
274.0, 802.0, None, None, 2015-05-15 03:00:00, 1.0, None, None
275.0, 801.0, None, None, 2015-05-15 04:00:00, 0.7, None, None
275.0, 801.0, None, None, 2015-05-15 05:00:00, 0.8, None, None
275.0, 801.0, None, None, 2015-05-15 06:00:00, 0.6, None, None
275.0, 801.0, None, None, 2015-05-15 07:00:00, 0.6, None, None
275.0, 801.0, None, None, 2015-05-15 08:00:00, 0.8, None, None
275.0, 801.0, None, None, 2015-05-15 09:00:00, 1.0, None, None
275.0, 801.0, None, None, 2015-05-15 10:00:00, 0.5, None, None
275.0, 801.0, None, None, 2015-05-15 11:00:00, 0.9, None, None
275.0, 801.0, None, None, 2015-05-15 12:00:00, 0.9, None, None
274.0, 801.0, None, None, 2015-05-15 13:00:00, 1.8, None, None
274.0, 800.0, None, None, 2015-05-15 14:00:00, 1.8, None, None
274.0, 800.0, None, None, 2015-05-15 15:00:00, 1.6, None, None
274.0, 800.0, None, None, 2015-05-15 16:00:00, 3.2, None, None
274.0, 800.0, None, None, 2015-05-15 17:00:00, 3.9, None, None
272.0, 800.0, None, None, 2015-05-15 18:00:00, 6.0, None, None
271.0, 800.0, None, None, 2015-05-15 19:00:00, 6.2, None, None
271.0, 800.0, None, None, 2015-05-15 20:00:00, 8.6, None, None
270.0, 798.0, None, None, 2015-05-15 21:00:00, 8.2, None, None
270.0, 795.0, None, None, 2015-05-15 22:00:00, 10.2, None, None
270.0, 792.0, None, None, 2015-05-15 23:00:00, 6.9, None, None
273.0, 790.0, None, None, 2015-05-16 00:00:00, 6.7, None, None
274.0, 789.0, None, None, 2015-05-16 01:00:00, 5.9, None, None
273.0, 788.0, None, None, 2015-05-16 02:00:00, 6.4, None, None
275.0, 787.0, None, None, 2015-05-16 03:00:00, 3.8, None, None
276.0, 787.0, None, None, 2015-05-16 04:00:00, 2.5, None, None
277.0, 787.0, None, None, 2015-05-16 05:00:00, 2.0, None, None
277.0, 787.0, None, None, 2015-05-16 06:00:00, 2.0, None, None
276.0, 787.0, None, None, 2015-05-16 07:00:00, 2.2, None, None
276.0, 787.0, None, None, 2015-05-16 08:00:00, 1.7, None, None
277.0, 787.0, None, None, 2015-05-16 09:00:00, 1.3, None, None
277.0, 787.0, None, None, 2015-05-16 10:00:00, 0.8, None, None
277.0, 787.0, None, None, 2015-05-16 11:00:00, 0.9, None, None
276.0, 787.0, None, None, 2015-05-16 12:00:00, 1.0, None, None
276.0, 787.0, None, None, 2015-05-16 13:00:00, 4.1, None, None
274.0, 785.0, None, None, 2015-05-16 14:00:00, 4.6, None, None
273.0, 782.0, None, None, 2015-05-16 15:00:00, 6.7, None, None
272.0, 782.0, None, None, 2015-05-16 16:00:00, 6.5, None, None
272.0, 782.0, None, None, 2015-05-16 17:00:00, 7.2, None, None
272.0, 782.0, None, None, 2015-05-16 18:00:00, 9.1, None, None
271.0, 782.0, None, None, 2015-05-16 19:00:00, 8.0, None, None
272.0, 782.0, None, None, 2015-05-16 20:00:00, 8.5, None, None
271.0, 782.0, None, None, 2015-05-16 21:00:00, 8.4, None, None
273.0, 780.0, None, None, 2015-05-16 22:00:00, 7.1, None, None
273.0, 779.0, None, None, 2015-05-16 23:00:00, 5.8, None, None
274.0, 777.0, None, None, 2015-05-17 00:00:00, 5.0, None, None
275.0, 776.0, None, None, 2015-05-17 01:00:00, 4.2, None, None
276.0, 775.0, None, None, 2015-05-17 02:00:00, 4.0, None, None
276.0, 774.0, None, None, 2015-05-17 03:00:00, 3.0, None, None
277.0, 773.0, None, None, 2015-05-17 04:00:00, 2.5, None, None
277.0, 772.0, None, None, 2015-05-17 05:00:00, 2.3, None, None
277.0, 772.0, None, None, 2015-05-17 06:00:00, 1.1, None, None
277.0, 772.0, None, None, 2015-05-17 07:00:00, 0.3, None, None
278.0, 772.0, None, None, 2015-05-17 08:00:00, -0.2, None, None
279.0, 772.0, None, None, 2015-05-17 09:00:00, -0.5, None, None
279.0, 772.0, None, None, 2015-05-17 10:00:00, -0.4, None, None
279.0, 772.0, None, None, 2015-05-17 11:00:00, -0.3, None, None
279.0, 772.0, None, None, 2015-05-17 12:00:00, -0.4, None, None
278.0, 772.0, None, None, 2015-05-17 13:00:00, 0.0, None, None
278.0, 772.0, None, None, 2015-05-17 14:00:00, 0.7, None, None
277.0, 772.0, None, None, 2015-05-17 15:00:00, 1.2, None, None
276.0, 772.0, None, None, 2015-05-17 16:00:00, 1.7, None, None
275.0, 772.0, None, None, 2015-05-17 17:00:00, 3.1, None, None
273.0, 772.0, None, None, 2015-05-17 18:00:00, 4.7, None, None
273.0, 772.0, None, None, 2015-05-17 19:00:00, 6.1, None, None
272.0, 772.0, None, None, 2015-05-17 20:00:00, 6.2, None, None
273.0, 772.0, None, None, 2015-05-17 21:00:00, 7.1, None, None
273.0, 770.0, None, None, 2015-05-17 22:00:00, 8.0, None, None
274.0, 767.0, None, None, 2015-05-17 23:00:00, 8.2, None, None
275.0, 765.0, None, None, 2015-05-18 00:00:00, 6.8, None, None
276.0, 764.0, None, None, 2015-05-18 01:00:00, 6.6, None, None
276.0, 762.0, None, None, 2015-05-18 02:00:00, 5.9, None, None
277.0, 761.0, None, None, 2015-05-18 03:00:00, 4.7, None, None
278.0, 760.0, None, None, 2015-05-18 04:00:00, 4.1, None, None
278.0, 759.0, None, None, 2015-05-18 05:00:00, 3.9, None, None
278.0, 759.0, None, None, 2015-05-18 06:00:00, 3.7, None, None
278.0, 758.0, None, None, 2015-05-18 07:00:00, 3.6, None, None
278.0, 758.0, None, None, 2015-05-18 08:00:00, 3.2, None, None
278.0, 758.0, None, None, 2015-05-18 09:00:00, 2.8, None, None
278.0, 758.0, None, None, 2015-05-18 10:00:00, 1.9, None, None
279.0, 758.0, None, None, 2015-05-18 11:00:00, 1.8, None, None
279.0, 758.0, None, None, 2015-05-18 12:00:00, 1.2, None, None
278.0, 758.0, None, None, 2015-05-18 13:00:00, 2.3, None, None
277.0, 757.0, None, None, 2015-05-18 14:00:00, 4.2, None, None
274.0, 757.0, None, None, 2015-05-18 15:00:00, 5.7, None, None
273.0, 757.0, None, None, 2015-05-18 16:00:00, 7.4, None, None
273.0, 757.0, None, None, 2015-05-18 17:00:00, 6.5, None, None
273.0, 757.0, None, None, 2015-05-18 18:00:00, 8.0, None, None
273.0, 756.0, None, None, 2015-05-18 19:00:00, 9.1, None, None
273.0, 755.0, None, None, 2015-05-18 20:00:00, 9.0, None, None
273.0, 752.0, None, None, 2015-05-18 21:00:00, 10.5, None, None
273.0, 750.0, None, None, 2015-05-18 22:00:00, 11.2, None, None
273.0, 747.0, None, None, 2015-05-18 23:00:00, 10.2, None, None
273.0, 744.0, None, None, 2015-05-19 00:00:00, 11.7, None, None
273.0, 743.0, None, None, 2015-05-19 01:00:00, 9.8, None, None
274.0, 742.0, None, None, 2015-05-19 02:00:00, 8.7, None, None
277.0, 740.0, None, None, 2015-05-19 03:00:00, 6.9, None, None
278.0, 739.0, None, None, 2015-05-19 04:00:00, 6.2, None, None
278.0, 737.0, None, None, 2015-05-19 05:00:00, 5.5, None, None
278.0, 737.0, None, None, 2015-05-19 06:00:00, 4.6, None, None
278.0, 736.0, None, None, 2015-05-19 07:00:00, 4.8, None, None
278.0, 735.0, None, None, 2015-05-19 08:00:00, 4.7, None, None
278.0, 735.0, None, None, 2015-05-19 09:00:00, 3.8, None, None
278.0, 735.0, None, None, 2015-05-19 10:00:00, 2.7, None, None
278.0, 735.0, None, None, 2015-05-19 11:00:00, 1.9, None, None
279.0, 735.0, None, None, 2015-05-19 12:00:00, 2.3, None, None
278.0, 735.0, None, None, 2015-05-19 13:00:00, 5.5, None, None
275.0, 732.0, None, None, 2015-05-19 14:00:00, 6.3, None, None
273.0, 728.0, None, None, 2015-05-19 15:00:00, 8.6, None, None
272.0, 729.0, None, None, 2015-05-19 16:00:00, 8.8, None, None
272.0, 729.0, None, None, 2015-05-19 17:00:00, 9.4, None, None
273.0, 729.0, None, None, 2015-05-19 18:00:00, 8.9, None, None
273.0, 728.0, None, None, 2015-05-19 19:00:00, 10.4, None, None
273.0, 728.0, None, None, 2015-05-19 20:00:00, 10.9, None, None
273.0, 726.0, None, None, 2015-05-19 21:00:00, 12.0, None, None
273.0, 723.0, None, None, 2015-05-19 22:00:00, 11.1, None, None
274.0, 721.0, None, None, 2015-05-19 23:00:00, 12.7, None, None
273.0, 718.0, None, None, 2015-05-20 00:00:00, 11.6, None, None
274.0, 716.0, None, None, 2015-05-20 01:00:00, 11.4, None, None
274.0, 713.0, None, None, 2015-05-20 02:00:00, 11.9, None, None
277.0, 711.0, None, None, 2015-05-20 03:00:00, 7.9, None, None
278.0, 709.0, None, None, 2015-05-20 04:00:00, 7.3, None, None
278.0, 708.0, None, None, 2015-05-20 05:00:00, 7.6, None, None
278.0, 706.0, None, None, 2015-05-20 06:00:00, 7.0, None, None
278.0, 705.0, None, None, 2015-05-20 07:00:00, 5.7, None, None
278.0, 704.0, None, None, 2015-05-20 08:00:00, 5.4, None, None
278.0, 704.0, None, None, 2015-05-20 09:00:00, 4.0, None, None
278.0, 704.0, None, None, 2015-05-20 10:00:00, 3.6, None, None
