RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
48.23, None, None, None,5.359,108.4, None, None, -15.0, None, None, None, None, None, None, None, None,-6.788, None, None, None, None,24.33, None, None, None, None,2019-11-12 00:00:00, None,46
46.68, None, None, None,1.586,100.8, None, None, -16.0, None, None, None, None, None, None, None, None,-7.07, None, None, None, None,63.42, None, None, None, None,2019-11-12 01:00:00, None,46
46.73, None, None, None,1.095,154.2, None, None, -15.0, None, None, None, None, None, None, None, None,-6.993, None, None, None, None,56.24, None, None, None, None,2019-11-12 02:00:00, None,46
48.18, None, None, None,3.917,113.2, None, None, -15.0, None, None, None, None, None, None, None, None,-6.492, None, None, None, None,23.56, None, None, None, None,2019-11-12 03:00:00, None,46
46.91, None, None, None,6.721,113.7, None, None, -15.0, None, None, None, None, None, None, None, None,-6.837, None, None, None, None,17.13, None, None, None, None,2019-11-12 04:00:00, None,46
46.05, None, None, None,0.174,158.3, None, None, -16.0, None, None, None, None, None, None, None, None,-6.993, None, None, None, None,78.0, None, None, None, None,2019-11-12 05:00:00, None,46
48.56, None, None, None,3.008,154.2, None, None, -15.0, None, None, None, None, None, None, None, None,-6.424, None, None, None, None,37.9, None, None, None, None,2019-11-12 06:00:00, None,46
49.51, None, None, None,4.199,133.7, None, None, -14.0, None, None, None, None, None, None, None, None,-6.13, None, None, None, None,16.21, None, None, None, None,2019-11-12 07:00:00, None,46
48.17, None, None, None,0.979,223.7, None, None, -14.0, None, None, None, None, None, None, None, None,-6.306, None, None, None, None,31.37, None, None, None, None,2019-11-12 08:00:00, None,46
48.11, None, None, None,0.423,87.8, None, None, -14.0, None, None, None, None, None, None, None, None,-6.101, None, None, None, None,67.52, None, None, None, None,2019-11-12 09:00:00, None,46
48.76, None, None, None,0.284,225.9, None, None, -14.0, None, None, None, None, None, None, None, None,-5.585, None, None, None, None,49.2, None, None, None, None,2019-11-12 10:00:00, None,46
49.18, None, None, None,0.0,102.3, None, None, -13.0, None, None, None, None, None, None, None, None,-5.081, None, None, None, None,51.41, None, None, None, None,2019-11-12 11:00:00, None,46
49.05, None, None, None,0.0,132.1, None, None, -13.0, None, None, None, None, None, None, None, None,-4.607, None, None, None, None,16.71, None, None, None, None,2019-11-12 12:00:00, None,46
