station_observations
ONE_DAY_PRECIPITATION, MIN_TEMP, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.9, 4.2, 2012-01-02 00:00:00, None, 9.8
3.2, 6.2, 2012-01-03 00:00:00, None, 8.6
12.6, 6.3, 2012-01-04 00:00:00, None, 9.9
0.3, 2.8, 2012-01-05 00:00:00, None, 6.7
0.0, 1.5, 2012-01-06 00:00:00, None, 3.9
1.6, 2.8, 2012-01-07 00:00:00, None, 5.1
1.2, 4.7, 2012-01-08 00:00:00, None, 6.8
0.0, 4.3, 2012-01-09 00:00:00, None, 8.3
0.0, 1.0, 2012-01-10 00:00:00, None, 4.6
0.0, -0.5, 2012-01-11 00:00:00, None, 3.0
0.0, -1.3, 2012-01-12 00:00:00, None, 3.8
0.0, -0.4, 2012-01-13 00:00:00, None, 2.7
8.5, -1.7, 2012-01-14 00:00:00, None, 3.0
0.0, -2.9, 2012-01-15 00:00:00, None, 0.8
0.0, -3.4, 2012-01-16 00:00:00, None, 0.6
0.3, -5.2, 2012-01-17 00:00:00, None, 0.6
7.2, -8.6, 2012-01-18 00:00:00, None, -3.8
0.0, -7.7, 2012-01-19 00:00:00, None, -3.4
9.5, -4.6, 2012-01-20 00:00:00, None, 5.8
3.2, 0.8, 2012-01-21 00:00:00, None, 6.5
0.7, 1.2, 2012-01-22 00:00:00, None, 4.9
1.2, 2.4, 2012-01-23 00:00:00, None, 5.8
4.4, 3.4, 2012-01-24 00:00:00, None, 8.7
2.5, 2.8, 2012-01-25 00:00:00, None, 8.0
1.3, -0.6, 2012-01-26 00:00:00, None, 6.5
0.0, -1.2, 2012-01-27 00:00:00, None, 5.5
0.0, 1.7, 2012-01-28 00:00:00, None, 6.7
10.4, 4.0, 2012-01-29 00:00:00, None, 7.4
0.0, 3.9, 2012-01-30 00:00:00, None, 6.8
0.0, 4.6, 2012-01-31 00:00:00, None, 6.7
9.4, 1.0, 2012-02-01 00:00:00, None, 7.3
0.0, 1.0, 2012-02-02 00:00:00, None, 5.8
0.0, 2.5, 2012-02-03 00:00:00, None, 8.7
0.0, 1.6, 2012-02-04 00:00:00, None, 8.0
0.0, 1.5, 2012-02-05 00:00:00, None, 7.6
0.0, 2.0, 2012-02-06 00:00:00, None, 9.1
0.0, 5.8, 2012-02-07 00:00:00, None, 11.2
3.1, 4.4, 2012-02-08 00:00:00, None, 8.9
8.9, 5.2, 2012-02-09 00:00:00, None, 6.7
0.3, 6.1, 2012-02-10 00:00:00, None, 10.5
0.0, 6.0, 2012-02-11 00:00:00, None, 7.7
0.4, 3.9, 2012-02-12 00:00:00, None, 6.1
0.5, 1.5, 2012-02-13 00:00:00, None, 6.2
0.0, 1.3, 2012-02-14 00:00:00, None, 5.7
0.0, 0.9, 2012-02-15 00:00:00, None, 6.0
0.3, 3.0, 2012-02-16 00:00:00, None, 4.4
5.2, 3.6, 2012-02-17 00:00:00, None, 7.0
7.9, 1.3, 2012-02-18 00:00:00, None, 5.0
0.0, 1.3, 2012-02-19 00:00:00, None, 5.2
3.8, 1.9, 2012-02-20 00:00:00, None, 4.9
10.7, 4.5, 2012-02-21 00:00:00, None, 8.0
0.0, 3.2, 2012-02-22 00:00:00, None, 9.7
0.0, 0.9, 2012-02-23 00:00:00, None, 7.0
13.2, 1.8, 2012-02-24 00:00:00, None, 4.5
0.7, 1.3, 2012-02-25 00:00:00, None, 5.1
0.7, -1.0, 2012-02-26 00:00:00, None, 2.5
0.0, -2.9, 2012-02-27 00:00:00, None, 2.0
0.0, -1.2, 2012-02-28 00:00:00, None, 4.7
6.9, -0.4, 2012-02-29 00:00:00, None, 3.1
None, -0.4, 2012-03-01 00:00:00, None, 4.4
2.7, 1.0, 2012-03-02 00:00:00, None, 4.3
1.4, 4.1, 2012-03-03 00:00:00, None, 10.2
2.3, 5.3, 2012-03-04 00:00:00, None, 7.5
8.4, 0.1, 2012-03-05 00:00:00, None, 5.7
2.1, -1.1, 2012-03-06 00:00:00, None, 4.3
0.0, -1.5, 2012-03-07 00:00:00, None, 4.9
0.0, 0.3, 2012-03-08 00:00:00, None, 9.1
8.2, 3.5, 2012-03-09 00:00:00, None, 6.5
5.0, 3.8, 2012-03-10 00:00:00, None, 6.5
0.0, 2.1, 2012-03-11 00:00:00, None, 7.3
0.3, 2.3, 2012-03-12 00:00:00, None, 4.2
0.7, -1.6, 2012-03-13 00:00:00, None, 4.0
0.0, 1.4, 2012-03-14 00:00:00, None, 4.8
9.7, 3.2, 2012-03-15 00:00:00, None, 10.5
1.6, 3.1, 2012-03-16 00:00:00, None, 7.8
1.2, 0.8, 2012-03-17 00:00:00, None, 9.2
0.0, -0.4, 2012-03-18 00:00:00, None, 6.2
0.0, -1.5, 2012-03-19 00:00:00, None, 5.6
0.0, 1.2, 2012-03-20 00:00:00, None, 5.5
0.0, -0.3, 2012-03-21 00:00:00, None, 6.7
0.0, -0.4, 2012-03-22 00:00:00, None, 7.3
0.0, 1.9, 2012-03-23 00:00:00, None, 9.1
0.0, 3.1, 2012-03-24 00:00:00, None, 9.1
0.0, 4.0, 2012-03-25 00:00:00, None, 12.3
3.3, 4.8, 2012-03-26 00:00:00, None, 7.9
0.0, 4.5, 2012-03-27 00:00:00, None, 11.3
1.0, 5.7, 2012-03-28 00:00:00, None, 10.3
8.7, 4.4, 2012-03-29 00:00:00, None, 7.0
7.1, 1.6, 2012-03-30 00:00:00, None, 8.4
5.4, 1.0, 2012-03-31 00:00:00, None, 3.4
8.9, 0.1, 2012-04-01 00:00:00, None, 8.3
0.0, 4.7, 2012-04-02 00:00:00, None, 12.3
4.0, 2.0, 2012-04-03 00:00:00, None, 10.6
0.0, 0.6, 2012-04-04 00:00:00, None, 7.7
0.0, 1.9, 2012-04-05 00:00:00, None, 8.3
0.0, 0.8, 2012-04-06 00:00:00, None, 8.9
0.0, 1.2, 2012-04-07 00:00:00, None, 11.0
0.0, 5.2, 2012-04-08 00:00:00, None, 12.2
0.0, 7.5, 2012-04-09 00:00:00, None, 16.3
0.0, 8.4, 2012-04-10 00:00:00, None, 14.1
1.9, 6.7, 2012-04-11 00:00:00, None, 10.9
1.0, 4.4, 2012-04-12 00:00:00, None, 13.2
0.0, 3.4, 2012-04-13 00:00:00, None, 11.7
0.0, 5.5, 2012-04-14 00:00:00, None, 12.3
0.0, 5.3, 2012-04-15 00:00:00, None, 12.0
6.2, 5.0, 2012-04-16 00:00:00, None, 15.7
None, 4.9, 2012-04-18 00:00:00, None, 10.9
0.0, 4.4, 2012-04-19 00:00:00, None, 10.3
0.0, 4.8, 2012-04-20 00:00:00, None, 12.0
0.0, 4.4, 2012-04-21 00:00:00, None, 13.3
