WDIR_VECT,TEMP_MEAN,WSPD_SCLR,PRECIP_TOTAL,avg_rel_hum_pst1hr,time,HUMIDITY,avg_air_temp_pst1hr,week_of_year
None, -0.8, 0.824, None,100.0,2018-01-22 00:00:00, 100.0,-0.836,4
None, -1.0, 1.025, None,100.0,2018-01-22 01:00:00, 100.0,-0.989,4
None, -0.6, 0.987999, None,100.0,2018-01-22 02:00:00, 100.0,-0.611,4
None, -0.8, 0.927999, None,100.0,2018-01-22 03:00:00, 100.0,-0.778998,4
None, -0.8, 0.564, None,100.0,2018-01-22 04:00:00, 100.0,-0.788999,4
None, -0.3, 1.348, None,100.0,2018-01-22 05:00:00, 100.0,-0.266,4
None, -0.8, 0.971, None,96.0,2018-01-22 06:00:00, 96.0,-0.754,4
None, -0.2, 2.093, None,85.8,2018-01-22 07:00:00, 85.8,-0.162,4
None, -0.4, 2.166, None,81.6,2018-01-22 08:00:00, 81.6,-0.395,4
None, -1.8, 1.059, None,93.6,2018-01-22 09:00:00, 93.6,-1.76,4
None, -0.7, 1.764, None,87.9,2018-01-22 10:00:00, 87.9,-0.731998,4
None, 0.0, 1.781, None,81.5,2018-01-22 11:00:00, 81.5,-0.048999,4
None, -0.1, 1.948, None,82.6,2018-01-22 12:00:00, 82.6,-0.111,4
None, 0.1, 2.686, None,77.7,2018-01-22 13:00:00, 77.7,0.111,4
None, 0.0, 1.857, None,81.5,2018-01-22 14:00:00, 81.5,0.013,4
None, 0.6, 0.865998, None,78.3,2018-01-22 15:00:00, 78.3,0.559,4
None, 1.5, 1.357, None,74.0,2018-01-22 16:00:00, 74.0,1.517,4
None, 0.8, 0.852998, None,76.5,2018-01-22 17:00:00, 76.5,0.845,4
None, -0.2, 0.758, None,82.2,2018-01-22 18:00:00, 82.2,-0.155,4
None, -1.0, 0.349, None,89.6,2018-01-22 19:00:00, 89.6,-0.984,4
None, -1.8, 0.679, None,92.1,2018-01-22 20:00:00, 92.1,-1.766,4
None, -2.6, 0.702, None,97.6,2018-01-22 21:00:00, 97.6,-2.583,4
None, -2.9, 0.742999, None,98.9,2018-01-22 22:00:00, 98.9,-2.931,4
None, -3.2, 0.814998, None,98.2,2018-01-22 23:00:00, 98.2,-3.24,4
None, -3.3, 0.556999, None,97.2,2018-01-23 00:00:00, 97.2,-3.269,4
