station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, air_temperature_yesterday_high, tendency_amount
16.9, 102.99, None, 90.0, 0.0, 4.9, 2012-01-01 00:00:00, None, None, None, None, -0.04
8.6, 102.96, None, 67.5, 0.0, 4.5, 2012-01-01 01:00:00, None, None, None, None, 0.02
5.0, 102.89, None, 315.0, 0.0, 3.8, 2012-01-01 02:00:00, None, None, None, None, -0.1
8.3, 102.79, None, 337.5, 0.0, 3.8, 2012-01-01 03:00:00, None, None, None, None, -0.2
8.3, 102.72, None, 315.0, 0.0, 3.7, 2012-01-01 04:00:00, None, None, None, None, -0.24
9.4, 102.71, None, 315.0, 0.0, 3.7, 2012-01-01 05:00:00, None, None, None, None, -0.18
2.9, 102.77, None, 90.0, 0.0, 3.6, 2012-01-01 06:00:00, 2.5, 0.0, 38.89, 5.7, -0.02
5.4, 102.77, None, 157.5, 0.0, 4.2, 2012-01-01 07:00:00, None, None, None, None, 0.05
3.6, 102.75, None, 90.0, 0.0, 3.7, 2012-01-01 08:00:00, None, None, None, None, 0.04
1.4, 102.76, None, 67.5, 0.0, 3.7, 2012-01-01 09:00:00, None, None, None, None, -0.01
2.2, 102.81, None, 67.5, 0.0, 3.8, 2012-01-01 10:00:00, None, None, None, None, 0.04
7.2, 102.88, None, 112.5, 0.0, 4.2, 2012-01-01 11:00:00, None, None, None, None, 0.13
3.2, 102.88, None, 337.5, 0.0, 3.9, 2012-01-01 12:00:00, None, None, None, None, 0.12
6.1, 102.84, None, 90.0, 0.0, 3.9, 2012-01-01 13:00:00, None, None, None, None, 0.03
2.5, 102.8, None, 337.5, 0.0, 3.6, 2012-01-01 14:00:00, None, None, None, None, -0.08
9.4, 102.74, None, 315.0, 0.0, 4.4, 2012-01-01 15:00:00, None, None, None, None, -0.14
14.4, 102.74, None, 292.5, 0.0, 4.7, 2012-01-01 16:00:00, None, None, None, None, -0.1
4.0, 102.67, None, 270.0, 0.0, 4.7, 2012-01-01 17:00:00, None, None, None, None, -0.13
3.6, 102.68, None, 315.0, 0.0, 5.8, 2012-01-01 18:00:00, None, None, None, None, -0.06
11.2, 102.67, None, 157.5, 0.0, 5.1, 2012-01-01 19:00:00, None, None, None, None, -0.07
4.3, 102.56, None, 225.0, 0.0, 5.0, 2012-01-01 20:00:00, None, None, None, None, -0.11
8.3, 102.47, None, 135.0, 0.0, 5.2, 2012-01-01 21:00:00, None, None, None, None, -0.21
4.0, 102.38, None, 157.5, 0.0, 5.8, 2012-01-01 22:00:00, None, None, None, None, -0.28
1.1, 102.31, None, 157.5, 0.0, 5.9, 2012-01-01 23:00:00, None, 0.0, None, None, -0.24
1.8, 102.25, None, 67.5, 0.0, 5.7, 2012-01-02 00:00:00, None, None, None, None, -0.21
3.2, 102.2, None, 337.5, 0.0, 5.7, 2012-01-02 01:00:00, None, None, None, None, -0.18
2.9, 102.11, None, 67.5, 0.0, 5.5, 2012-01-02 02:00:00, None, None, None, None, -0.2
4.0, 102.04, None, 67.5, 0.0, 5.2, 2012-01-02 03:00:00, None, None, None, None, -0.21
1.1, 102.01, None, 157.5, 0.0, 5.3, 2012-01-02 04:00:00, None, None, None, None, -0.19
1.8, 101.96, None, 112.5, 0.0, 5.1, 2012-01-02 05:00:00, None, None, None, None, -0.15
3.2, 101.91, None, 22.5, 0.0, 5.9, 2012-01-02 06:00:00, 3.2, 0.0, None, 6.1, -0.13
2.9, 101.92, None, 315.0, 0.0, 5.7, 2012-01-02 07:00:00, None, None, None, None, -0.09
3.6, 101.86, None, 315.0, 0.0, 6.2, 2012-01-02 08:00:00, None, None, None, None, -0.1
2.9, 101.85, None, 90.0, 0.0, 4.8, 2012-01-02 09:00:00, None, None, None, None, -0.06
3.6, 101.76, None, 67.5, 0.0, 4.9, 2012-01-02 10:00:00, None, None, None, None, -0.16
3.6, 101.71, None, 45.0, 0.0, 5.2, 2012-01-02 11:00:00, None, None, None, None, -0.15
1.1, 101.62, None, 0.0, 0.0, 5.6, 2012-01-02 12:00:00, None, None, None, None, -0.23
6.1, 101.55, None, 90.0, 0.0, 4.8, 2012-01-02 13:00:00, None, None, None, None, -0.21
4.0, 101.51, None, 90.0, 0.0, 4.8, 2012-01-02 14:00:00, None, None, None, None, -0.2
4.0, 101.52, None, 337.5, 0.0, 6.0, 2012-01-02 15:00:00, None, None, None, None, -0.1
8.6, 101.48, None, 90.0, 0.0, 4.7, 2012-01-02 16:00:00, None, None, None, None, -0.07
4.0, 101.47, None, 292.5, 0.0, 6.0, 2012-01-02 17:00:00, None, None, None, None, -0.04
2.5, 101.42, None, 0.0, 0.0, 6.0, 2012-01-02 18:00:00, None, None, None, None, -0.1
6.1, 101.3, None, 67.5, 0.0, 6.7, 2012-01-02 19:00:00, None, None, None, None, -0.18
1.4, 101.17, None, 67.5, 0.0, 8.0, 2012-01-02 20:00:00, None, None, None, None, -0.3
3.2, 101.2, None, 67.5, 0.0, 5.5, 2012-01-02 21:00:00, None, None, None, None, -0.22
15.5, 101.24, None, 112.5, 0.0, 5.9, 2012-01-02 22:00:00, None, None, None, None, -0.06
36.0, 101.09, None, 90.0, 0.0, 10.1, 2012-01-02 23:00:00, None, 2.6, 52.9, None, -0.08
34.2, 101.08, None, 90.0, 0.0, 11.3, 2012-01-03 00:00:00, None, None, 45.4, None, -0.12
34.2, 100.99, None, 90.0, 0.0, 10.1, 2012-01-03 01:00:00, None, None, 56.2, None, -0.25
33.5, 101.08, None, 90.0, 0.0, 8.7, 2012-01-03 02:00:00, None, None, None, None, -0.01
20.2, 101.27, None, 90.0, 0.0, 8.6, 2012-01-03 03:00:00, None, None, None, None, 0.19
22.0, 101.45, None, 90.0, 0.0, 8.7, 2012-01-03 04:00:00, None, None, None, None, 0.46
23.0, 101.58, None, 90.0, 0.0, 8.7, 2012-01-03 05:00:00, None, None, None, None, 0.5
19.4, 101.75, None, 90.0, 0.0, 8.3, 2012-01-03 06:00:00, 4.4, 2.1, 61.12, 11.4, 0.48
21.2, 101.94, None, 90.0, 0.0, 8.2, 2012-01-03 07:00:00, None, None, None, None, 0.49
21.2, 102.18, None, 90.0, 0.0, 8.9, 2012-01-03 08:00:00, None, None, 31.3, None, 0.6
6.1, 102.29, None, 67.5, 0.0, 8.8, 2012-01-03 09:00:00, None, None, None, None, 0.54
18.7, 102.39, None, 90.0, 0.0, 8.9, 2012-01-03 10:00:00, None, None, None, None, 0.45
27.0, 102.4, None, 90.0, 0.0, 8.4, 2012-01-03 11:00:00, None, None, None, None, 0.22
22.0, 102.46, None, 90.0, 0.0, 8.1, 2012-01-03 12:00:00, None, None, None, None, 0.17
23.4, 102.36, None, 90.0, 0.0, 8.1, 2012-01-03 13:00:00, None, None, None, None, -0.03
30.2, 102.29, None, 90.0, 0.0, 8.4, 2012-01-03 14:00:00, None, None, 41.0, None, -0.11
29.5, 102.28, None, 90.0, 0.0, 8.5, 2012-01-03 15:00:00, None, None, None, None, -0.18
