station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, air_temperature_yesterday_high, tendency_amount
6.8, 103.06, -7.0, 270.0, 58.0, 0.4, 2012-01-01 00:00:00, None, None, None, None, 0.04
2.9, 103.13, -6.5, 202.5, 71.0, -2.0, 2012-01-01 01:00:00, None, None, None, None, 0.1
10.4, 103.18, -7.4, 292.5, 67.0, -2.1, 2012-01-01 02:00:00, None, None, None, None, 0.13
9.7, 103.25, -8.0, 292.5, 68.0, -2.9, 2012-01-01 03:00:00, None, None, None, None, 0.15
10.4, 103.25, -8.9, 292.5, 63.0, -2.7, 2012-01-01 04:00:00, None, None, None, None, 0.1
8.6, 103.23, -8.9, 292.5, 63.0, -2.9, 2012-01-01 05:00:00, None, None, None, None, 0.04
10.4, 103.3, -8.5, 292.5, 67.0, -3.2, 2012-01-01 06:00:00, -3.2, None, None, 4.6, 0.05
11.2, 103.32, -8.3, 292.5, 68.0, -3.3, 2012-01-01 07:00:00, None, None, None, None, 0.09
12.2, 103.33, -7.9, 292.5, 71.0, -3.3, 2012-01-01 08:00:00, None, None, None, None, 0.12
7.6, 103.3, -7.3, 270.0, 73.0, -3.1, 2012-01-01 09:00:00, None, None, None, None, 0.03
9.7, 103.35, -6.9, 292.5, 74.0, -2.8, 2012-01-01 10:00:00, None, None, None, None, 0.04
5.0, 103.41, -6.3, 270.0, 77.0, -2.8, 2012-01-01 11:00:00, None, None, None, None, 0.08
3.2, 103.46, -5.5, 247.5, 81.0, -2.6, 2012-01-01 12:00:00, None, None, None, None, 0.14
2.5, 103.51, -4.9, 270.0, 83.0, -2.4, 2012-01-01 13:00:00, None, None, None, None, 0.11
7.2, 103.52, -4.8, 270.0, 84.0, -2.3, 2012-01-01 14:00:00, None, None, None, None, 0.08
4.7, 103.55, -4.6, 247.5, 82.0, -2.0, 2012-01-01 15:00:00, None, None, None, None, 0.06
1.8, 103.57, -4.5, 270.0, 84.0, -2.1, 2012-01-01 16:00:00, None, None, None, None, 0.05
1.4, 103.59, -4.1, 270.0, 81.0, -1.3, 2012-01-01 17:00:00, None, None, None, None, 0.07
3.6, 103.67, -4.0, 22.5, 76.0, -0.2, 2012-01-01 18:00:00, None, None, None, None, 0.13
3.6, 103.6, -3.7, 0.0, 74.0, 0.5, 2012-01-01 19:00:00, None, None, None, None, 0.04
4.3, 103.53, -3.8, 22.5, 71.0, 0.9, 2012-01-01 20:00:00, None, None, None, None, -0.04
5.4, 103.51, -4.1, 22.5, 71.0, 0.5, 2012-01-01 21:00:00, None, None, None, None, -0.15
