RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
93.7, None, None, None, 0.553,135.5, None, None,13.0, 982.0, None, None, None, None, None, None, None, None, 14.31, None, None, None, None,12.27, None, None, None, None, None, None,2017-07-23 00:00:00, None,30
94.1, None, None, None, 0.669,141.0, None, None,14.0, 982.0, None, None, None, None, None, None, None, None, 14.44, None, None, None, None,11.04, None, None, None, None, None, None,2017-07-23 01:00:00, None,30
94.2, None, None, None, 0.453,149.9, None, None,13.0, 982.0, None, None, None, None, None, None, None, None, 14.36, None, None, None, None,10.08, None, None, None, None, None, None,2017-07-23 02:00:00, None,30
94.4, None, None, None, 0.411,158.0, None, None,13.0, 982.0, None, None, None, None, None, None, None, None, 14.12, None, None, None, None,7.19, None, None, None, None, None, None,2017-07-23 03:00:00, None,30
94.5, None, None, None, 0.692,153.0, None, None,13.0, 981.0, None, None, None, None, None, None, None, None, 13.45, None, None, None, None,12.85, None, None, None, None, None, None,2017-07-23 04:00:00, None,30
94.6, None, None, None, 0.609,160.2, None, None,12.0, 981.0, None, None, None, None, None, None, None, None, 12.73, None, None, None, None,6.31, None, None, None, None, None, None,2017-07-23 05:00:00, None,30
94.9, None, None, None, 0.931,159.2, None, None,12.0, 981.0, None, None, None, None, None, None, None, None, 12.65, None, None, None, None,11.0, None, None, None, None, None, None,2017-07-23 06:00:00, None,30
95.0, None, None, None, 0.612,144.2, None, None,13.0, 981.0, None, None, None, None, None, None, None, None, 13.42, None, None, None, None,24.59, None, None, None, None, None, None,2017-07-23 07:00:00, None,30
95.0, None, None, None, 0.494,155.3, None, None,13.0, 981.0, None, None, None, None, None, None, None, None, 14.11, None, None, None, None,21.07, None, None, None, None, None, None,2017-07-23 08:00:00, None,30
94.8, None, None, None, 1.058,170.9, None, None,14.0, 981.0, None, None, None, None, None, None, None, None, 14.49, None, None, None, None,55.1, None, None, None, None, None, None,2017-07-23 09:00:00, None,30
92.3, None, None, None, 1.503,160.6, None, None,15.0, 981.0, None, None, None, None, None, None, None, None, 16.11, None, None, None, None,36.47, None, None, None, None, None, None,2017-07-23 10:00:00, None,30
77.68, None, None, None, 1.998,94.3, None, None,14.0, 980.0, None, None, None, None, None, None, None, None, 17.59, None, None, None, None,72.92, None, None, None, None, None, None,2017-07-23 11:00:00, None,30
63.91, None, None, None, 4.128,141.0, None, None,13.0, 980.0, None, None, None, None, None, None, None, None, 20.49, None, None, None, None,53.41, None, None, None, None, None, None,2017-07-23 12:00:00, None,30
52.29, None, None, None, 6.387,125.9, None, None,12.0, 980.0, None, None, None, None, None, None, None, None, 22.61, None, None, None, None,38.62, None, None, None, None, None, None,2017-07-23 13:00:00, None,30
49.8, None, None, None, 9.2,149.9, None, None,12.0, 979.0, None, None, None, None, None, None, None, None, 22.81, None, None, None, None,28.95, None, None, None, None, None, None,2017-07-23 14:00:00, None,30
49.79, None, None, None, 10.87,143.9, None, None,11.0, 979.0, None, None, None, None, None, None, None, None, 22.2, None, None, None, None,31.51, None, None, None, None, None, None,2017-07-23 15:00:00, None,30
46.06, None, None, None, 9.96,145.2, None, None,11.0, 979.0, None, None, None, None, None, None, None, None, 23.28, None, None, None, None,30.44, None, None, None, None, None, None,2017-07-23 16:00:00, None,30
44.06, None, None, None, 8.82,142.3, None, None,11.0, 979.0, None, None, None, None, None, None, None, None, 23.75, None, None, None, None,33.29, None, None, None, None, None, None,2017-07-23 17:00:00, None,30
45.34, None, None, None, 7.569,144.1, None, None,11.0, 978.0, None, None, None, None, None, None, None, None, 23.38, None, None, None, None,34.67, None, None, None, None, None, None,2017-07-23 18:00:00, None,30
47.83, None, None, None, 7.574,147.3, None, None,11.0, 978.0, None, None, None, None, None, None, None, None, 22.45, None, None, None, None,32.86, None, None, None, None, None, None,2017-07-23 19:00:00, None,30
57.61, None, None, None, 4.762,146.3, None, None,12.0, 978.0, None, None, None, None, None, None, None, None, 20.67, None, None, None, None,38.46, None, None, None, None, None, None,2017-07-23 20:00:00, None,30
68.09, None, None, None, 2.155,117.9, None, None,12.0, 978.0, None, None, None, None, None, None, None, None, 17.91, None, None, None, None,57.04, None, None, None, None, None, None,2017-07-23 21:00:00, None,30
74.35, None, None, None, 0.735,32.87, None, None,11.0, 979.0, None, None, None, None, None, None, None, None, 16.04, None, None, None, None,19.9, None, None, None, None, None, None,2017-07-23 22:00:00, None,30
80.3, None, None, None, 0.265,92.6, None, None,12.0, 980.0, None, None, None, None, None, None, None, None, 14.96, None, None, None, None,41.63, None, None, None, None, None, None,2017-07-23 23:00:00, None,30
83.2, None, None, None, 0.77,131.8, None, None,11.0, 980.0, None, None, None, None, None, None, None, None, 14.11, None, None, None, None,11.2, None, None, None, None, None, None,2017-07-24 00:00:00, None,30
85.5, None, None, None, 1.371,152.1, None, None,11.0, 980.0, None, None, None, None, None, None, None, None, 13.45, None, None, None, None,7.966, None, None, None, None, None, None,2017-07-24 01:00:00, None,30
88.9, None, None, None, 1.848,153.0, None, None,11.0, 980.0, None, None, None, None, None, None, None, None, 12.71, None, None, None, None,12.99, None, None, None, None, None, None,2017-07-24 02:00:00, None,30
90.4, None, None, None, 1.547,143.4, None, None,11.0, 980.0, None, None, None, None, None, None, None, None, 12.31, None, None, None, None,25.96, None, None, None, None, None, None,2017-07-24 03:00:00, None,30
90.9, None, None, None, 2.165,152.8, None, None,10.0, 980.0, None, None, None, None, None, None, None, None, 11.79, None, None, None, None,15.46, None, None, None, None, None, None,2017-07-24 04:00:00, None,30
91.6, None, None, None, 1.972,151.3, None, None,10.0, 980.0, None, None, None, None, None, None, None, None, 11.41, None, None, None, None,10.53, None, None, None, None, None, None,2017-07-24 05:00:00, None,30
92.1, None, None, None, 1.492,155.1, None, None,10.0, 980.0, None, None, None, None, None, None, None, None, 11.13, None, None, None, None,10.48, None, None, None, None, None, None,2017-07-24 06:00:00, None,30
92.2, None, None, None, 1.754,150.2, None, None,10.0, 980.0, None, None, None, None, None, None, None, None, 11.15, None, None, None, None,27.27, None, None, None, None, None, None,2017-07-24 07:00:00, None,30
92.1, None, None, None, 1.608,148.7, None, None,10.0, 981.0, None, None, None, None, None, None, None, None, 11.39, None, None, None, None,11.1, None, None, None, None, None, None,2017-07-24 08:00:00, None,30
91.3, None, None, None, 1.303,119.7, None, None,11.0, 981.0, None, None, None, None, None, None, None, None, 12.46, None, None, None, None,25.43, None, None, None, None, None, None,2017-07-24 09:00:00, None,30
83.7, None, None, None, 1.511,95.3, None, None,12.0, 980.0, None, None, None, None, None, None, None, None, 14.38, None, None, None, None,24.39, None, None, None, None, None, None,2017-07-24 10:00:00, None,30
69.28, None, None, None, 2.07,132.4, None, None,12.0, 980.0, None, None, None, None, None, None, None, None, 17.65, None, None, None, None,42.63, None, None, None, None, None, None,2017-07-24 11:00:00, None,30
42.23, None, None, None, 2.204,143.9, None, None,10.0, 979.0, None, None, None, None, None, None, None, None, 22.55, None, None, None, None,65.66, None, None, None, None, None, None,2017-07-24 12:00:00, None,30
36.99, None, None, None, 3.026,112.7, None, None,8.0, 979.0, None, None, None, None, None, None, None, None, 23.71, None, None, None, None,60.46, None, None, None, None, None, None,2017-07-24 13:00:00, None,30
45.63, None, None, None, 3.053,99.1, None, None,11.0, 978.0, None, None, None, None, None, None, None, None, 23.1, None, None, None, None,50.56, None, None, None, None, None, None,2017-07-24 14:00:00, None,30
42.11, None, None, None, 3.067,112.2, None, None,10.0, 978.0, None, None, None, None, None, None, None, None, 24.2, None, None, None, None,51.02, None, None, None, None, None, None,2017-07-24 15:00:00, None,30
41.1, None, None, None, 3.092,101.3, None, None,12.0, 978.0, None, None, None, None, None, None, None, None, 25.72, None, None, None, None,62.29, None, None, None, None, None, None,2017-07-24 16:00:00, None,30
44.37, None, None, None, 5.591,137.1, None, None,13.0, 977.0, None, None, None, None, None, None, None, None, 26.1, None, None, None, None,46.15, None, None, None, None, None, None,2017-07-24 17:00:00, None,30
39.52, None, None, None, 6.225,147.8, None, None,11.0, 977.0, None, None, None, None, None, None, None, None, 25.6, None, None, None, None,30.02, None, None, None, None, None, None,2017-07-24 18:00:00, None,30
48.92, None, None, None, 5.324,155.2, None, None,12.0, 977.0, None, None, None, None, None, None, None, None, 23.35, None, None, None, None,28.89, None, None, None, None, None, None,2017-07-24 19:00:00, None,30
54.26, None, None, None, 4.974,162.3, None, None,12.0, 976.0, None, None, None, None, None, None, None, None, 21.72, None, None, None, None,36.94, None, None, None, None, None, None,2017-07-24 20:00:00, None,30
64.98, None, None, None, 1.32,51.51, None, None,12.0, 977.0, None, None, None, None, None, None, None, None, 18.92, None, None, None, None,69.11, None, None, None, None, None, None,2017-07-24 21:00:00, None,30
69.37, None, None, None, 0.691,64.24, None, None,12.0, 977.0, None, None, None, None, None, None, None, None, 17.25, None, None, None, None,18.38, None, None, None, None, None, None,2017-07-24 22:00:00, None,30
73.72, None, None, None, 0.777,104.6, None, None,12.0, 978.0, None, None, None, None, None, None, None, None, 16.6, None, None, None, None,13.37, None, None, None, None, None, None,2017-07-24 23:00:00, None,30
76.56, None, None, None, 0.948,121.7, None, None,12.0, 978.0, None, None, None, None, None, None, None, None, 15.74, None, None, None, None,13.45, None, None, None, None, None, None,2017-07-25 00:00:00, None,30
80.2, None, None, None, 1.175,138.8, None, None,12.0, 978.0, None, None, None, None, None, None, None, None, 14.93, None, None, None, None,12.35, None, None, None, None, None, None,2017-07-25 01:00:00, None,30
81.8, None, None, None, 1.27,142.3, None, None,11.0, 978.0, None, None, None, None, None, None, None, None, 14.18, None, None, None, None,14.44, None, None, None, None, None, None,2017-07-25 02:00:00, None,30
83.4, None, None, None, 0.988,140.5, None, None,11.0, 978.0, None, None, None, None, None, None, None, None, 13.65, None, None, None, None,20.45, None, None, None, None, None, None,2017-07-25 03:00:00, None,30
83.9, None, None, None, 1.207,142.3, None, None,11.0, 979.0, None, None, None, None, None, None, None, None, 13.25, None, None, None, None,16.89, None, None, None, None, None, None,2017-07-25 04:00:00, None,30
84.2, None, None, None, 0.924,150.5, None, None,10.0, 979.0, None, None, None, None, None, None, None, None, 12.89, None, None, None, None,5.285, None, None, None, None, None, None,2017-07-25 05:00:00, None,30
84.6, None, None, None, 1.435,148.5, None, None,10.0, 979.0, None, None, None, None, None, None, None, None, 12.7, None, None, None, None,23.74, None, None, None, None, None, None,2017-07-25 06:00:00, None,30
84.1, None, None, None, 1.318,145.6, None, None,10.0, 980.0, None, None, None, None, None, None, None, None, 12.66, None, None, None, None,21.86, None, None, None, None, None, None,2017-07-25 07:00:00, None,30
83.9, None, None, None, 1.521,150.4, None, None,10.0, 980.0, None, None, None, None, None, None, None, None, 12.87, None, None, None, None,18.7, None, None, None, None, None, None,2017-07-25 08:00:00, None,30
82.4, None, None, None, 1.424,126.9, None, None,11.0, 980.0, None, None, None, None, None, None, None, None, 13.74, None, None, None, None,24.18, None, None, None, None, None, None,2017-07-25 09:00:00, None,30
73.74, None, None, None, 1.865,98.0, None, None,11.0, 980.0, None, None, None, None, None, None, None, None, 15.83, None, None, None, None,18.32, None, None, None, None, None, None,2017-07-25 10:00:00, None,30
55.29, None, None, None, 2.738,146.2, None, None,11.0, 979.0, None, None, None, None, None, None, None, None, 20.34, None, None, None, None,35.3, None, None, None, None, None, None,2017-07-25 11:00:00, None,30
42.42, None, None, None, 2.691,140.4, None, None,10.0, 979.0, None, None, None, None, None, None, None, None, 23.94, None, None, None, None,58.03, None, None, None, None, None, None,2017-07-25 12:00:00, None,30
41.71, None, None, None, 3.472,104.3, None, None,11.0, 979.0, None, None, None, None, None, None, None, None, 24.87, None, None, None, None,49.7, None, None, None, None, None, None,2017-07-25 13:00:00, None,30
35.86, None, None, None, 4.741,117.7, None, None,11.0, 979.0, None, None, None, None, None, None, None, None, 27.05, None, None, None, None,51.06, None, None, None, None, None, None,2017-07-25 14:00:00, None,30
32.88, None, None, None, 6.137,142.1, None, None,10.0, 978.0, None, None, None, None, None, None, None, None, 28.26, None, None, None, None,36.12, None, None, None, None, None, None,2017-07-25 15:00:00, None,30
31.43, None, None, None, 9.1,141.7, None, None,10.0, 978.0, None, None, None, None, None, None, None, None, 27.87, None, None, None, None,29.33, None, None, None, None, None, None,2017-07-25 16:00:00, None,30
28.24, None, None, None, 8.14,140.5, None, None,8.0, 978.0, None, None, None, None, None, None, None, None, 28.51, None, None, None, None,31.04, None, None, None, None, None, None,2017-07-25 17:00:00, None,30
27.91, None, None, None, 6.708,143.5, None, None,8.0, 977.0, None, None, None, None, None, None, None, None, 28.52, None, None, None, None,33.8, None, None, None, None, None, None,2017-07-25 18:00:00, None,30
30.13, None, None, None, 7.349,148.2, None, None,8.0, 977.0, None, None, None, None, None, None, None, None, 27.17, None, None, None, None,35.37, None, None, None, None, None, None,2017-07-25 19:00:00, None,30
43.23, None, None, None, 6.493,158.8, None, None,10.0, 978.0, None, None, None, None, None, None, None, None, 23.57, None, None, None, None,33.45, None, None, None, None, None, None,2017-07-25 20:00:00, None,30
55.93, None, None, None, 1.422,12.76, None, None,11.0, 978.0, None, None, None, None, None, None, None, None, 20.07, None, None, None, None,58.8, None, None, None, None, None, None,2017-07-25 21:00:00, None,30
61.97, None, None, None, 0.611,68.78, None, None,11.0, 978.0, None, None, None, None, None, None, None, None, 18.31, None, None, None, None,19.37, None, None, None, None, None, None,2017-07-25 22:00:00, None,30
66.45, None, None, None, 0.747,108.9, None, None,11.0, 978.0, None, None, None, None, None, None, None, None, 17.35, None, None, None, None,25.03, None, None, None, None, None, None,2017-07-25 23:00:00, None,30
68.66, None, None, None, 0.856,113.0, None, None,11.0, 979.0, None, None, None, None, None, None, None, None, 16.65, None, None, None, None,14.51, None, None, None, None, None, None,2017-07-26 00:00:00, None,30
70.5, None, None, None, 0.945,134.0, None, None,11.0, 979.0, None, None, None, None, None, None, None, None, 15.88, None, None, None, None,9.16, None, None, None, None, None, None,2017-07-26 01:00:00, None,30
73.19, None, None, None, 0.823,140.3, None, None,10.0, 979.0, None, None, None, None, None, None, None, None, 15.21, None, None, None, None,9.78, None, None, None, None, None, None,2017-07-26 02:00:00, None,30
75.62, None, None, None, 0.704,145.2, None, None,10.0, 979.0, None, None, None, None, None, None, None, None, 14.52, None, None, None, None,4.132, None, None, None, None, None, None,2017-07-26 03:00:00, None,30
