wind_speed,temperature,avg_wnd_dir_10m_pst10mts,wind_direction,rel_hum,relative_humidity,rnfl_amt_pst24hrs,rnfl_amt_pst1hr,avg_wnd_spd_10m_pst10mts,precipitation,time,week_of_year
12.6,21.0, None,245.0, None,33.0, None, None, None,0.0,2018-08-08 11:00:00,32
12.5,22.9, None,269.0, None,30.0, None, None, None,0.0,2018-08-08 12:00:00,32
10.5,23.1, None,277.0, None,29.0, None, None, None,0.0,2018-08-08 13:00:00,32
7.2,22.4, None,267.0, None,28.0, None, None, None,0.0,2018-08-08 14:00:00,32
9.8,23.5, None,280.0, None,27.0, None, None, None,0.0,2018-08-08 15:00:00,32
11.0,23.7, None,251.0, None,26.0, None, None, None,0.0,2018-08-08 16:00:00,32
8.5,22.0, None,242.0, None,27.0, None, None, None,0.0,2018-08-08 17:00:00,32
11.3,21.1, None,255.0, None,29.0, None, None, None,0.0,2018-08-08 18:00:00,32
22.2,18.8, None,260.0, None,32.0, None, None, None,0.0,2018-08-08 19:00:00,32
27.8,18.1, None,258.0, None,34.0, None, None, None,0.0,2018-08-08 20:00:00,32
26.5,18.0, None,261.0, None,35.0, None, None, None,0.0,2018-08-08 21:00:00,32
24.9,18.1, None,264.0, None,35.0, None, None, None,0.0,2018-08-08 22:00:00,32
23.9,17.8, None,276.0, None,35.0, None, None, None,0.0,2018-08-08 23:00:00,32
21.1,17.9, None,276.0, None,36.0, None, None, None,0.0,2018-08-09 00:00:00,32
21.2,17.9, None,280.0, None,36.0, None, None, None,0.0,2018-08-09 01:00:00,32
22.1,17.4, None,274.0, None,37.0, None, None, None,0.0,2018-08-09 02:00:00,32
24.4,16.9, None,272.0, None,38.0, None, None, None,0.0,2018-08-09 03:00:00,32
18.5,17.8, None,282.0, None,36.0, None, None, None,0.0,2018-08-09 04:00:00,32
14.8,17.8, None,284.0, None,36.0, None, None, None,0.0,2018-08-09 05:00:00,32
9.4,19.0, None,306.0, None,33.0, None, None, None,0.0,2018-08-09 06:00:00,32
6.3,20.5, None,290.0, None,30.0, None, None, None,0.0,2018-08-09 07:00:00,32
4.3,24.2, None,243.0, None,26.0, None, None, None,0.0,2018-08-09 08:00:00,32
5.8,24.0, None,240.0, None,25.0, None, None, None,0.0,2018-08-09 09:00:00,32
12.5,24.3, None,249.0, None,27.0, None, None, None,0.0,2018-08-09 10:00:00,32
13.6,23.8, None,252.0, None,28.0, None, None, None,0.0,2018-08-09 11:00:00,32
12.5,26.0, None,253.0, None,26.0, None, None, None,0.0,2018-08-09 12:00:00,32
7.9,27.0, None,168.0, None,22.0, None, None, None,0.0,2018-08-09 13:00:00,32
10.0,26.9, None,244.0, None,22.0, None, None, None,0.0,2018-08-09 14:00:00,32
11.7,27.2, None,222.0, None,21.0, None, None, None,0.0,2018-08-09 15:00:00,32
10.7,25.8, None,283.0, None,24.0, None, None, None,0.0,2018-08-09 16:00:00,32
11.4,25.6, None,235.0, None,23.0, None, None, None,0.0,2018-08-09 17:00:00,32
16.1,23.8, None,240.0, None,26.0, None, None, None,0.0,2018-08-09 18:00:00,32
25.1,21.6, None,251.0, None,29.0, None, None, None,0.0,2018-08-09 19:00:00,32
24.1,21.1, None,249.0, None,31.0, None, None, None,0.0,2018-08-09 20:00:00,32
23.2,20.9, None,251.0, None,31.0, None, None, None,0.0,2018-08-09 21:00:00,32
25.6,21.2, None,250.0, None,30.0, None, None, None,0.0,2018-08-09 22:00:00,32
20.6,20.8, None,253.0, None,31.0, None, None, None,0.0,2018-08-09 23:00:00,32
26.5,20.8, None,247.0, None,31.0, None, None, None,0.0,2018-08-10 00:00:00,32
22.2,20.2, None,254.0, None,32.0, None, None, None,0.0,2018-08-10 01:00:00,32
23.1,20.4, None,239.0, None,30.0, None, None, None,0.0,2018-08-10 02:00:00,32
22.0,20.0, None,253.0, None,29.0, None, None, None,0.0,2018-08-10 03:00:00,32
22.0,20.2, None,259.0, None,28.0, None, None, None,0.0,2018-08-10 04:00:00,32
19.0,20.4, None,259.0, None,28.0, None, None, None,0.0,2018-08-10 05:00:00,32
13.1,22.2, None,248.0, None,25.0, None, None, None,0.0,2018-08-10 06:00:00,32
8.0,24.1, None,237.0, None,22.0, None, None, None,0.0,2018-08-10 07:00:00,32
10.9,25.3, None,229.0, None,21.0, None, None, None,0.0,2018-08-10 08:00:00,32
11.7,26.6, None,239.0, None,21.0, None, None, None,0.0,2018-08-10 09:00:00,32
11.9,27.4, None,247.0, None,23.0, None, None, None,0.0,2018-08-10 10:00:00,32
13.9,27.4, None,237.0, None,22.0, None, None, None,0.0,2018-08-10 11:00:00,32
13.2,29.7, None,248.0, None,18.0, None, None, None,0.0,2018-08-10 12:00:00,32
12.5,30.1, None,242.0, None,16.0, None, None, None,0.0,2018-08-10 13:00:00,32
14.3,29.4, None,212.0, None,14.0, None, None, None,0.0,2018-08-10 14:00:00,32
11.4,29.5, None,164.0, None,15.0, None, None, None,0.0,2018-08-10 15:00:00,32
13.9,29.2, None,222.0, None,15.0, None, None, None,0.0,2018-08-10 16:00:00,32
10.6,26.6, None,222.0, None,18.0, None, None, None,0.0,2018-08-10 18:00:00,32
7.9,24.1, None,213.0, None,21.0, None, None, None,0.0,2018-08-10 19:00:00,32
13.2,23.6, None,215.0, None,22.0, None, None, None,0.0,2018-08-10 20:00:00,32
20.1,23.2, None,254.0, None,23.0, None, None, None,0.0,2018-08-10 21:00:00,32
14.4,22.7, None,249.0, None,24.0, None, None, None,0.0,2018-08-10 22:00:00,32
17.8,23.0, None,207.0, None,24.0, None, None, None,0.0,2018-08-10 23:00:00,32
13.6,21.8, None,220.0, None,26.0, None, None, None,0.0,2018-08-11 00:00:00,32
39.8,20.3, None,252.0, None,31.0, None, None, None,0.0,2018-08-11 01:00:00,32
24.5,20.0, None,261.0, None,32.0, None, None, None,0.0,2018-08-11 02:00:00,32
14.1,21.3, None,198.0, None,25.0, None, None, None,0.0,2018-08-11 03:00:00,32
15.9,20.3, None,231.0, None,29.0, None, None, None,0.0,2018-08-11 04:00:00,32
22.3,19.5, None,241.0, None,33.0, None, None, None,0.0,2018-08-11 05:00:00,32
21.2,19.5, None,258.0, None,33.0, None, None, None,0.0,2018-08-11 06:00:00,32
20.2,18.7, None,182.0, None,38.0, None, None, None,0.0,2018-08-11 07:00:00,32
8.7,20.3, None,143.0, None,32.0, None, None, None,0.0,2018-08-11 08:00:00,32
4.9,21.3, None,148.0, None,33.0, None, None, None,0.0,2018-08-11 09:00:00,32
7.5,21.8, None,124.0, None,32.0, None, None, None,0.0,2018-08-11 10:00:00,32
18.6,23.1, None,180.0, None,30.0, None, None, None,0.0,2018-08-11 11:00:00,32
18.0,26.8, None,215.0, None,28.0, None, None, None,0.0,2018-08-11 12:00:00,32
21.8,23.4, None,217.0, None,31.0, None, None, None,0.0,2018-08-11 13:00:00,32
23.3,25.2, None,218.0, None,29.0, None, None, None,0.0,2018-08-11 14:00:00,32
14.2,23.8, None,187.0, None,34.0, None, None, None,0.0,2018-08-11 15:00:00,32
12.9,23.2, None,214.0, None,31.0, None, None, None,0.0,2018-08-11 16:00:00,32
11.6,20.2, None,145.0, None,35.0, None, None, None,0.0,2018-08-11 17:00:00,32
11.6,18.5, None,171.0, None,39.0, None, None, None,0.0,2018-08-11 18:00:00,32
24.5,15.9, None,198.0, None,41.0, None, None, None,0.0,2018-08-11 19:00:00,32
23.2,14.3, None,203.0, None,45.0, None, None, None,0.0,2018-08-11 20:00:00,32
15.8,13.2, None,193.0, None,46.0, None, None, None,0.0,2018-08-11 21:00:00,32
22.4,12.7, None,215.0, None,40.0, None, None, None,0.0,2018-08-11 22:00:00,32
16.6,11.7, None,205.0, None,40.0, None, None, None,0.0,2018-08-11 23:00:00,32
22.1,10.4, None,207.0, None,41.0, None, None, None,0.0,2018-08-12 00:00:00,32
25.4,9.4, None,226.0, None,48.0, None, None, None,0.0,2018-08-12 01:00:00,32
30.5,8.3, None,228.0, None,57.0, None, None, None,0.0,2018-08-12 02:00:00,32
36.8,7.5, None,235.0, None,62.0, None, None, None,0.0,2018-08-12 03:00:00,32
36.8,6.7, None,230.0, None,67.0, None, None, None,0.0,2018-08-12 04:00:00,32
34.3,7.0, None,231.0, None,64.0, None, None, None,0.0,2018-08-12 05:00:00,32
43.9,7.0, None,238.0, None,66.0, None, None, None,0.0,2018-08-12 06:00:00,32
49.5,7.6, None,241.0, None,64.0, None, None, None,0.0,2018-08-12 07:00:00,32
11.5,9.6, None,201.0, None,61.0, None, None, None,0.0,2018-08-12 08:00:00,32
17.6,9.9, None,236.0, None,61.0, None, None, None,0.0,2018-08-12 09:00:00,32
16.5,9.2, None,255.0, None,64.0, None, None, None,0.0,2018-08-12 10:00:00,32
19.2,10.0, None,255.0, None,62.0, None, None, None,0.0,2018-08-12 11:00:00,32
24.9,12.1, None,248.0, None,54.0, None, None, None,0.0,2018-08-12 12:00:00,32
29.5,8.8, None,259.0, None,67.0, None, None, None,0.0,2018-08-12 13:00:00,32
17.7,9.8, None,249.0, None,64.0, None, None, None,0.0,2018-08-12 14:00:00,32
23.8,8.9, None,259.0, None,64.0, None, None, None,0.0,2018-08-12 15:00:00,32
18.4,8.9, None,294.0, None,66.0, None, None, None,0.0,2018-08-12 16:00:00,32
15.2,7.9, None,300.0, None,70.0, None, None, None,0.0,2018-08-12 17:00:00,32
18.0,6.9, None,301.0, None,73.0, None, None, None,0.0,2018-08-12 18:00:00,32
17.8,6.7, None,306.0, None,73.0, None, None, None,0.0,2018-08-12 19:00:00,32
15.8,6.4, None,304.0, None,75.0, None, None, None,0.0,2018-08-12 20:00:00,32
15.6,6.0, None,322.0, None,76.0, None, None, None,0.0,2018-08-12 21:00:00,32
10.2,6.1, None,347.0, None,82.0, None, None, None,0.0,2018-08-12 22:00:00,32
9.6,5.8, None,355.0, None,82.0, None, None, None,0.0,2018-08-12 23:00:00,32
