wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,stn_pres
283.0, 78.0, 12.3, 0.0, 3.5, 12.3, 7.1, 7.0, 296.0, 0.0, 0.0, 78.0,2022-09-24 00:00:00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.0, 74.0, 17.8, 0.0, 3.1, 3.3, 7.4, 5.5, 302.0, 0.0, 0.0, 88.0,2022-09-24 01:00:00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171.0, 78.0, 12.3, 0.0, 3.4, 5.1, 7.0, 4.4, 283.0, 0.0, 0.0, 91.0,2022-09-24 02:00:00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.0, 88.0, 3.3, 0.0, 3.7, 4.8, 5.5, 4.6, 126.0, 0.0, 0.0, 90.0,2022-09-24 03:00:00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285.0, 91.0, 5.1, 0.0, 3.1, 2.0, 4.4, 2.9, 171.0, 0.0, 0.0, 94.0,2022-09-24 04:00:00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0, 90.0, 4.8, 0.0, 3.1, 4.3, 4.6, 2.3, 143.0, 0.0, 0.0, 96.0,2022-09-24 05:00:00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.0, 94.0, None, 0.0, 2.0, 2.1, 2.9, 5.4, 285.0, 0.0, 0.0, 87.0,2022-09-24 06:00:00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.0, 96.0, 4.3, 0.0, 1.7, 5.5, 2.3, 9.1, 34.0, 0.0, 0.0, 71.0,2022-09-24 07:00:00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.0, 87.0, 2.1, 0.0, 3.4, 6.0, 5.4, 12.8, 109.0, 0.0, 0.0, 57.0,2022-09-24 08:00:00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202.0, 71.0, 5.5, 0.0, 4.1, 5.0, 9.1, 13.3, 150.0, 0.0, 0.0, 54.0,2022-09-24 09:00:00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
