wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,pcpn_amt_pst24hrs,SWE,cum_pcpn_amt,ONE_DAY_SNOW,air_temp_2,air_temp_1,snw_dpth,MAX_TEMP,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,MIN_TEMP,SNOW_ON_THE_GROUND,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,snwfl_amt_pst1hr,stn_pres
356.0, 82.0, 2.2,0.0, -20.5,3.4, -18.2,-20.7, 350.0, 0.0, 0.0,81.0,2021-12-17 00:00:00,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310.0, 81.0, 3.4,0.0, -23.1,2.3, -20.7,-22.0, 356.0, 0.0, 0.0,80.0,2021-12-17 01:00:00,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0, 80.0, 2.3,0.0, -24.5,3.0, -22.0,-22.6, 310.0, 0.0, 0.0,79.0,2021-12-17 02:00:00,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0, 79.0, 3.0,0.0, -25.2,3.8, -22.6,-21.0, 307.0, 0.0, 0.0,83.0,2021-12-17 03:00:00,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0, 83.0, 3.8,0.0, -23.1,3.6, -21.0,-22.9, 62.0, 0.0, 0.0,83.0,2021-12-17 04:00:00,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350.0, 83.0, 3.6,0.0, -25.0,2.8, -22.9,-22.1, 12.0, 0.0, 0.0,80.0,2021-12-17 05:00:00,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.0, 80.0, 2.8,0.0, -24.6,4.3, -22.1,-23.6, 350.0, 0.0, 0.0,73.0,2021-12-17 06:00:00,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207.0, 73.0, 4.3,0.0, -27.1,2.1, -23.6,-23.9, 240.0, 0.0, 0.0,77.0,2021-12-17 07:00:00,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0, 77.0, 2.1,0.0, -26.8,4.4, -23.9,-20.1, 207.0, 0.0, 0.0,78.0,2021-12-17 08:00:00,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.0, 78.0, 4.4,0.0, -22.9,3.4, -20.1,-18.8, 80.0, 0.0, 0.0,81.0,2021-12-17 09:00:00,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
