air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,stn_pres,week_of_year
None,11.41, None, None, None, None, 25.04,2016-09-16 00:00:00, None, None, None,38
None,11.13, None, None, None, None, 24.92,2016-09-16 01:00:00, None, None, None,38
None,11.09, None, None, None, None, 25.21,2016-09-16 02:00:00, None, None, None,38
None,10.59, None, None, None, None, 22.75,2016-09-16 03:00:00, None, None, None,38
None,9.52, None, None, None, None, 25.18,2016-09-16 04:00:00, None, None, None,38
None,9.09, None, None, None, None, 23.04,2016-09-16 05:00:00, None, None, None,38
None,8.18, None, None, None, None, 26.28,2016-09-16 06:00:00, None, None, None,38
None,8.17, None, None, None, None, 24.69,2016-09-16 07:00:00, None, None, None,38
None,8.42, None, None, None, None, 27.36,2016-09-16 08:00:00, None, None, None,38
None,8.73, None, None, None, None, 27.74,2016-09-16 09:00:00, None, None, None,38
None,9.05, None, None, None, None, 23.5,2016-09-16 10:00:00, None, None, None,38
None,9.48, None, None, None, None, 23.44,2016-09-16 11:00:00, None, None, None,38
None,9.64, None, None, None, None, 25.02,2016-09-16 12:00:00, None, None, None,38
None,9.15, None, None, None, None, 24.11,2016-09-16 13:00:00, None, None, None,38
None,9.67, None, None, None, None, 25.77,2016-09-16 14:00:00, None, None, None,38
None,8.9, None, None, None, None, 26.15,2016-09-16 15:00:00, None, None, None,38
None,8.21, None, None, None, None, None,2016-09-16 16:00:00, None, None, None,38
None,8.48, None, None, None, None, 25.39,2016-09-16 17:00:00, None, None, None,38
None,8.3, None, None, None, None, 24.31,2016-09-16 18:00:00, None, None, None,38
None,8.32, None, None, None, None, 23.68,2016-09-16 19:00:00, None, None, None,38
None,8.02, None, None, None, None, None,2016-09-16 20:00:00, None, None, None,38
None,7.8, None, None, None, None, 27.5,2016-09-16 21:00:00, None, None, None,38
None,7.64, None, None, None, None, 25.79,2016-09-16 22:00:00, None, None, None,38
None,7.16, None, None, None, None, 26.91,2016-09-16 23:00:00, None, None, None,38
None,6.95, None, None, None, None, 27.6,2016-09-17 00:00:00, None, None, None,38
None,7.02, None, None, None, None, 26.47,2016-09-17 01:00:00, None, None, None,38
None,7.02, None, None, None, None, 26.49,2016-09-17 02:00:00, None, None, None,38
None,6.941, None, None, None, None, 27.64,2016-09-17 03:00:00, None, None, None,38
None,7.31, None, None, None, None, 28.02,2016-09-17 04:00:00, None, None, None,38
None,7.34, None, None, None, None, 25.41,2016-09-17 05:00:00, None, None, None,38
None,7.2, None, None, None, None, 26.0,2016-09-17 06:00:00, None, None, None,38
None,7.01, None, None, None, None, 26.41,2016-09-17 07:00:00, None, None, None,38
None,6.382, None, None, None, None, 26.14,2016-09-17 08:00:00, None, None, None,38
None,6.127, None, None, None, None, 27.71,2016-09-17 09:00:00, None, None, None,38
None,7.88, None, None, None, None, None,2016-09-17 10:00:00, None, None, None,38
None,7.03, None, None, None, None, 27.43,2016-09-17 11:00:00, None, None, None,38
None,5.741, None, None, None, None, 26.86,2016-09-17 12:00:00, None, None, None,38
None,5.091, None, None, None, None, 28.27,2016-09-17 13:00:00, None, None, None,38
None,4.893, None, None, None, None, 28.6,2016-09-17 14:00:00, None, None, None,38
None,4.668, None, None, None, None, 26.75,2016-09-17 15:00:00, None, None, None,38
None,4.631, None, None, None, None, 27.63,2016-09-17 16:00:00, None, None, None,38
None,4.752, None, None, None, None, 28.66,2016-09-17 17:00:00, None, None, None,38
None,4.959, None, None, None, None, 29.12,2016-09-17 18:00:00, None, None, None,38
