wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP
308.0, 67.0, 4.5,0.0, -9.0,6.8, -3.8,-2.5, 286.0, 0.0, 1.2,76.0,2021-03-26 00:00:00,13,,,,,,
304.0, 62.0, 5.2,0.0, -9.1,12.5, -2.8,-1.8, 270.0, 0.0, 1.2,77.0,2021-03-26 01:00:00,13,,,,,,
285.0, 76.0, 6.8,0.0, -6.1,11.6, -2.5,-2.0, 308.0, 0.0, 1.2,78.0,2021-03-26 02:00:00,13,,,,,,
273.0, 77.0, 12.5,0.0, -5.3,13.7, -1.8,-1.9, 304.0, 0.0, 1.2,76.0,2021-03-26 03:00:00,13,,,,,,
271.0, 78.0, 11.6,0.0, -5.3,12.5, -2.0,-1.9, 285.0, 0.0, 1.2,76.0,2021-03-26 04:00:00,13,,,,,,
272.0, 76.0, 13.7,0.0, -5.6,9.2, -1.9,-1.8, 273.0, 0.0, 1.2,76.0,2021-03-26 05:00:00,13,,,,,,
298.0, 76.0, 12.5,0.0, -5.6,7.7, -1.9,-1.6, 271.0, 0.0, 1.2,75.0,2021-03-26 06:00:00,13,,,,,,
284.0, 76.0, 9.2,0.0, -5.5,7.1, -1.8,-1.0, 272.0, 0.0, 1.2,75.0,2021-03-26 07:00:00,13,,,,,,
251.0, 75.0, 7.7,0.0, -5.4,10.0, -1.6,0.1, 298.0, 0.0, 1.2,71.0,2021-03-26 08:00:00,13,,,,,,
253.0, 75.0, 7.1,0.0, -4.9,10.8, -1.0,2.2, 284.0, 0.0, 1.2,63.0,2021-03-26 09:00:00,13,,,,,,
252.0, 71.0, 10.0,0.0, -4.5,8.0, 0.1,3.9, 251.0, 0.0, 1.2,57.0,2021-03-26 10:00:00,13,,,,,,
305.0, 63.0, 10.8,0.0, -4.1,10.7, 2.2,3.3, 253.0, 0.0, 1.2,58.0,2021-03-26 11:00:00,13,,,,,,
270.0, 57.0, 8.0,0.0, -3.8,8.9, 3.9,5.5, 252.0, 0.0, 1.2,52.0,2021-03-26 12:00:00,13,,,,,,
323.0, 58.0, 10.7,0.0, -4.2,12.6, 3.3,5.4, 305.0, 0.0, 0.8,52.0,2021-03-26 13:00:00,13,,,,,,
316.0, 52.0, 8.9,0.0, -3.6,11.2, 5.5,4.6, 270.0, 0.0, 0.0,55.0,2021-03-26 14:00:00,13,,,,,,
256.0, 52.0, 12.6,0.0, -3.7,7.4, 5.4,4.2, 323.0, 0.0, 0.0,57.0,2021-03-26 15:00:00,13,,,,,,
303.0, 55.0, 11.2,0.0, -3.7,9.2, 4.6,2.8, 316.0, 0.0, 0.0,63.0,2021-03-26 16:00:00,13,,,,,,
276.0, 57.0, 7.4,0.0, -3.6,11.2, 4.2,1.5, 256.0, 0.0, 0.0,70.0,2021-03-26 17:00:00,13,,,,,,
263.0, None, None,0.0, None,15.4, None,0.1, None, None, None,76.0,2021-03-26 18:00:00,13,,,,,,
194.0, 70.0, 11.2,0.0, -3.4,8.9, 1.5,-0.7, 276.0, 0.0, 0.0,81.0,2021-03-26 19:00:00,13,,,,,,
193.0, 76.0, 15.4,0.0, -3.6,11.2, 0.1,-0.9, 263.0, 0.0, 0.0,81.0,2021-03-26 20:00:00,13,,,,,,
236.0, 81.0, 8.9,0.0, -3.6,9.5, -0.7,-1.1, 194.0, 0.0, 0.0,80.0,2021-03-26 21:00:00,13,,,,,,
231.0, 81.0, 11.2,0.0, -3.7,7.3, -0.9,-0.9, 193.0, 0.0, 0.0,79.0,2021-03-26 22:00:00,13,,,,,,
214.0, 80.0, 9.5,0.0, -4.1,7.3, -1.1,-0.9, 236.0, 0.0, 0.0,81.0,2021-03-26 23:00:00,13,,,,,,
259.0, 79.0, 7.3,0.0, -4.1,6.2, -0.9,-1.6, 231.0, 0.0, 0.0,82.0,2021-03-27 00:00:00,13,,,,,,
264.0, 81.0, 7.3,0.0, -3.7,10.4, -0.9,-1.5, 214.0, 0.0, 0.0,81.0,2021-03-27 01:00:00,13,,,,,,
281.0, None, None,0.0, None,11.1, None,-1.2, None, None, None,79.0,2021-03-27 02:00:00,13,,,,,,
265.0, 81.0, 10.4,0.0, -4.3,8.8, -1.5,-1.0, 264.0, 0.0, 0.0,78.0,2021-03-27 03:00:00,13,,,,,,
247.0, 79.0, 11.1,0.0, -4.4,9.7, -1.2,-1.0, 281.0, 0.0, 0.0,78.0,2021-03-27 04:00:00,13,,,,,,
273.0, 78.0, 8.8,0.0, -4.3,9.3, -1.0,-1.1, 265.0, 0.0, 0.0,77.0,2021-03-27 05:00:00,13,,,,,,
261.0, 78.0, 9.7,0.0, -4.3,10.3, -1.0,-0.7, 247.0, 0.0, 0.0,74.0,2021-03-27 06:00:00,13,,,,,,
258.0, 77.0, 9.3,0.0, -4.6,11.6, -1.1,0.9, 273.0, 0.0, 0.0,67.0,2021-03-27 07:00:00,13,,,,,,
216.0, 74.0, 10.3,0.0, -4.8,9.5, -0.7,2.5, 261.0, 0.0, 0.0,62.0,2021-03-27 08:00:00,13,,,,,,
214.0, 67.0, 11.6,0.0, -4.5,20.2, 0.9,2.3, 258.0, 0.0, 0.0,63.0,2021-03-27 09:00:00,13,,,,,,
220.0, 62.0, 9.5,0.0, -4.0,12.6, 2.5,4.9, 216.0, 0.0, 0.0,54.0,2021-03-27 10:00:00,13,,,,,,
227.0, 63.0, 20.2,0.0, -4.0,21.2, 2.3,5.5, 214.0, 0.0, 0.0,51.0,2021-03-27 11:00:00,13,,,,,,
202.0, 54.0, 12.6,0.0, -3.6,13.7, 4.9,5.3, 220.0, 0.0, 0.0,52.0,2021-03-27 12:00:00,13,,,,,,
217.0, 51.0, 21.2,0.0, -3.8,19.4, 5.5,4.7, 227.0, 0.0, 0.0,54.0,2021-03-27 13:00:00,13,,,,,,
297.0, 52.0, 13.7,0.0, -3.8,10.2, 5.3,4.2, 202.0, 0.0, 0.0,56.0,2021-03-27 14:00:00,13,,,,,,
288.0, 54.0, 19.4,0.0, -3.8,12.5, 4.7,2.5, 217.0, 0.0, 0.0,63.0,2021-03-27 15:00:00,13,,,,,,
289.0, 56.0, 10.2,0.0, -3.8,10.7, 4.2,2.2, 297.0, 0.0, 0.0,64.0,2021-03-27 16:00:00,13,,,,,,
274.0, 63.0, 12.5,0.0, -3.8,12.4, 2.5,2.6, 288.0, 0.0, 0.0,63.0,2021-03-27 17:00:00,13,,,,,,
