pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,week_of_year
None, -1.1, -1.096, -1.2, 279.0, 3.0, -1.0, None, 145.1,2022-02-05 00:00:00, 145.0, None,6
None, -1.1, -1.053, -1.2, 280.0, 1.0, -1.0, None, 145.4,2022-02-05 01:00:00, 145.0, None,6
None, -1.0, -0.969, -1.2, 281.0, 2.0, -1.0, None, 146.4,2022-02-05 02:00:00, 146.0, None,6
None, -0.9, -0.884, -1.2, 282.0, 0.0, -0.9, None, 146.5,2022-02-05 03:00:00, 147.0, None,6
None, -0.8, -0.776, -1.2, 282.0, 0.0, -0.8, None, 146.3,2022-02-05 04:00:00, 146.0, None,6
None, -0.7, -0.727, -1.2, 282.0, 0.0, -0.7, None, 145.8,2022-02-05 05:00:00, 146.0, None,6
None, -0.9, -0.904, -1.2, 282.0, 0.0, -0.7, None, 145.6,2022-02-05 06:00:00, 146.0, None,6
None, -1.5, -1.549, -1.5, 282.0, 0.0, -0.9, None, 145.2,2022-02-05 07:00:00, 145.0, None,6
None, -2.1, -2.142, -2.1, 282.0, 0.0, -0.9, None, 145.1,2022-02-05 08:00:00, 145.0, None,6
None, -1.4, -1.411, -2.1, 281.8, 0.0, -0.9, None, 144.6,2022-02-05 09:00:00, 145.0, None,6
None, 2.9, 2.915, -2.1, 282.0, 1.0, 2.8, None, 144.9,2022-02-05 10:00:00, 145.0, None,6
None, 7.5, 7.521, -2.1, 282.0, -2.0, 7.5, None, 143.2,2022-02-05 11:00:00, 143.0, None,6
None, 9.0, 9.03, -2.1, 282.0, 0.0, 9.0, None, 143.1,2022-02-05 12:00:00, 143.0, None,6
None, 9.7, 9.66, -2.1, 282.0, -1.0, 9.7, None, 142.4,2022-02-05 13:00:00, 142.0, None,6
None, 10.7, 10.74, -2.1, 282.0, 0.0, 10.7, None, 141.9,2022-02-05 14:00:00, 142.0, None,6
None, 9.4, 9.44, -2.1, 281.0, 0.0, 10.7, None, 141.9,2022-02-05 15:00:00, 142.0, None,6
None, 6.0, 5.969, -2.1, 281.0, 0.0, 10.7, None, 142.1,2022-02-05 16:00:00, 142.0, None,6
None, 3.3, 3.346, -2.1, 281.0, 0.0, 10.7, None, 142.3,2022-02-05 17:00:00, 142.0, None,6
None, 1.8, 1.806, -2.1, 281.0, 0.0, 10.7, None, 142.3,2022-02-05 18:00:00, 142.0, None,6
None, 0.7, 0.714, 0.7, 281.0, 0.0, 1.8, None, 142.1,2022-02-05 19:00:00, 142.0, None,6
None, 0.8, 0.762, 0.6, 281.0, 0.0, 1.8, None, 141.8,2022-02-05 20:00:00, 142.0, None,6
None, 1.2, 1.224, 0.6, 281.0, -1.0, 1.8, None, 141.2,2022-02-05 21:00:00, 141.0, None,6
None, 1.5, 1.5, 0.6, 281.4, 0.0, 1.8, None, 141.1,2022-02-05 22:00:00, 141.0, None,6
None, 1.6, 1.629, 0.6, 281.9, 0.0, 1.8, None, 140.9,2022-02-05 23:00:00, 141.0, None,6
