AirTemp,ONE_DAY_PRECIPITATION,Snow_WE,time,MIN_TEMP,MAX_TEMP,week_of_year,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,air_temp_1
,7.4, None,2016-03-18,-13.8,1.9,12,,,,,
,0.0, None,2016-03-19,-10.3,5.0,12,,,,,
,1.0, None,2016-03-20,-3.1,5.9,12,,,,,
,3.0, None,2016-03-21,-2.4,3.4,12,,,,,
,0.0, None,2016-03-22,-3.4,3.5,12,,,,,
,6.0, None,2016-03-23,-2.4,3.4,12,,,,,
,8.0, None,2016-03-24,-3.7,0.1,12,,,,,
,,,2016-03-18 00:00:00, None, None,12,326.0,574.0, None, None,-1.8
,,,2016-03-18 01:00:00, None, None,12,326.0,574.0, None, None,-1.6
,,,2016-03-18 02:00:00, None, None,12,326.0,575.0, None, None,-2.9
,,,2016-03-18 03:00:00, None, None,12,326.0,575.0, None, None,-4.2
,,,2016-03-18 04:00:00, None, None,12,326.0,575.0, None, None,-7.0
,,,2016-03-18 05:00:00, None, None,12,326.0,576.0, None, None,-9.5
,,,2016-03-18 06:00:00, None, None,12,327.0,576.0, None, None,-10.9
,,,2016-03-18 07:00:00, None, None,12,327.0,576.0, None, None,-11.8
,,,2016-03-18 08:00:00, None, None,12,327.0,576.0, None, None,-12.2
,,,2016-03-18 09:00:00, None, None,12,327.0,576.0, None, None,-12.4
,,,2016-03-18 10:00:00, None, None,12,327.0,577.0, None, None,-12.7
,,,2016-03-18 11:00:00, None, None,12,327.0,578.0, None, None,-13.1
,,,2016-03-18 12:00:00, None, None,12,327.0,579.0, None, None,-13.2
,,,2016-03-18 13:00:00, None, None,12,327.0,579.0, None, None,-13.3
,,,2016-03-18 14:00:00, None, None,12,327.0,579.0, None, None,-13.8
,,,2016-03-18 15:00:00, None, None,12,327.0,579.0, None, None,-13.5
,,,2016-03-18 16:00:00, None, None,12,327.0,579.0, 787.0, None,-10.5
,,,2016-03-18 17:00:00, None, None,12,327.0,579.0, None, None,-7.0
,,,2016-03-18 18:00:00, None, None,12,327.0,579.0, None, None,-3.3
,,,2016-03-18 19:00:00, None, None,12,327.0,579.0, None, None,-1.1
,,,2016-03-18 20:00:00, None, None,12,326.0,579.0, None, None,1.8
,,,2016-03-18 21:00:00, None, None,12,326.0,579.0, None, None,1.2
,,,2016-03-18 22:00:00, None, None,12,326.0,582.0, None, None,1.8
,,,2016-03-18 23:00:00, None, None,12,326.0,584.0, None, None,1.9
,,,2016-03-19 00:00:00, None, None,12,326.0,585.0, None, None,0.1
,,,2016-03-19 01:00:00, None, None,12,326.0,585.0, None, None,-1.0
,,,2016-03-19 02:00:00, None, None,12,326.0,585.0, None, None,-2.5
,,,2016-03-19 03:00:00, None, None,12,326.0,585.0, None, None,-3.9
,,,2016-03-19 04:00:00, None, None,12,326.0,585.0, None, None,-5.2
,,,2016-03-19 05:00:00, None, None,12,326.0,585.0, None, None,-6.8
,,,2016-03-19 06:00:00, None, None,12,326.0,585.0, None, None,-7.8
,,,2016-03-19 07:00:00, None, None,12,327.0,585.0, None, None,-8.0
,,,2016-03-19 08:00:00, None, None,12,327.0,585.0, None, None,-7.7
,,,2016-03-19 09:00:00, None, None,12,327.0,585.0, None, None,-8.6
,,,2016-03-19 10:00:00, None, None,12,327.0,585.0, None, None,-9.1
,,,2016-03-19 11:00:00, None, None,12,327.0,585.0, None, None,-9.6
,,,2016-03-19 12:00:00, None, None,12,327.0,585.0, None, None,-10.0
,,,2016-03-19 13:00:00, None, None,12,327.0,584.0, None, None,-9.9
,,,2016-03-19 14:00:00, None, None,12,327.0,584.0, None, None,-10.3
,,,2016-03-19 15:00:00, None, None,12,327.0,584.0, None, None,-8.9
,,,2016-03-19 16:00:00, None, None,12,327.0,584.0, 806.0, None,-7.4
,,,2016-03-19 17:00:00, None, None,12,327.0,584.0, None, None,-3.1
,,,2016-03-19 18:00:00, None, None,12,327.0,584.0, None, None,-0.4
,,,2016-03-19 19:00:00, None, None,12,326.0,584.0, None, None,2.5
,,,2016-03-19 20:00:00, None, None,12,326.0,584.0, None, None,2.6
,,,2016-03-19 21:00:00, None, None,12,326.0,584.0, None, None,5.0
,,,2016-03-19 22:00:00, None, None,12,326.0,585.0, None, None,3.7
,,,2016-03-19 23:00:00, None, None,12,326.0,586.0, None, None,4.4
,,,2016-03-20 00:00:00, None, None,12,326.0,586.0, None, None,3.4
,,,2016-03-20 01:00:00, None, None,12,326.0,586.0, None, None,1.6
,,,2016-03-20 02:00:00, None, None,12,326.0,587.0, None, None,0.4
,,,2016-03-20 03:00:00, None, None,12,326.0,587.0, None, None,-1.5
,,,2016-03-20 04:00:00, None, None,12,326.0,588.0, None, None,-1.6
,,,2016-03-20 05:00:00, None, None,12,326.0,588.0, None, None,-1.0
,,,2016-03-20 06:00:00, None, None,12,326.0,588.0, None, None,-0.9
,,,2016-03-20 07:00:00, None, None,12,326.0,588.0, None, None,-0.8
,,,2016-03-20 08:00:00, None, None,12,326.0,588.0, None, None,-0.9
,,,2016-03-20 09:00:00, None, None,12,326.0,588.0, None, None,-1.1
,,,2016-03-20 10:00:00, None, None,12,326.0,590.0, None, None,-1.5
,,,2016-03-20 11:00:00, None, None,12,326.0,591.0, None, None,-1.7
,,,2016-03-20 12:00:00, None, None,12,326.0,592.0, None, None,-2.0
,,,2016-03-20 13:00:00, None, None,12,326.0,592.0, None, None,-2.3
,,,2016-03-20 14:00:00, None, None,12,326.0,593.0, None, None,-3.1
,,,2016-03-20 15:00:00, None, None,12,326.0,593.0, None, None,-2.9
,,,2016-03-20 16:00:00, None, None,12,326.0,594.0, 803.0, None,-0.9
,,,2016-03-20 17:00:00, None, None,12,326.0,594.0, None, None,2.2
,,,2016-03-20 18:00:00, None, None,12,326.0,595.0, None, None,4.2
,,,2016-03-20 19:00:00, None, None,12,326.0,596.0, None, None,4.8
,,,2016-03-20 20:00:00, None, None,12,326.0,597.0, None, None,5.7
,,,2016-03-20 21:00:00, None, None,12,326.0,598.0, None, None,5.6
,,,2016-03-20 22:00:00, None, None,12,325.0,600.0, None, None,5.5
,,,2016-03-20 23:00:00, None, None,12,326.0,601.0, None, None,5.9
,,,2016-03-21 00:00:00, None, None,12,326.0,602.0, None, None,4.0
,,,2016-03-21 01:00:00, None, None,12,326.0,602.0, None, None,2.8
,,,2016-03-21 02:00:00, None, None,12,326.0,602.0, None, None,2.3
,,,2016-03-21 03:00:00, None, None,12,326.0,602.0, None, None,0.9
,,,2016-03-21 04:00:00, None, None,12,327.0,602.0, None, None,0.7
,,,2016-03-21 05:00:00, None, None,12,327.0,602.0, None, None,0.0
,,,2016-03-21 06:00:00, None, None,12,327.0,602.0, None, None,0.2
,,,2016-03-21 07:00:00, None, None,12,327.0,602.0, None, None,0.1
,,,2016-03-21 08:00:00, None, None,12,328.0,602.0, None, None,0.0
,,,2016-03-21 09:00:00, None, None,12,328.0,602.0, None, None,0.0
,,,2016-03-21 10:00:00, None, None,12,328.0,602.0, None, None,0.0
,,,2016-03-21 11:00:00, None, None,12,328.0,602.0, None, None,0.0
,,,2016-03-21 12:00:00, None, None,12,329.0,602.0, None, None,-0.1
,,,2016-03-21 13:00:00, None, None,12,329.0,602.0, None, None,-0.1
,,,2016-03-21 14:00:00, None, None,12,329.0,602.0, None, None,-0.2
,,,2016-03-21 15:00:00, None, None,12,329.0,602.0, None, None,0.0
,,,2016-03-21 16:00:00, None, None,12,329.0,602.0, 806.0, None,0.4
,,,2016-03-21 17:00:00, None, None,12,329.0,602.0, None, None,1.2
,,,2016-03-21 18:00:00, None, None,12,330.0,602.0, None, None,0.7
,,,2016-03-21 19:00:00, None, None,12,330.0,602.0, None, None,1.5
,,,2016-03-21 20:00:00, None, None,12,329.0,602.0, None, None,3.4
,,,2016-03-21 21:00:00, None, None,12,329.0,602.0, None, None,3.1
,,,2016-03-21 22:00:00, None, None,12,330.0,602.0, None, None,2.8
,,,2016-03-21 23:00:00, None, None,12,330.0,602.0, None, None,2.9
