pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None, 0.564, 100.0, None, None, None, 0.604, 0.0, 7.932, 90.4, 0.0, 0.6, 0.3, 0.1, 0.0, 3.5, 100.0, None,2022-05-07 00:00:00, 123.0, 122.5,19
None, None, 0.429, 99.9, None, None, None, 0.114, 0.0, 9.13, 90.9, 1.0, 0.4, 0.3, 0.0, 1.0, 3.5, 100.0, None,2022-05-07 01:00:00, 123.0, 122.6,19
None, None, 0.342, 100.1, None, None, None, 0.423, 0.0, 8.33, 91.9, 0.0, 0.3, 0.2, 0.1, 0.0, 3.5, 100.0, None,2022-05-07 02:00:00, 123.0, 122.6,19
None, None, 0.31, 99.9, None, None, None, 0.399, 0.0, 5.29, 92.0, 0.0, 0.3, 0.2, 0.0, 0.0, 3.5, 100.0, None,2022-05-07 03:00:00, 123.0, 122.5,19
None, None, 0.429, 100.0, None, None, None, 0.091, 0.0, 6.409, 91.1, 0.0, 0.4, 0.2, 0.1, 0.0, 3.5, 100.0, None,2022-05-07 04:00:00, 123.0, 122.6,19
None, None, 0.393, 100.0, None, None, None, 0.144, 0.0, 7.62, 91.1, 0.0, 0.4, 0.1, 0.0, 0.0, 3.5, 100.0, None,2022-05-07 05:00:00, 123.0, 122.5,19
None, None, 0.286, 100.0, None, None, None, 0.66, 0.0, 6.542, 92.2, 0.0, 0.3, 0.1, 0.2, 0.0, 3.5, 100.0, None,2022-05-07 06:00:00, 123.0, 122.5,19
None, None, -0.116, 100.0, None, None, None, 1.172, 0.0, 8.86, 95.5, 0.0, -0.1, -0.1, 0.3, 0.0, 0.3, 100.0, None,2022-05-07 07:00:00, 122.0, 122.3,19
None, None, -0.164, 100.0, None, None, None, 0.509, 0.0, 9.05, 98.7, 0.0, -0.2, -0.3, 0.4, 0.0, 0.3, 100.0, None,2022-05-07 08:00:00, 122.0, 122.4,19
None, None, 0.114, 99.7, None, None, None, 1.15, 0.0, 10.41, 97.1, 0.0, 0.1, -0.3, 0.2, 0.0, 0.3, 100.0, None,2022-05-07 09:00:00, 122.0, 122.4,19
None, None, 1.182, 95.2, None, None, None, 3.74, 1.0, 10.88, 90.5, 0.0, 1.2, -0.3, 0.5, 0.0, 1.2, 95.0, None,2022-05-07 10:00:00, 123.0, 122.8,19
None, None, 2.631, 83.1, None, None, None, 4.815, 0.0, 13.21, 78.71, 0.0, 2.6, -0.3, 0.2, 0.0, 2.5, 83.0, None,2022-05-07 11:00:00, 123.0, 122.8,19
None, None, 3.335, 62.8, None, None, None, 6.099, -1.0, 9.69, 49.25, -3.0, 3.3, -0.3, -0.2, -3.0, 3.7, 63.0, None,2022-05-07 12:00:00, 122.0, 121.9,19
None, None, 1.965, 71.57, None, None, None, 4.061, -1.0, 11.87, 49.68, -1.0, 2.0, -0.3, -0.3, -1.0, 4.4, 72.0, None,2022-05-07 13:00:00, 121.0, 120.9,19
None, None, 1.633, 73.52, None, None, None, 4.567, -1.0, 10.44, 69.4, -3.0, 1.6, -0.3, 0.0, -3.0, 4.4, 74.0, None,2022-05-07 14:00:00, 120.0, 120.2,19
None, None, 2.035, 84.4, None, None, None, 7.197, 0.0, 10.26, 93.9, 0.0, 2.0, -0.3, 0.7, 0.0, 4.4, 84.0, None,2022-05-07 15:00:00, 120.0, 120.3,19
None, None, 1.324, 78.0, None, None, None, 5.897, -1.0, 10.95, 93.5, -2.0, 1.3, -0.3, 0.1, -2.0, 4.4, 78.0, None,2022-05-07 16:00:00, 120.0, 119.6,19
None, None, 1.34, 81.7, None, None, None, 4.789, 0.0, 10.94, 88.3, -2.0, 1.3, -0.3, 0.1, -2.0, 4.4, 82.0, None,2022-05-07 17:00:00, 119.0, 119.2,19
None, None, 1.098, 75.07, None, None, None, 0.848, 0.0, 8.55, 96.2, -3.0, 1.1, -0.3, 0.1, -3.0, 4.4, 75.0, None,2022-05-07 18:00:00, 120.0, 119.5,19
None, None, 0.943, 72.44, None, None, None, 2.149, 0.0, 10.05, 102.5, -3.0, 0.9, 0.7, 0.1, -3.0, 1.3, 72.0, None,2022-05-07 19:00:00, 120.0, 119.5,19
None, None, 0.369, 77.72, None, None, None, 1.459, 0.0, 9.55, 108.8, -3.0, 0.4, 0.2, 0.0, -3.0, 1.3, 78.0, None,2022-05-07 20:00:00, 119.0, 119.4,19
None, None, -0.14, 82.5, None, None, None, 1.716, 0.0, 7.966, 115.2, -3.0, -0.1, -0.3, 0.1, -3.0, 1.3, 83.0, None,2022-05-07 21:00:00, 119.0, 119.4,19
None, None, -0.379, 81.3, None, None, None, 0.9, 0.0, 8.01, 119.5, -3.0, -0.4, -0.5, 0.0, -3.0, 1.3, 81.0, None,2022-05-07 22:00:00, 119.0, 119.2,19
None, None, -0.581, 80.8, None, None, None, 1.35, 2.0, 8.31, 119.5, -3.0, -0.6, -0.7, 0.1, -3.0, 1.3, 81.0, None,2022-05-07 23:00:00, 121.0, 120.6,19
None, None, -1.037, 85.6, None, None, None, 1.359, -1.0, 7.722, 120.7, -3.0, -1.0, -1.0, 0.1, -3.0, 1.3, 86.0, None,2022-05-08 00:00:00, 120.0, 119.8,19
None, None, -1.03, 85.9, None, None, None, 0.682, 0.0, 6.925, 119.8, -3.0, -1.0, -1.2, 0.1, -3.0, 1.3, 86.0, None,2022-05-08 01:00:00, 119.0, 119.4,19
None, None, -1.364, 84.3, None, None, None, 0.414, 0.0, 6.983, 119.6, -4.0, -1.4, -1.5, 0.0, -4.0, 1.3, 84.0, None,2022-05-08 02:00:00, 119.0, 119.4,19
None, None, -1.599, 89.2, None, None, None, 0.404, 1.0, 6.982, 120.9, -3.0, -1.6, -1.7, 0.1, -3.0, 1.3, 89.0, None,2022-05-08 03:00:00, 120.0, 119.8,19
None, None, -1.846, 88.7, None, None, None, 0.379, -1.0, 7.493, 121.0, -3.0, -1.8, -1.9, 0.0, -3.0, 1.3, 89.0, None,2022-05-08 04:00:00, 119.0, 119.3,19
None, None, -2.066, 90.8, None, None, None, 0.466, -1.0, 8.72, 121.0, -3.0, -2.1, -2.2, 0.1, -3.0, 1.3, 91.0, None,2022-05-08 05:00:00, 118.0, 118.3,19
None, None, -2.461, 93.6, None, None, None, 0.845, 2.0, 10.79, 123.4, -3.0, -2.5, -2.4, 0.1, -3.0, 1.3, 94.0, None,2022-05-08 06:00:00, 119.0, 119.3,19
None, None, -2.31, 94.9, None, None, None, 0.445, -2.0, 9.34, 124.9, -3.0, -2.3, -2.6, 0.1, -3.0, -2.2, 95.0, None,2022-05-08 07:00:00, 117.0, 117.2,19
None, None, -2.071, 93.9, None, None, None, 1.465, 3.0, 10.31, 123.6, -3.0, -2.1, -2.6, 0.1, -3.0, -1.8, 94.0, None,2022-05-08 08:00:00, 120.0, 119.5,19
